Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
149000000,1.0570,0.187474,0.005507,0.000525,0.000388
149001000,1.0570,0.187474,0.005507,0.000525,0.000751
149002000,1.0570,0.187474,0.005507,0.000525,0.000563
149003000,1.0570,0.187474,0.005507,0.000525,0.000576
149004000,1.0570,0.187474,0.005507,0.000525,0.000657
149005000,1.0570,0.187474,0.005507,0.000525,0.000482
149006000,1.0570,0.187474,0.005507,0.000525,0.000657
149007000,1.0570,0.187474,0.005507,0.000525,0.000657
149008000,1.0570,0.187474,0.005507,0.000525,0.000576
149009000,1.0570,0.187474,0.005507,0.000525,0.000563
149010000,1.0570,0.187474,0.005507,0.000525,0.000482
149011000,1.0570,0.187474,0.005507,0.000525,0.000657
149012000,1.0570,0.187474,0.005507,0.000525,0.000751
149013000,1.0570,0.187474,0.005507,0.000525,0.000482
149014000,1.0570,0.187474,0.005507,0.000525,0.000657
149015000,1.0570,0.187474,0.005507,0.000525,0.000482
149016000,1.0570,0.187474,0.005507,0.000525,0.000657
149017000,1.0570,0.187474,0.005507,0.000525,0.000751
149018000,1.0570,0.187474,0.005507,0.000525,0.000388
149019000,1.0570,0.187474,0.005507,0.000525,0.000751
149020000,1.0570,0.187474,0.005507,0.000525,0.003059
149021000,1.0570,0.187474,0.005507,0.000525,0.000376
149022000,1.0570,0.187474,0.005507,0.000525,0.000376
149023000,1.0570,0.187474,0.005507,0.000525,0.000194
149024000,1.0570,0.187474,0.005507,0.000525,0.000376
149025000,1.0570,0.187474,0.005507,0.000525,0.000282
149026000,1.0570,0.187474,0.005507,0.000525,0.000288
149027000,1.0570,0.187474,0.005507,0.000525,0.000376
149028000,1.0570,0.187474,0.005507,0.000525,0.000194
149029000,1.0570,0.187474,0.005507,0.000525,0.000376
149030000,1.0570,0.187474,0.005507,0.000525,0.000282
149031000,1.0570,0.187474,0.005507,0.000525,0.000288
149032000,1.0570,0.187474,0.005507,0.000525,0.000282
149033000,1.0570,0.187474,0.005507,0.000525,0.000288
149034000,1.0570,0.187474,0.005507,0.000525,0.000376
149035000,1.0570,0.187474,0.005507,0.000525,0.000282
149036000,1.0570,0.187474,0.005507,0.000525,0.000288
149037000,1.0570,0.187474,0.005507,0.000525,0.000282
149038000,1.0570,0.187474,0.005507,0.000525,0.000288
149039000,1.0570,0.187474,0.005507,0.000525,0.000282
149040000,1.0570,0.187474,0.005507,0.000525,0.000376
149041000,1.0570,0.187474,0.005507,0.000525,0.000194
149042000,1.0570,0.187474,0.005507,0.000525,0.000376
149043000,1.0570,0.187474,0.005507,0.000525,0.000194
149044000,1.0570,0.187474,0.005507,0.000525,0.000376
149045000,1.0570,0.187474,0.005507,0.000525,0.000376
149046000,1.0570,0.187474,0.005507,0.000525,0.000194
149047000,1.0570,0.187474,0.005507,0.000525,0.000376
149048000,1.0570,0.187474,0.005507,0.000525,0.000194
149049000,1.0570,0.187474,0.005507,0.000525,0.000376
149050000,1.0570,0.187474,0.005507,0.000525,0.000376
149051000,1.0570,0.187474,0.005507,0.000525,0.000194
149052000,1.0570,0.187474,0.005507,0.000525,0.000376
