Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
149000000,15.7031,5.502199,0.052647,0.006391,0.575157
149001000,15.7031,5.502199,0.052647,0.006391,0.562094
149002000,15.7031,5.502199,0.052647,0.006391,0.562238
149003000,15.7031,5.502199,0.052647,0.006391,0.575013
149004000,15.7031,5.502199,0.052647,0.006391,0.562238
149005000,15.7031,5.502199,0.052647,0.006391,0.567740
149006000,15.7031,5.502199,0.052647,0.006391,0.562166
149007000,15.7031,5.502199,0.052647,0.006391,0.562166
149008000,15.7031,5.502199,0.052647,0.006391,0.567812
149009000,15.7031,5.502199,0.052647,0.006391,0.562094
149010000,15.7031,5.502199,0.052647,0.006391,0.575221
149011000,15.7031,5.502199,0.052647,0.006391,0.562030
149012000,15.7031,5.502199,0.052647,0.006391,0.562310
149013000,15.7031,5.502199,0.052647,0.006391,0.568050
149014000,15.7031,5.502199,0.052647,0.006391,0.562310
149015000,15.7031,5.502199,0.052647,0.006391,0.564917
149016000,15.7031,5.502199,0.052647,0.006391,0.564989
149017000,15.7031,5.502199,0.052647,0.006391,0.562166
149018000,15.7031,5.502199,0.052647,0.006391,0.567668
149019000,15.7031,5.502199,0.052647,0.006391,0.562310
149020000,15.7031,5.502199,0.052647,0.006391,0.570152
149021000,15.7031,5.502199,0.052647,0.006391,0.573053
149022000,15.7031,5.502199,0.052647,0.006391,0.562957
149023000,15.7031,5.502199,0.052647,0.006391,0.565780
149024000,15.7031,5.502199,0.052647,0.006391,0.562957
149025000,15.7031,5.502199,0.052647,0.006391,0.563029
149026000,15.7031,5.502199,0.052647,0.006391,0.565709
149027000,15.7031,5.502199,0.052647,0.006391,0.563029
149028000,15.7031,5.502199,0.052647,0.006391,0.565709
149029000,15.7031,5.502199,0.052647,0.006391,0.563029
149030000,15.7031,5.502199,0.052647,0.006391,0.562957
149031000,15.7031,5.502199,0.052647,0.006391,0.566307
149032000,15.7031,5.502199,0.052647,0.006391,0.562885
149033000,15.7031,5.502199,0.052647,0.006391,0.565780
149034000,15.7031,5.502199,0.052647,0.006391,0.562957
149035000,15.7031,5.502199,0.052647,0.006391,0.563029
149036000,15.7031,5.502199,0.052647,0.006391,0.565637
149037000,15.7031,5.502199,0.052647,0.006391,0.563101
149038000,15.7031,5.502199,0.052647,0.006391,0.565637
149039000,15.7031,5.502199,0.052647,0.006391,0.563101
149040000,15.7031,5.502199,0.052647,0.006391,0.562885
149041000,15.7031,5.502199,0.052647,0.006391,0.571588
149042000,15.7031,5.502199,0.052647,0.006391,0.562885
149043000,15.7031,5.502199,0.052647,0.006391,0.566379
149044000,15.7031,5.502199,0.052647,0.006391,0.562813
149045000,15.7031,5.502199,0.052647,0.006391,0.563101
149046000,15.7031,5.502199,0.052647,0.006391,0.565637
149047000,15.7031,5.502199,0.052647,0.006391,0.563173
149048000,15.7031,5.502199,0.052647,0.006391,0.565637
149049000,15.7031,5.502199,0.052647,0.006391,0.563029
149050000,15.7031,5.502199,0.052647,0.006391,0.562813
149051000,15.7031,5.502199,0.052647,0.006391,0.568442
149052000,15.7031,5.502199,0.052647,0.006391,0.562813
149053000,15.7031,5.502199,0.052647,0.006391,0.565996
149054000,15.7031,5.502199,0.052647,0.006391,0.572910
149055000,15.7031,5.502199,0.052647,0.006391,0.569504
149056000,15.7031,5.502199,0.052647,0.006391,0.562822
149057000,15.7031,5.502199,0.052647,0.006391,0.563173
149058000,15.7031,5.502199,0.052647,0.006391,0.565565
149059000,15.7031,5.502199,0.052647,0.006391,0.563101
149060000,15.7031,5.502199,0.052647,0.006391,0.562885
149061000,15.7031,5.502199,0.052647,0.006391,0.565852
149062000,15.7031,5.502199,0.052647,0.006391,0.562957
149063000,15.7031,5.502199,0.052647,0.006391,0.565780
149064000,15.7031,5.502199,0.052647,0.006391,0.562957
149065000,15.7031,5.502199,0.052647,0.006391,0.563029
149066000,15.7031,5.502199,0.052647,0.006391,0.566163
149067000,15.7031,5.502199,0.052647,0.006391,0.562957
149068000,15.7031,5.502199,0.052647,0.006391,0.565780
149069000,15.7031,5.502199,0.052647,0.006391,0.572599
149070000,15.7031,5.502199,0.052647,0.006391,0.563993
149071000,15.7031,5.502199,0.052647,0.006391,3.145004
149072000,15.7031,5.502199,0.052647,0.006391,0.572305
149073000,15.7031,5.502199,0.052647,0.006391,0.561762
149074000,15.7031,5.502199,0.052647,0.006391,1.357721
149075000,15.7031,5.502199,0.052647,0.006391,1.294539
149076000,15.7031,5.502199,0.052647,0.006391,0.552307
149077000,15.7031,5.502199,0.052647,0.006391,0.584144
149078000,15.7031,5.502199,0.052647,0.006391,0.590557
149079000,15.7031,5.502199,0.052647,0.006391,0.580602
149080000,15.7031,5.502199,0.052647,0.006391,3.522627
149081000,15.7031,5.502199,0.052647,0.006391,2.505854
149082000,15.7031,5.502199,0.052647,0.006391,0.939999
149083000,15.7031,5.502199,0.052647,0.006391,0.887667
149084000,15.7031,5.502199,0.052647,0.006391,0.779679
149085000,15.7031,5.502199,0.052647,0.006391,0.713653
149086000,15.7031,5.502199,0.052647,0.006391,0.696173
149087000,15.7031,5.502199,0.052647,0.006391,0.646993
149088000,15.7031,5.502199,0.052647,0.006391,0.692409
149089000,15.7031,5.502199,0.052647,0.006391,0.627959
149090000,15.7031,5.502199,0.052647,0.006391,0.639455
149091000,15.7031,5.502199,0.052647,0.006391,0.618479
149092000,15.7031,5.502199,0.052647,0.006391,0.615085
