Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
49000000,0.0324,0.013523,0.002678,0.000431,0.004113
49001000,0.0324,0.013523,0.002678,0.000431,0.004231
49002000,0.0324,0.013523,0.002678,0.000431,0.004231
49003000,0.0324,0.013523,0.002678,0.000431,0.004231
49004000,0.0324,0.013523,0.002678,0.000431,0.004349
49005000,0.0324,0.013523,0.002678,0.000431,0.003996
49006000,0.0324,0.013523,0.002678,0.000431,0.004349
49007000,0.0324,0.013523,0.002678,0.000431,0.004231
49008000,0.0324,0.013523,0.002678,0.000431,0.004349
49009000,0.0324,0.013523,0.002678,0.000431,0.003996
49010000,0.0324,0.013523,0.002678,0.000431,0.004231
49011000,0.0324,0.013523,0.002678,0.000431,0.004466
49012000,0.0324,0.013523,0.002678,0.000431,0.003996
49013000,0.0324,0.013523,0.002678,0.000431,0.004231
49014000,0.0324,0.013523,0.002678,0.000431,0.004349
49015000,0.0324,0.013523,0.002678,0.000431,0.004349
49016000,0.0324,0.013523,0.002678,0.000431,0.004113
49017000,0.0324,0.013523,0.002678,0.000431,0.003878
49018000,0.0324,0.013523,0.002678,0.000431,0.006464
49019000,0.0324,0.013523,0.002678,0.000431,0.003291
49020000,0.0324,0.013523,0.002678,0.000431,0.003291
49021000,0.0324,0.013523,0.002678,0.000431,0.003526
49022000,0.0324,0.013523,0.002678,0.000431,0.003056
49023000,0.0324,0.013523,0.002678,0.000431,0.003408
49024000,0.0324,0.013523,0.002678,0.000431,0.003408
49025000,0.0324,0.013523,0.002678,0.000431,0.003408
49026000,0.0324,0.013523,0.002678,0.000431,0.003291
49027000,0.0324,0.013523,0.002678,0.000431,0.003408
49028000,0.0324,0.013523,0.002678,0.000431,0.003408
49029000,0.0324,0.013523,0.002678,0.000431,0.003408
49030000,0.0324,0.013523,0.002678,0.000431,0.003291
49031000,0.0324,0.013523,0.002678,0.000431,0.003291
49032000,0.0324,0.013523,0.002678,0.000431,0.003408
49033000,0.0324,0.013523,0.002678,0.000431,0.003173
49034000,0.0324,0.013523,0.002678,0.000431,0.003408
49035000,0.0324,0.013523,0.002678,0.000431,0.003408
49036000,0.0324,0.013523,0.002678,0.000431,0.003408
49037000,0.0324,0.013523,0.002678,0.000431,0.003408
49038000,0.0324,0.013523,0.002678,0.000431,0.003291
49039000,0.0324,0.013523,0.002678,0.000431,0.003173
49040000,0.0324,0.013523,0.002678,0.000431,0.003291
49041000,0.0324,0.013523,0.002678,0.000431,0.003643
49042000,0.0324,0.013523,0.002678,0.000431,0.003291
49043000,0.0324,0.013523,0.002678,0.000431,0.006111
49044000,0.0324,0.013523,0.002678,0.000431,0.002821
49045000,0.0324,0.013523,0.002678,0.000431,0.001645
49046000,0.0324,0.013523,0.002678,0.000431,0.001763
49047000,0.0324,0.013523,0.002678,0.000431,0.001763
49048000,0.0324,0.013523,0.002678,0.000431,0.001645
49049000,0.0324,0.013523,0.002678,0.000431,0.001645
49050000,0.0324,0.013523,0.002678,0.000431,0.001645
49051000,0.0324,0.013523,0.002678,0.000431,0.001763
49052000,0.0324,0.013523,0.002678,0.000431,0.001645
49053000,0.0324,0.013523,0.002678,0.000431,0.001645
49054000,0.0324,0.013523,0.002678,0.000431,0.001763
49055000,0.0324,0.013523,0.002678,0.000431,0.001528
49056000,0.0324,0.013523,0.002678,0.000431,0.001763
49057000,0.0324,0.013523,0.002678,0.000431,0.001763
49058000,0.0324,0.013523,0.002678,0.000431,0.001528
49059000,0.0324,0.013523,0.002678,0.000431,0.001763
49060000,0.0324,0.013523,0.002678,0.000431,0.001645
49061000,0.0324,0.013523,0.002678,0.000431,0.001763
49062000,0.0324,0.013523,0.002678,0.000431,0.001410
49063000,0.0324,0.013523,0.002678,0.000431,0.001880
49064000,0.0324,0.013523,0.002678,0.000431,0.001763
49065000,0.0324,0.013523,0.002678,0.000431,0.001528
49066000,0.0324,0.013523,0.002678,0.000431,0.001763
49067000,0.0324,0.013523,0.002678,0.000431,0.001528
49068000,0.0324,0.013523,0.002678,0.000431,0.001763
49069000,0.0324,0.013523,0.002678,0.000431,0.001645
49070000,0.0324,0.013523,0.002678,0.000431,0.001645
49071000,0.0324,0.013523,0.002678,0.000431,0.001645
49072000,0.0324,0.013523,0.002678,0.000431,0.001763
49073000,0.0324,0.013523,0.002678,0.000431,0.001880
49074000,0.0324,0.013523,0.002678,0.000431,0.001528
49075000,0.0324,0.013523,0.002678,0.000431,0.001763
49076000,0.0324,0.013523,0.002678,0.000431,0.001763
49077000,0.0324,0.013523,0.002678,0.000431,0.001645
49078000,0.0324,0.013523,0.002678,0.000431,0.001763
49079000,0.0324,0.013523,0.002678,0.000431,0.001645
49080000,0.0324,0.013523,0.002678,0.000431,0.001763
49081000,0.0324,0.013523,0.002678,0.000431,0.001763
49082000,0.0324,0.013523,0.002678,0.000431,0.001528
49083000,0.0324,0.013523,0.002678,0.000431,0.001763
49084000,0.0324,0.013523,0.002678,0.000431,0.001645
49085000,0.0324,0.013523,0.002678,0.000431,0.001645
49086000,0.0324,0.013523,0.002678,0.000431,0.001763
49087000,0.0324,0.013523,0.002678,0.000431,0.001528
49088000,0.0324,0.013523,0.002678,0.000431,0.001763
49089000,0.0324,0.013523,0.002678,0.000431,0.001763
49090000,0.0324,0.013523,0.002678,0.000431,0.001645
49091000,0.0324,0.013523,0.002678,0.000431,0.001645
49092000,0.0324,0.013523,0.002678,0.000431,0.001645
49093000,0.0324,0.013523,0.002678,0.000431,0.001645
49094000,0.0324,0.013523,0.002678,0.000431,0.001763
49095000,0.0324,0.013523,0.002678,0.000431,0.001528
49096000,0.0324,0.013523,0.002678,0.000431,0.001763
49097000,0.0324,0.013523,0.002678,0.000431,0.001763
49098000,0.0324,0.013523,0.002678,0.000431,0.001645
49099000,0.0324,0.013523,0.002678,0.000431,0.001645
49100000,0.0324,0.013523,0.002678,0.000431,0.001645
49101000,0.0324,0.013523,0.002678,0.000431,0.001763
49102000,0.0324,0.013523,0.002678,0.000431,0.001645
49103000,0.0324,0.013523,0.002678,0.000431,0.001645
49104000,0.0324,0.013523,0.002678,0.000431,0.001645
49105000,0.0324,0.013523,0.002678,0.000431,0.001528
49106000,0.0324,0.013523,0.002678,0.000431,0.001880
49107000,0.0324,0.013523,0.002678,0.000431,0.001410
49108000,0.0324,0.013523,0.002678,0.000431,0.001880
49109000,0.0324,0.013523,0.002678,0.000431,0.001645
49110000,0.0324,0.013523,0.002678,0.000431,0.001645
49111000,0.0324,0.013523,0.002678,0.000431,0.001763
49112000,0.0324,0.013523,0.002678,0.000431,0.001645
49113000,0.0324,0.013523,0.002678,0.000431,0.001763
49114000,0.0324,0.013523,0.002678,0.000431,0.001410
49115000,0.0324,0.013523,0.002678,0.000431,0.001763
49116000,0.0324,0.013523,0.002678,0.000431,0.001880
49117000,0.0324,0.013523,0.002678,0.000431,0.001763
49118000,0.0324,0.013523,0.002678,0.000431,0.001528
49119000,0.0324,0.013523,0.002678,0.000431,0.001763
49120000,0.0324,0.013523,0.002678,0.000431,0.001763
49121000,0.0324,0.013523,0.002678,0.000431,0.001645
49122000,0.0324,0.013523,0.002678,0.000431,0.001880
49123000,0.0324,0.013523,0.002678,0.000431,0.001528
49124000,0.0324,0.013523,0.002678,0.000431,0.001880
49125000,0.0324,0.013523,0.002678,0.000431,0.001528
49126000,0.0324,0.013523,0.002678,0.000431,0.001763
49127000,0.0324,0.013523,0.002678,0.000431,0.001763
49128000,0.0324,0.013523,0.002678,0.000431,0.001528
49129000,0.0324,0.013523,0.002678,0.000431,0.001880
49130000,0.0324,0.013523,0.002678,0.000431,0.001410
49131000,0.0324,0.013523,0.002678,0.000431,0.001880
49132000,0.0324,0.013523,0.002678,0.000431,0.001645
49133000,0.0324,0.013523,0.002678,0.000431,0.001645
49134000,0.0324,0.013523,0.002678,0.000431,0.001528
49135000,0.0324,0.013523,0.002678,0.000431,0.001763
49136000,0.0324,0.013523,0.002678,0.000431,0.001880
