Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
20000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.023606
20001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.003304
20002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.024543
20003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.007504
20004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.020173
20005000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.011355
20006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.015291
20007000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.015432
20008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.016032
20009000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.012494
20010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.016129
20011000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.011943
20012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.018219
20013000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.013931
20014000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.016944
20015000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.009966
20016000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.019441
20017000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.008501
20018000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.022338
20019000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.013885
20020000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.020572
20021000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.009488
20022000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.018755
20023000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.015581
20024000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.011558
20025000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.016405
20026000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.014736
20027000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.013121
20028000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.018218
20029000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.016288
20030000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.020123
20031000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.011174
20032000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.019828
20033000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.009097
20034000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.018393
20035000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.011718
20036000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.019449
20037000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.008847
20038000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.019985
20039000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.011257
20040000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.017097
20041000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.013679
20042000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.013967
20043000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.015428
20044000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.015352
20045000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.012546
20046000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.016745
20047000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.010551
20048000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.020318
20049000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.015077
20050000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.018723
20051000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.012583
20052000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.013583
20053000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.019742
20054000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.007445
20055000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.021304
20056000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.007775
20057000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.019877
20058000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.009497
20059000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.018788
20060000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.008943
20061000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.022201
20062000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.008146
