Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,0.2191,0.065854,0.000377,0.000034,0.906472
2001000,0.2191,0.065854,0.000377,0.000034,0.910647
2002000,0.2191,0.065854,0.000377,0.000034,0.948464
2003000,0.2191,0.065854,0.000377,0.000034,0.897008
2004000,0.2191,0.065854,0.000377,0.000034,0.971495
2005000,0.2191,0.065854,0.000377,0.000034,0.859213
2006000,0.2191,0.065854,0.000377,0.000034,0.885516
2007000,0.2191,0.065854,0.000377,0.000034,0.873170
2008000,0.2191,0.065854,0.000377,0.000034,0.796868
2009000,0.2191,0.065854,0.000377,0.000034,0.791821
2010000,0.2191,0.065854,0.000377,0.000034,0.836406
2011000,0.2191,0.065854,0.000377,0.000034,0.936374
2012000,0.2191,0.065854,0.000377,0.000034,1.015198
2013000,0.2191,0.065854,0.000377,0.000034,0.915995
2014000,0.2191,0.065854,0.000377,0.000034,0.994260
2015000,0.2191,0.065854,0.000377,0.000034,0.841653
2016000,0.2191,0.065854,0.000377,0.000034,0.838507
2017000,0.2191,0.065854,0.000377,0.000034,0.933695
2018000,0.2191,0.065854,0.000377,0.000034,0.924745
2019000,0.2191,0.065854,0.000377,0.000034,0.991670
2020000,0.2191,0.065854,0.000377,0.000034,0.960451
2021000,0.2191,0.065854,0.000377,0.000034,0.957014
2022000,0.2191,0.065854,0.000377,0.000034,0.989966
2023000,0.2191,0.065854,0.000377,0.000034,0.927845
2024000,0.2191,0.065854,0.000377,0.000034,0.838138
2025000,0.2191,0.065854,0.000377,0.000034,0.879648
2026000,0.2191,0.065854,0.000377,0.000034,0.914469
2027000,0.2191,0.065854,0.000377,0.000034,0.827158
2028000,0.2191,0.065854,0.000377,0.000034,0.976350
2029000,0.2191,0.065854,0.000377,0.000034,0.992227
2030000,0.2191,0.065854,0.000377,0.000034,0.907774
2031000,0.2191,0.065854,0.000377,0.000034,0.887690
2032000,0.2191,0.065854,0.000377,0.000034,0.877350
2033000,0.2191,0.065854,0.000377,0.000034,0.944017
2034000,0.2191,0.065854,0.000377,0.000034,0.949738
2035000,0.2191,0.065854,0.000377,0.000034,0.932849
2036000,0.2191,0.065854,0.000377,0.000034,0.862978
2037000,0.2191,0.065854,0.000377,0.000034,0.922710
2038000,0.2191,0.065854,0.000377,0.000034,0.958428
2039000,0.2191,0.065854,0.000377,0.000034,0.932464
2040000,0.2191,0.065854,0.000377,0.000034,0.904913
2041000,0.2191,0.065854,0.000377,0.000034,0.885364
2042000,0.2191,0.065854,0.000377,0.000034,0.891787
2043000,0.2191,0.065854,0.000377,0.000034,0.957335
2044000,0.2191,0.065854,0.000377,0.000034,0.835497
2045000,0.2191,0.065854,0.000377,0.000034,0.857555
2046000,0.2191,0.065854,0.000377,0.000034,0.990186
2047000,0.2191,0.065854,0.000377,0.000034,0.881051
2048000,0.2191,0.065854,0.000377,0.000034,0.895074
2049000,0.2191,0.065854,0.000377,0.000034,0.930380
2050000,0.2191,0.065854,0.000377,0.000034,0.967114
2051000,0.2191,0.065854,0.000377,0.000034,0.922787
2052000,0.2191,0.065854,0.000377,0.000034,0.957442
2053000,0.2191,0.065854,0.000377,0.000034,0.865164
2054000,0.2191,0.065854,0.000377,0.000034,0.923278
2055000,0.2191,0.065854,0.000377,0.000034,0.893926
2056000,0.2191,0.065854,0.000377,0.000034,0.931224
2057000,0.2191,0.065854,0.000377,0.000034,0.821716
2058000,0.2191,0.065854,0.000377,0.000034,0.916598
2059000,0.2191,0.065854,0.000377,0.000034,0.919419
2060000,0.2191,0.065854,0.000377,0.000034,0.897327
2061000,0.2191,0.065854,0.000377,0.000034,0.829893
2062000,0.2191,0.065854,0.000377,0.000034,0.800029
2063000,0.2191,0.065854,0.000377,0.000034,0.957287
2064000,0.2191,0.065854,0.000377,0.000034,0.838811
2065000,0.2191,0.065854,0.000377,0.000034,0.897482
2066000,0.2191,0.065854,0.000377,0.000034,0.866460
2067000,0.2191,0.065854,0.000377,0.000034,0.913083
2068000,0.2191,0.065854,0.000377,0.000034,0.846752
2069000,0.2191,0.065854,0.000377,0.000034,0.939955
2070000,0.2191,0.065854,0.000377,0.000034,0.779298
2071000,0.2191,0.065854,0.000377,0.000034,0.916785
2072000,0.2191,0.065854,0.000377,0.000034,0.842135
2073000,0.2191,0.065854,0.000377,0.000034,0.879643
2074000,0.2191,0.065854,0.000377,0.000034,0.889052
2075000,0.2191,0.065854,0.000377,0.000034,0.929922
2076000,0.2191,0.065854,0.000377,0.000034,0.925615
2077000,0.2191,0.065854,0.000377,0.000034,0.866086
2078000,0.2191,0.065854,0.000377,0.000034,0.916864
2079000,0.2191,0.065854,0.000377,0.000034,0.844190
2080000,0.2191,0.065854,0.000377,0.000034,0.864526
2081000,0.2191,0.065854,0.000377,0.000034,0.935614
2082000,0.2191,0.065854,0.000377,0.000034,0.851755
2083000,0.2191,0.065854,0.000377,0.000034,0.836040
2084000,0.2191,0.065854,0.000377,0.000034,0.838951
2085000,0.2191,0.065854,0.000377,0.000034,0.849671
2086000,0.2191,0.065854,0.000377,0.000034,0.912443
2087000,0.2191,0.065854,0.000377,0.000034,0.954987
2088000,0.2191,0.065854,0.000377,0.000034,0.816423
2089000,0.2191,0.065854,0.000377,0.000034,0.966548
2090000,0.2191,0.065854,0.000377,0.000034,0.901424
2091000,0.2191,0.065854,0.000377,0.000034,0.889558
2092000,0.2191,0.065854,0.000377,0.000034,0.932385
2093000,0.2191,0.065854,0.000377,0.000034,0.852783
2094000,0.2191,0.065854,0.000377,0.000034,0.878962
2095000,0.2191,0.065854,0.000377,0.000034,0.880052
2096000,0.2191,0.065854,0.000377,0.000034,0.888692
2097000,0.2191,0.065854,0.000377,0.000034,0.854496
2098000,0.2191,0.065854,0.000377,0.000034,0.875941
2099000,0.2191,0.065854,0.000377,0.000034,0.896024
2100000,0.2191,0.065854,0.000377,0.000034,0.865636
2101000,0.2191,0.065854,0.000377,0.000034,0.855363
2102000,0.2191,0.065854,0.000377,0.000034,0.874258
2103000,0.2191,0.065854,0.000377,0.000034,0.841149
2104000,0.2191,0.065854,0.000377,0.000034,0.875607
2105000,0.2191,0.065854,0.000377,0.000034,0.854190
2106000,0.2191,0.065854,0.000377,0.000034,0.862246
2107000,0.2191,0.065854,0.000377,0.000034,0.870317
2108000,0.2191,0.065854,0.000377,0.000034,0.935790
2109000,0.2191,0.065854,0.000377,0.000034,0.834635
2110000,0.2191,0.065854,0.000377,0.000034,0.892768
2111000,0.2191,0.065854,0.000377,0.000034,0.966974
2112000,0.2191,0.065854,0.000377,0.000034,0.894437
2113000,0.2191,0.065854,0.000377,0.000034,0.905245
2114000,0.2191,0.065854,0.000377,0.000034,0.922052
2115000,0.2191,0.065854,0.000377,0.000034,0.867214
2116000,0.2191,0.065854,0.000377,0.000034,0.857635
2117000,0.2191,0.065854,0.000377,0.000034,0.906319
2118000,0.2191,0.065854,0.000377,0.000034,0.912558
