Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
30000000,1.0570,0.187474,0.005507,0.000525,1.181617
30001000,1.0570,0.187474,0.005507,0.000525,1.295225
30002000,1.0570,0.187474,0.005507,0.000525,1.164898
30003000,1.0570,0.187474,0.005507,0.000525,1.294243
30004000,1.0570,0.187474,0.005507,0.000525,1.156448
30005000,1.0570,0.187474,0.005507,0.000525,1.067673
30006000,1.0570,0.187474,0.005507,0.000525,1.155406
30007000,1.0570,0.187474,0.005507,0.000525,1.237377
30008000,1.0570,0.187474,0.005507,0.000525,1.225600
30009000,1.0570,0.187474,0.005507,0.000525,1.101655
30010000,1.0570,0.187474,0.005507,0.000525,1.225946
30011000,1.0570,0.187474,0.005507,0.000525,1.230116
30012000,1.0570,0.187474,0.005507,0.000525,1.110123
30013000,1.0570,0.187474,0.005507,0.000525,1.193591
30014000,1.0570,0.187474,0.005507,0.000525,1.204566
30015000,1.0570,0.187474,0.005507,0.000525,1.338271
30016000,1.0570,0.187474,0.005507,0.000525,1.215209
30017000,1.0570,0.187474,0.005507,0.000525,1.198069
30018000,1.0570,0.187474,0.005507,0.000525,1.237246
30019000,1.0570,0.187474,0.005507,0.000525,1.192103
30020000,1.0570,0.187474,0.005507,0.000525,1.135932
30021000,1.0570,0.187474,0.005507,0.000525,1.165456
30022000,1.0570,0.187474,0.005507,0.000525,1.086416
30023000,1.0570,0.187474,0.005507,0.000525,1.193334
30024000,1.0570,0.187474,0.005507,0.000525,1.042473
30025000,1.0570,0.187474,0.005507,0.000525,1.111837
30026000,1.0570,0.187474,0.005507,0.000525,1.126410
30027000,1.0570,0.187474,0.005507,0.000525,1.234228
30028000,1.0570,0.187474,0.005507,0.000525,1.322460
30029000,1.0570,0.187474,0.005507,0.000525,1.297064
30030000,1.0570,0.187474,0.005507,0.000525,1.157515
30031000,1.0570,0.187474,0.005507,0.000525,1.259005
30032000,1.0570,0.187474,0.005507,0.000525,1.231466
30033000,1.0570,0.187474,0.005507,0.000525,1.283318
30034000,1.0570,0.187474,0.005507,0.000525,1.301124
30035000,1.0570,0.187474,0.005507,0.000525,1.313999
30036000,1.0570,0.187474,0.005507,0.000525,1.214069
30037000,1.0570,0.187474,0.005507,0.000525,1.281216
30038000,1.0570,0.187474,0.005507,0.000525,1.184662
30039000,1.0570,0.187474,0.005507,0.000525,1.098494
30040000,1.0570,0.187474,0.005507,0.000525,1.286708
30041000,1.0570,0.187474,0.005507,0.000525,1.194741
30042000,1.0570,0.187474,0.005507,0.000525,1.269732
30043000,1.0570,0.187474,0.005507,0.000525,1.077033
30044000,1.0570,0.187474,0.005507,0.000525,1.222729
30045000,1.0570,0.187474,0.005507,0.000525,1.157782
30046000,1.0570,0.187474,0.005507,0.000525,1.160426
30047000,1.0570,0.187474,0.005507,0.000525,1.235762
30048000,1.0570,0.187474,0.005507,0.000525,1.179733
30049000,1.0570,0.187474,0.005507,0.000525,1.250293
30050000,1.0570,0.187474,0.005507,0.000525,1.198452
30051000,1.0570,0.187474,0.005507,0.000525,1.364264
30052000,1.0570,0.187474,0.005507,0.000525,1.222855
30053000,1.0570,0.187474,0.005507,0.000525,0.978050
30054000,1.0570,0.187474,0.005507,0.000525,1.094976
30055000,1.0570,0.187474,0.005507,0.000525,1.259934
30056000,1.0570,0.187474,0.005507,0.000525,1.137153
30057000,1.0570,0.187474,0.005507,0.000525,1.285643
30058000,1.0570,0.187474,0.005507,0.000525,1.299869
30059000,1.0570,0.187474,0.005507,0.000525,1.236365
30060000,1.0570,0.187474,0.005507,0.000525,1.008735
30061000,1.0570,0.187474,0.005507,0.000525,1.079756
30062000,1.0570,0.187474,0.005507,0.000525,1.070396
30063000,1.0570,0.187474,0.005507,0.000525,1.365535
30064000,1.0570,0.187474,0.005507,0.000525,1.127060
30065000,1.0570,0.187474,0.005507,0.000525,0.974175
30066000,1.0570,0.187474,0.005507,0.000525,1.337537
30067000,1.0570,0.187474,0.005507,0.000525,1.327491
30068000,1.0570,0.187474,0.005507,0.000525,1.241155
30069000,1.0570,0.187474,0.005507,0.000525,1.154068
30070000,1.0570,0.187474,0.005507,0.000525,1.185546
30071000,1.0570,0.187474,0.005507,0.000525,1.152773
30072000,1.0570,0.187474,0.005507,0.000525,1.241095
30073000,1.0570,0.187474,0.005507,0.000525,1.104931
30074000,1.0570,0.187474,0.005507,0.000525,1.087022
30075000,1.0570,0.187474,0.005507,0.000525,1.073114
30076000,1.0570,0.187474,0.005507,0.000525,1.107034
30077000,1.0570,0.187474,0.005507,0.000525,1.000095
30078000,1.0570,0.187474,0.005507,0.000525,0.973072
30079000,1.0570,0.187474,0.005507,0.000525,1.033802
30080000,1.0570,0.187474,0.005507,0.000525,1.229027
30081000,1.0570,0.187474,0.005507,0.000525,1.036204
30082000,1.0570,0.187474,0.005507,0.000525,1.123208
30083000,1.0570,0.187474,0.005507,0.000525,1.010881
30084000,1.0570,0.187474,0.005507,0.000525,1.023036
30085000,1.0570,0.187474,0.005507,0.000525,1.177073
30086000,1.0570,0.187474,0.005507,0.000525,1.205451
30087000,1.0570,0.187474,0.005507,0.000525,1.091277
30088000,1.0570,0.187474,0.005507,0.000525,1.322223
30089000,1.0570,0.187474,0.005507,0.000525,1.171090
30090000,1.0570,0.187474,0.005507,0.000525,1.138119
30091000,1.0570,0.187474,0.005507,0.000525,0.998810
30092000,1.0570,0.187474,0.005507,0.000525,1.120230
30093000,1.0570,0.187474,0.005507,0.000525,1.033524
30094000,1.0570,0.187474,0.005507,0.000525,1.169613
30095000,1.0570,0.187474,0.005507,0.000525,1.040596
30096000,1.0570,0.187474,0.005507,0.000525,1.036954
30097000,1.0570,0.187474,0.005507,0.000525,0.953521
30098000,1.0570,0.187474,0.005507,0.000525,1.144121
30099000,1.0570,0.187474,0.005507,0.000525,0.966004
30100000,1.0570,0.187474,0.005507,0.000525,1.044791
30101000,1.0570,0.187474,0.005507,0.000525,1.080939
30102000,1.0570,0.187474,0.005507,0.000525,1.165650
30103000,1.0570,0.187474,0.005507,0.000525,1.117243
30104000,1.0570,0.187474,0.005507,0.000525,0.986277
30105000,1.0570,0.187474,0.005507,0.000525,0.976135
30106000,1.0570,0.187474,0.005507,0.000525,1.131416
30107000,1.0570,0.187474,0.005507,0.000525,1.031887
30108000,1.0570,0.187474,0.005507,0.000525,0.976440
30109000,1.0570,0.187474,0.005507,0.000525,1.085599
30110000,1.0570,0.187474,0.005507,0.000525,1.017568
30111000,1.0570,0.187474,0.005507,0.000525,1.031174
30112000,1.0570,0.187474,0.005507,0.000525,0.902456
30113000,1.0570,0.187474,0.005507,0.000525,1.071254
30114000,1.0570,0.187474,0.005507,0.000525,0.941473
30115000,1.0570,0.187474,0.005507,0.000525,0.857019
30116000,1.0570,0.187474,0.005507,0.000525,1.084253
30117000,1.0570,0.187474,0.005507,0.000525,1.113512
30118000,1.0570,0.187474,0.005507,0.000525,0.993551
30119000,1.0570,0.187474,0.005507,0.000525,1.054427
30120000,1.0570,0.187474,0.005507,0.000525,0.996327
30121000,1.0570,0.187474,0.005507,0.000525,1.053692
30122000,1.0570,0.187474,0.005507,0.000525,1.070481
30123000,1.0570,0.187474,0.005507,0.000525,1.155678
30124000,1.0570,0.187474,0.005507,0.000525,1.000489
30125000,1.0570,0.187474,0.005507,0.000525,1.034081
30126000,1.0570,0.187474,0.005507,0.000525,1.186701
30127000,1.0570,0.187474,0.005507,0.000525,1.216822
30128000,1.0570,0.187474,0.005507,0.000525,1.109024
30129000,1.0570,0.187474,0.005507,0.000525,1.020949
30130000,1.0570,0.187474,0.005507,0.000525,0.984352
30131000,1.0570,0.187474,0.005507,0.000525,0.925331
30132000,1.0570,0.187474,0.005507,0.000525,1.104928
30133000,1.0570,0.187474,0.005507,0.000525,1.079679
30134000,1.0570,0.187474,0.005507,0.000525,1.168164
30135000,1.0570,0.187474,0.005507,0.000525,1.085258
30136000,1.0570,0.187474,0.005507,0.000525,1.022001
30137000,1.0570,0.187474,0.005507,0.000525,1.121061
30138000,1.0570,0.187474,0.005507,0.000525,1.038841
30139000,1.0570,0.187474,0.005507,0.000525,1.217048
30140000,1.0570,0.187474,0.005507,0.000525,1.056588
30141000,1.0570,0.187474,0.005507,0.000525,1.060715
30142000,1.0570,0.187474,0.005507,0.000525,1.056971
30143000,1.0570,0.187474,0.005507,0.000525,1.194122
30144000,1.0570,0.187474,0.005507,0.000525,1.148427
30145000,1.0570,0.187474,0.005507,0.000525,1.008795
30146000,1.0570,0.187474,0.005507,0.000525,0.977403
30147000,1.0570,0.187474,0.005507,0.000525,1.121079
30148000,1.0570,0.187474,0.005507,0.000525,1.166537
30149000,1.0570,0.187474,0.005507,0.000525,1.066320
30150000,1.0570,0.187474,0.005507,0.000525,1.048331
30151000,1.0570,0.187474,0.005507,0.000525,1.068198
30152000,1.0570,0.187474,0.005507,0.000525,1.239868
30153000,1.0570,0.187474,0.005507,0.000525,1.094575
30154000,1.0570,0.187474,0.005507,0.000525,1.184924
30155000,1.0570,0.187474,0.005507,0.000525,1.137566
30156000,1.0570,0.187474,0.005507,0.000525,1.040674
30157000,1.0570,0.187474,0.005507,0.000525,1.089832
30158000,1.0570,0.187474,0.005507,0.000525,1.123920
30159000,1.0570,0.187474,0.005507,0.000525,1.061950
30160000,1.0570,0.187474,0.005507,0.000525,1.019977
30161000,1.0570,0.187474,0.005507,0.000525,1.079623
30162000,1.0570,0.187474,0.005507,0.000525,1.033670
30163000,1.0570,0.187474,0.005507,0.000525,0.956803
30164000,1.0570,0.187474,0.005507,0.000525,0.864850
30165000,1.0570,0.187474,0.005507,0.000525,0.913603
30166000,1.0570,0.187474,0.005507,0.000525,1.221722
30167000,1.0570,0.187474,0.005507,0.000525,1.050383
30168000,1.0570,0.187474,0.005507,0.000525,1.058871
30169000,1.0570,0.187474,0.005507,0.000525,1.039285
30170000,1.0570,0.187474,0.005507,0.000525,0.997445
