Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
16000000,0.0324,0.013523,0.002678,0.000431,1.266131
16001000,0.0324,0.013523,0.002678,0.000431,1.101122
16002000,0.0324,0.013523,0.002678,0.000431,1.256729
16003000,0.0324,0.013523,0.002678,0.000431,1.258844
16004000,0.0324,0.013523,0.002678,0.000431,1.247914
16005000,0.0324,0.013523,0.002678,0.000431,1.231695
16006000,0.0324,0.013523,0.002678,0.000431,1.395882
16007000,0.0324,0.013523,0.002678,0.000431,1.349576
16008000,0.0324,0.013523,0.002678,0.000431,1.042593
16009000,0.0324,0.013523,0.002678,0.000431,1.322192
16010000,0.0324,0.013523,0.002678,0.000431,1.338176
16011000,0.0324,0.013523,0.002678,0.000431,1.203606
16012000,0.0324,0.013523,0.002678,0.000431,1.208307
16013000,0.0324,0.013523,0.002678,0.000431,1.189385
16014000,0.0324,0.013523,0.002678,0.000431,1.296923
16015000,0.0324,0.013523,0.002678,0.000431,1.247092
16016000,0.0324,0.013523,0.002678,0.000431,1.452531
16017000,0.0324,0.013523,0.002678,0.000431,1.317491
16018000,0.0324,0.013523,0.002678,0.000431,1.254731
16019000,0.0324,0.013523,0.002678,0.000431,1.281880
16020000,0.0324,0.013523,0.002678,0.000431,1.083022
16021000,0.0324,0.013523,0.002678,0.000431,1.276121
16022000,0.0324,0.013523,0.002678,0.000431,1.346520
16023000,0.0324,0.013523,0.002678,0.000431,1.338528
16024000,0.0324,0.013523,0.002678,0.000431,1.343935
16025000,0.0324,0.013523,0.002678,0.000431,1.152246
16026000,0.0324,0.013523,0.002678,0.000431,1.376490
16027000,0.0324,0.013523,0.002678,0.000431,1.153422
16028000,0.0324,0.013523,0.002678,0.000431,1.179160
16029000,0.0324,0.013523,0.002678,0.000431,1.449593
16030000,0.0324,0.013523,0.002678,0.000431,1.266836
16031000,0.0324,0.013523,0.002678,0.000431,1.307736
16032000,0.0324,0.013523,0.002678,0.000431,1.124040
16033000,0.0324,0.013523,0.002678,0.000431,1.180688
16034000,0.0324,0.013523,0.002678,0.000431,1.140846
16035000,0.0324,0.013523,0.002678,0.000431,1.440425
16036000,0.0324,0.013523,0.002678,0.000431,1.261783
16037000,0.0324,0.013523,0.002678,0.000431,1.126508
16038000,0.0324,0.013523,0.002678,0.000431,1.470278
16039000,0.0324,0.013523,0.002678,0.000431,1.229345
16040000,0.0324,0.013523,0.002678,0.000431,1.353102
16041000,0.0324,0.013523,0.002678,0.000431,1.350046
16042000,0.0324,0.013523,0.002678,0.000431,1.392004
16043000,0.0324,0.013523,0.002678,0.000431,1.193264
16044000,0.0324,0.013523,0.002678,0.000431,1.191266
16045000,0.0324,0.013523,0.002678,0.000431,1.193029
16046000,0.0324,0.013523,0.002678,0.000431,1.484146
16047000,0.0324,0.013523,0.002678,0.000431,1.348283
16048000,0.0324,0.013523,0.002678,0.000431,1.167172
16049000,0.0324,0.013523,0.002678,0.000431,1.134852
