Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
14000000,23.8212,1.028147,0.538949,0.086720,7.810478
14000100,23.8212,1.028147,0.538949,0.086720,7.755048
14000200,23.8212,1.028147,0.538949,0.086720,7.729924
14000300,23.8212,1.028147,0.538949,0.086720,7.755365
14000400,23.8212,1.028147,0.538949,0.086720,7.731659
14000500,23.8212,1.028147,0.538949,0.086720,7.805929
14000600,23.8212,1.028147,0.538949,0.086720,7.732140
14000700,23.8212,1.028147,0.538949,0.086720,7.745475
14000800,23.8212,1.028147,0.538949,0.086720,7.755700
14000900,23.8212,1.028147,0.538949,0.086720,7.693491
14001000,23.8212,1.028147,0.538949,0.086720,7.795413
14001100,23.8212,1.028147,0.538949,0.086720,7.724136
14001200,23.8212,1.028147,0.538949,0.086720,7.745438
14001300,23.8212,1.028147,0.538949,0.086720,7.812073
14001400,23.8212,1.028147,0.538949,0.086720,7.779233
14001500,23.8212,1.028147,0.538949,0.086720,7.817828
14001600,23.8212,1.028147,0.538949,0.086720,7.799467
14001700,23.8212,1.028147,0.538949,0.086720,7.691629
14001800,23.8212,1.028147,0.538949,0.086720,7.748418
14001900,23.8212,1.028147,0.538949,0.086720,7.767934
14002000,23.8212,1.028147,0.538949,0.086720,7.659581
14002100,23.8212,1.028147,0.538949,0.086720,7.770914
14002200,23.8212,1.028147,0.538949,0.086720,7.867387
14002300,23.8212,1.028147,0.538949,0.086720,7.739776
14002400,23.8212,1.028147,0.538949,0.086720,7.764069
14002500,23.8212,1.028147,0.538949,0.086720,7.741963
14002600,23.8212,1.028147,0.538949,0.086720,7.736458
14002700,23.8212,1.028147,0.538949,0.086720,7.706021
14002800,23.8212,1.028147,0.538949,0.086720,7.731198
14002900,23.8212,1.028147,0.538949,0.086720,7.787061
14003000,23.8212,1.028147,0.538949,0.086720,7.813663
14003100,23.8212,1.028147,0.538949,0.086720,7.786070
14003200,23.8212,1.028147,0.538949,0.086720,7.790305
14003300,23.8212,1.028147,0.538949,0.086720,7.841985
14003400,23.8212,1.028147,0.538949,0.086720,7.781460
14003500,23.8212,1.028147,0.538949,0.086720,7.766328
14003600,23.8212,1.028147,0.538949,0.086720,7.801978
14003700,23.8212,1.028147,0.538949,0.086720,7.771969
14003800,23.8212,1.028147,0.538949,0.086720,7.738639
14003900,23.8212,1.028147,0.538949,0.086720,7.688769
14004000,23.8212,1.028147,0.538949,0.086720,7.706693
14004100,23.8212,1.028147,0.538949,0.086720,7.862453
14004200,23.8212,1.028147,0.538949,0.086720,7.718711
14004300,23.8212,1.028147,0.538949,0.086720,7.691950
14004400,23.8212,1.028147,0.538949,0.086720,7.841269
14004500,23.8212,1.028147,0.538949,0.086720,7.803185
14004600,23.8212,1.028147,0.538949,0.086720,7.724474
14004700,23.8212,1.028147,0.538949,0.086720,7.749014
14004800,23.8212,1.028147,0.538949,0.086720,7.735436
14004900,23.8212,1.028147,0.538949,0.086720,7.676382
14005000,23.8212,1.028147,0.538949,0.086720,7.747850
14005100,23.8212,1.028147,0.538949,0.086720,7.758288
14005200,23.8212,1.028147,0.538949,0.086720,7.766096
14005300,23.8212,1.028147,0.538949,0.086720,7.725087
14005400,23.8212,1.028147,0.538949,0.086720,7.819443
14005500,23.8212,1.028147,0.538949,0.086720,7.821513
14005600,23.8212,1.028147,0.538949,0.086720,7.724465
14005700,23.8212,1.028147,0.538949,0.086720,7.752216
14005800,23.8212,1.028147,0.538949,0.086720,7.738536
14005900,23.8212,1.028147,0.538949,0.086720,7.771386
14006000,23.8212,1.028147,0.538949,0.086720,7.791689
14006100,23.8212,1.028147,0.538949,0.086720,7.741566
14006200,23.8212,1.028147,0.538949,0.086720,7.740099
14006300,23.8212,1.028147,0.538949,0.086720,7.790754
14006400,23.8212,1.028147,0.538949,0.086720,7.737047
14006500,23.8212,1.028147,0.538949,0.086720,7.767810
14006600,23.8212,1.028147,0.538949,0.086720,7.802715
14006700,23.8212,1.028147,0.538949,0.086720,7.752366
14006800,23.8212,1.028147,0.538949,0.086720,7.666939
14006900,23.8212,1.028147,0.538949,0.086720,7.799800
14007000,23.8212,1.028147,0.538949,0.086720,7.785923
14007100,23.8212,1.028147,0.538949,0.086720,7.670277
14007200,23.8212,1.028147,0.538949,0.086720,7.836849
14007300,23.8212,1.028147,0.538949,0.086720,7.886035
14007400,23.8212,1.028147,0.538949,0.086720,7.653023
14007500,23.8212,1.028147,0.538949,0.086720,7.747153
14007600,23.8212,1.028147,0.538949,0.086720,7.884013
14007700,23.8212,1.028147,0.538949,0.086720,7.650648
14007800,23.8212,1.028147,0.538949,0.086720,7.708264
14007900,23.8212,1.028147,0.538949,0.086720,7.850727
14008000,23.8212,1.028147,0.538949,0.086720,7.766258
14008100,23.8212,1.028147,0.538949,0.086720,7.734371
14008200,23.8212,1.028147,0.538949,0.086720,7.759691
14008300,23.8212,1.028147,0.538949,0.086720,7.757699
14008400,23.8212,1.028147,0.538949,0.086720,7.744745
14008500,23.8212,1.028147,0.538949,0.086720,7.771727
14008600,23.8212,1.028147,0.538949,0.086720,7.744032
14008700,23.8212,1.028147,0.538949,0.086720,7.666311
14008800,23.8212,1.028147,0.538949,0.086720,7.809311
14008900,23.8212,1.028147,0.538949,0.086720,7.724068
14009000,23.8212,1.028147,0.538949,0.086720,7.690885
14009100,23.8212,1.028147,0.538949,0.086720,7.836206
