Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
17000000,1.0570,0.187474,0.005507,0.000525,0.000939
17000100,1.0570,0.187474,0.005507,0.000525,0.000000
17000200,1.0570,0.187474,0.005507,0.000525,0.000000
17000300,1.0570,0.187474,0.005507,0.000525,0.000939
17000400,1.0570,0.187474,0.005507,0.000525,0.000000
17000500,1.0570,0.187474,0.005507,0.000525,0.000000
17000600,1.0570,0.187474,0.005507,0.000525,0.000000
17000700,1.0570,0.187474,0.005507,0.000525,0.000000
17000800,1.0570,0.187474,0.005507,0.000525,0.000939
17000900,1.0570,0.187474,0.005507,0.000525,0.000000
17001000,1.0570,0.187474,0.005507,0.000525,0.000000
17001100,1.0570,0.187474,0.005507,0.000525,0.000000
17001200,1.0570,0.187474,0.005507,0.000525,0.000939
17001300,1.0570,0.187474,0.005507,0.000525,0.000000
17001400,1.0570,0.187474,0.005507,0.000525,0.000000
17001500,1.0570,0.187474,0.005507,0.000525,0.000061
17001600,1.0570,0.187474,0.005507,0.000525,0.000000
17001700,1.0570,0.187474,0.005507,0.000525,0.000000
17001800,1.0570,0.187474,0.005507,0.000525,0.000000
17001900,1.0570,0.187474,0.005507,0.000525,0.000000
17002000,1.0570,0.187474,0.005507,0.000525,0.000939
17002100,1.0570,0.187474,0.005507,0.000525,0.000000
17002200,1.0570,0.187474,0.005507,0.000525,0.000000
17002300,1.0570,0.187474,0.005507,0.000525,0.000000
17002400,1.0570,0.187474,0.005507,0.000525,0.000000
17002500,1.0570,0.187474,0.005507,0.000525,0.000939
17002600,1.0570,0.187474,0.005507,0.000525,0.000000
17002700,1.0570,0.187474,0.005507,0.000525,0.000000
17002800,1.0570,0.187474,0.005507,0.000525,0.000939
17002900,1.0570,0.187474,0.005507,0.000525,0.000000
17003000,1.0570,0.187474,0.005507,0.000525,0.000000
17003100,1.0570,0.187474,0.005507,0.000525,0.000000
17003200,1.0570,0.187474,0.005507,0.000525,0.000939
17003300,1.0570,0.187474,0.005507,0.000525,0.000000
17003400,1.0570,0.187474,0.005507,0.000525,0.000000
17003500,1.0570,0.187474,0.005507,0.000525,0.000061
17003600,1.0570,0.187474,0.005507,0.000525,0.000000
17003700,1.0570,0.187474,0.005507,0.000525,0.000000
17003800,1.0570,0.187474,0.005507,0.000525,0.000000
17003900,1.0570,0.187474,0.005507,0.000525,0.000939
17004000,1.0570,0.187474,0.005507,0.000525,0.000000
17004100,1.0570,0.187474,0.005507,0.000525,0.000000
17004200,1.0570,0.187474,0.005507,0.000525,0.000939
17004300,1.0570,0.187474,0.005507,0.000525,0.000000
17004400,1.0570,0.187474,0.005507,0.000525,0.000000
17004500,1.0570,0.187474,0.005507,0.000525,0.000000
17004600,1.0570,0.187474,0.005507,0.000525,0.000939
17004700,1.0570,0.187474,0.005507,0.000525,0.000000
17004800,1.0570,0.187474,0.005507,0.000525,0.000000
17004900,1.0570,0.187474,0.005507,0.000525,0.000939
17005000,1.0570,0.187474,0.005507,0.000525,0.000000
17005100,1.0570,0.187474,0.005507,0.000525,0.000000
17005200,1.0570,0.187474,0.005507,0.000525,0.000939
17005300,1.0570,0.187474,0.005507,0.000525,0.000000
17005400,1.0570,0.187474,0.005507,0.000525,0.000000
17005500,1.0570,0.187474,0.005507,0.000525,0.000000
17005600,1.0570,0.187474,0.005507,0.000525,0.000061
17005700,1.0570,0.187474,0.005507,0.000525,0.000000
17005800,1.0570,0.187474,0.005507,0.000525,0.000000
17005900,1.0570,0.187474,0.005507,0.000525,0.000000
17006000,1.0570,0.187474,0.005507,0.000525,0.000939
17006100,1.0570,0.187474,0.005507,0.000525,0.000000
17006200,1.0570,0.187474,0.005507,0.000525,0.000000
17006300,1.0570,0.187474,0.005507,0.000525,0.000939
17006400,1.0570,0.187474,0.005507,0.000525,0.000000
17006500,1.0570,0.187474,0.005507,0.000525,0.000000
17006600,1.0570,0.187474,0.005507,0.000525,0.000000
17006700,1.0570,0.187474,0.005507,0.000525,0.000939
17006800,1.0570,0.187474,0.005507,0.000525,0.000000
17006900,1.0570,0.187474,0.005507,0.000525,0.000000
17007000,1.0570,0.187474,0.005507,0.000525,0.000000
17007100,1.0570,0.187474,0.005507,0.000525,0.000939
17007200,1.0570,0.187474,0.005507,0.000525,0.000000
17007300,1.0570,0.187474,0.005507,0.000525,0.000000
17007400,1.0570,0.187474,0.005507,0.000525,0.000000
17007500,1.0570,0.187474,0.005507,0.000525,0.000939
17007600,1.0570,0.187474,0.005507,0.000525,0.000000
17007700,1.0570,0.187474,0.005507,0.000525,0.000061
17007800,1.0570,0.187474,0.005507,0.000525,0.000000
17007900,1.0570,0.187474,0.005507,0.000525,0.000000
17008000,1.0570,0.187474,0.005507,0.000525,0.000000
17008100,1.0570,0.187474,0.005507,0.000525,0.000939
17008200,1.0570,0.187474,0.005507,0.000525,0.000000
17008300,1.0570,0.187474,0.005507,0.000525,0.000000
17008400,1.0570,0.187474,0.005507,0.000525,0.000939
17008500,1.0570,0.187474,0.005507,0.000525,0.000000
17008600,1.0570,0.187474,0.005507,0.000525,0.000000
17008700,1.0570,0.187474,0.005507,0.000525,0.000939
17008800,1.0570,0.187474,0.005507,0.000525,0.000000
17008900,1.0570,0.187474,0.005507,0.000525,0.000000
17009000,1.0570,0.187474,0.005507,0.000525,0.000939
17009100,1.0570,0.187474,0.005507,0.000525,0.000000
17009200,1.0570,0.187474,0.005507,0.000525,0.000000
17009300,1.0570,0.187474,0.005507,0.000525,0.000939
17009400,1.0570,0.187474,0.005507,0.000525,0.000000
17009500,1.0570,0.187474,0.005507,0.000525,0.000000
17009600,1.0570,0.187474,0.005507,0.000525,0.000939
17009700,1.0570,0.187474,0.005507,0.000525,0.000000
17009800,1.0570,0.187474,0.005507,0.000525,0.000000
17009900,1.0570,0.187474,0.005507,0.000525,0.000939
17010000,1.0570,0.187474,0.005507,0.000525,0.000000
17010100,1.0570,0.187474,0.005507,0.000525,0.000000
17010200,1.0570,0.187474,0.005507,0.000525,0.000939
17010300,1.0570,0.187474,0.005507,0.000525,0.000000
17010400,1.0570,0.187474,0.005507,0.000525,0.000000
17010500,1.0570,0.187474,0.005507,0.000525,0.000061
17010600,1.0570,0.187474,0.005507,0.000525,0.000000
17010700,1.0570,0.187474,0.005507,0.000525,0.000000
17010800,1.0570,0.187474,0.005507,0.000525,0.000000
17010900,1.0570,0.187474,0.005507,0.000525,0.000939
17011000,1.0570,0.187474,0.005507,0.000525,0.000000
17011100,1.0570,0.187474,0.005507,0.000525,0.000000
17011200,1.0570,0.187474,0.005507,0.000525,0.000939
17011300,1.0570,0.187474,0.005507,0.000525,0.000000
17011400,1.0570,0.187474,0.005507,0.000525,0.000000
17011500,1.0570,0.187474,0.005507,0.000525,0.000939
17011600,1.0570,0.187474,0.005507,0.000525,0.000000
17011700,1.0570,0.187474,0.005507,0.000525,0.000000
17011800,1.0570,0.187474,0.005507,0.000525,0.000939
17011900,1.0570,0.187474,0.005507,0.000525,0.000000
17012000,1.0570,0.187474,0.005507,0.000525,0.000000
17012100,1.0570,0.187474,0.005507,0.000525,0.000000
17012200,1.0570,0.187474,0.005507,0.000525,0.000000
17012300,1.0570,0.187474,0.005507,0.000525,0.000939
17012400,1.0570,0.187474,0.005507,0.000525,0.000000
17012500,1.0570,0.187474,0.005507,0.000525,0.000000
