Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
5000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.520206
5000100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.243395
5000200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.287785
5000300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.396025
5000400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.247753
5000500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.584917
5000600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.503497
5000700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.351548
5000800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.369674
5000900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.524476
5001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.502781
5001100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.171588
5001200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.439882
5001300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.310763
5001400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.286392
5001500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.584676
5001600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.601880
5001700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.150775
5001800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.298474
5001900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.458439
5002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.245338
5002100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.504151
5002200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.350731
5002300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.271857
5002400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.515211
5002500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.563436
5002600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.315426
5002700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.281468
5002800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.274135
5002900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.319515
5003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.489457
5003100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.260223
5003200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.300238
5003300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.628351
5003400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.395367
5003500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.365584
5003600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.179881
5003700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.562738
5003800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.369732
5003900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.343491
5004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.409697
5004100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.463677
5004200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.365613
