cycle,row_hit,row_miss
5000,0,0
5100,0,0
5200,0,0
5300,0,0
5400,0,0
5500,0,0
5600,0,0
5700,32,1
5800,18,3
5900,63,2
6000,64,0
6100,64,0
6200,62,0
6300,11,0
6400,0,0
6500,0,0
6600,0,0
6700,0,0
6800,0,0
6900,0,0
7000,0,0
7100,0,0
7200,44,4
7300,64,0
7400,62,0
7500,64,2
7600,62,0
7700,18,0
7800,0,0
7900,0,0
8000,0,0
8100,0,0
8200,0,0
8300,23,0
8400,48,0
8500,47,2
8600,58,0
8700,48,2
8800,57,0
8900,35,0
9000,0,0
9100,0,0
9200,0,0
9300,0,0
9400,16,0
9500,18,2
9600,40,0
9700,53,0
9800,47,2
9900,64,0
10000,36,2
10100,37,0
10200,3,0
10300,0,0
10400,0,0
10500,3,0
10600,13,0
10700,24,0
10800,32,0
10900,16,2
11000,55,0
11100,64,2
11200,37,0
11300,52,0
11400,20,0
11500,0,0
11600,8,0
11700,6,0
11800,9,0
11900,27,2
12000,37,0
12100,29,0
12200,37,2
12300,47,0
12400,39,0
12500,42,5
12600,60,1
12700,21,0
12800,47,0
12900,29,0
13000,18,0
13100,59,2
13200,37,0
13300,38,2
13400,44,0
13500,60,2
13600,57,2
13700,60,0
13800,43,0
13900,6,0
14000,47,2
14100,64,0
14200,42,2
14300,37,0
14400,28,0
14500,52,2
14600,53,0
14700,60,2
14800,43,0
14900,47,0
15000,58,2
15100,52,1
15200,53,1
15300,51,0
15400,43,0
15500,40,2
15600,58,0
15700,40,0
15800,27,2
15900,59,0
16000,63,1
16100,61,1
16200,48,2
16300,36,0
16400,64,0
16500,56,2
16600,57,0
16700,39,2
16800,21,2
16900,59,0
17000,36,4
17100,16,0
17200,61,1
17300,64,1
17400,63,0
17500,58,0
17600,20,2
17700,27,2
17800,64,4
17900,59,0
18000,66,0
18100,63,0
18200,21,2
18300,16,2
18400,25,0
18500,65,4
18600,65,0
18700,60,0
18800,32,0
18900,14,4
19000,38,2
19100,64,1
19200,64,1
19300,60,0
19400,52,0
19500,20,2
19600,15,0
19700,26,2
19800,62,0
19900,64,2
20000,64,4
20100,60,0
20200,65,0
20300,32,3
20400,13,1
20500,16,0
20600,14,0
20700,34,0
20800,64,2
20900,64,1
21000,62,1
21100,62,1
21200,64,1
21300,34,0
21400,40,6
21500,64,0
21600,34,0
21700,12,4
21800,34,0
21900,62,0
22000,67,0
22100,51,2
22200,35,1
22300,13,2
22400,10,0
22500,66,0
22600,65,2
22700,63,2
22800,47,1
22900,12,2
23000,39,0
23100,36,0
23200,15,0
23300,54,0
23400,65,4
23500,62,2
23600,18,0
23700,15,1
23800,40,1
23900,67,0
24000,64,2
24100,62,2
24200,60,0
24300,16,0
24400,23,2
24500,64,1
24600,63,1
24700,61,4
24800,56,0
24900,18,3
25000,9,1
25100,70,0
25200,64,2
25300,62,0
25400,62,1
25500,13,1
25600,12,3
25700,15,0
25800,53,2
25900,61,0
26000,40,1
26100,6,0
26200,0,0
26300,1,1
26400,32,1
26500,3,0
26600,4,0
