cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,0,0,0,0
5300,0,0,0,0,0,0
5400,0,0,0,0,0,0
5500,0,0,4,0,10,0
5600,0,0,26,0,44,0
5700,0,0,12,0,56,0
5800,0,0,17,0,48,0
5900,0,0,9,0,19,0
6000,0,0,3,0,17,0
6100,0,0,1,0,8,0
6200,0,0,7,0,19,0
6300,0,0,9,0,19,0
6400,0,0,24,0,4,0
6500,0,0,5,0,1,0
6600,0,0,8,0,1,0
6700,0,0,19,0,2,0
6800,0,0,23,0,2,0
6900,0,0,26,0,1,0
7000,0,0,9,0,0,0
7100,0,0,7,0,0,0
7200,0,0,21,0,0,0
7300,0,0,6,0,0,0
7400,0,0,13,0,1,0
7500,0,0,7,0,2,0
7600,0,0,11,0,0,0
7700,0,0,11,0,3,0
7800,0,0,5,0,2,0
7900,0,0,9,0,0,0
8000,0,0,8,0,0,0
8100,0,0,9,0,1,0
8200,0,0,9,0,0,0
8300,0,0,5,0,0,0
8400,0,0,12,0,1,0
8500,0,0,5,0,0,0
8600,0,0,12,0,1,0
8700,0,0,6,0,1,0
8800,0,0,10,0,0,0
8900,0,0,13,0,2,0
9000,0,0,8,0,1,0
9100,0,0,6,0,1,0
9200,0,0,9,0,0,0
9300,0,0,14,0,3,0
9400,0,0,5,0,1,0
9500,0,0,9,0,1,0
9600,0,0,5,0,0,0
9700,0,0,12,0,1,0
9800,0,0,9,0,2,0
9900,0,0,10,0,0,0
10000,0,0,8,0,1,0
10100,0,0,8,0,0,0
10200,0,0,9,0,0,0
10300,0,0,10,0,0,0
10400,0,0,8,0,0,0
10500,0,0,9,0,1,0
10600,0,0,13,0,1,0
10700,0,0,11,0,2,0
10800,0,1,5,0,3,1
10900,0,0,12,0,1,0
11000,0,0,8,0,0,0
11100,0,0,7,0,2,0
11200,0,0,9,0,1,0
11300,0,1,10,0,0,1
11400,0,0,8,0,0,0
11500,0,0,10,0,3,0
11600,0,0,9,0,1,0
11700,0,0,6,0,3,0
11800,0,0,7,0,3,0
11900,0,2,10,0,2,2
12000,0,0,9,0,0,0
12100,0,0,12,0,0,0
12200,0,0,6,0,3,0
12300,0,0,5,0,2,0
12400,0,3,14,0,1,3
12500,0,1,10,0,0,1
12600,0,0,5,0,3,0
12700,0,0,7,0,2,0
12800,0,0,11,0,0,0
12900,0,0,5,0,1,0
13000,0,0,11,0,2,0
13100,1,0,9,0,1,0
13200,0,0,7,0,2,0
13300,0,0,10,0,3,0
13400,0,0,11,0,0,0
13500,0,0,5,0,1,0
13600,0,0,10,0,1,0
13700,0,0,7,0,3,0
13800,4,0,7,0,4,0
13900,4,0,9,0,0,0
14000,3,0,11,0,2,0
14100,6,0,5,0,0,0
14200,3,0,12,0,3,0
14300,2,1,10,0,2,1
14400,6,4,7,0,5,4
14500,7,1,1,56,0,1
14600,13,5,13,11,6,5
14700,7,4,9,0,3,4
14800,9,7,10,0,5,7
14900,10,8,7,0,2,8
15000,5,1,4,38,2,1
15100,0,0,0,100,0,0
15200,0,0,0,100,0,0
15300,0,0,0,100,0,0
15400,0,0,0,100,0,0
15500,0,0,0,100,0,0
15600,0,0,0,100,0,0
15700,0,0,0,100,0,0
15800,0,0,0,100,0,0
15900,0,0,0,100,0,0
16000,0,0,0,100,0,0
16100,0,0,0,100,0,0
16200,23,1,18,50,8,1
16300,30,1,16,0,5,1
16400,10,1,1,0,1,1
16500,44,3,14,30,9,3
16600,0,0,0,100,0,0
16700,0,0,0,100,0,0
16800,20,1,3,73,3,1
16900,82,0,10,0,8,0
17000,72,1,19,0,8,1
17100,21,0,5,0,2,0
17200,32,0,3,0,2,0
17300,78,0,10,0,12,0
17400,86,0,6,0,8,0
17500,86,0,5,0,9,0
17600,85,0,6,0,9,0
17700,81,2,6,0,11,2
17800,80,2,5,0,13,2
17900,78,5,14,0,3,5
18000,69,2,20,0,9,2
18100,77,2,11,0,8,2
18200,53,2,13,0,4,2
18300,26,0,8,0,6,0
18400,47,0,15,0,10,0
18500,40,0,17,0,8,0
18600,40,0,15,0,6,0
18700,12,0,10,0,2,0
18800,12,0,10,0,2,0
18900,39,0,10,0,4,0
19000,24,0,9,0,4,0
19100,22,0,7,0,3,0
