Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,23.8212,1.028147,0.538949,0.086720,8.483750
200,23.8212,1.028147,0.538949,0.086720,8.483750
300,23.8212,1.028147,0.538949,0.086720,8.483750
400,23.8212,1.028147,0.538949,0.086720,8.483750
500,23.8212,1.028147,0.538949,0.086720,8.483750
600,23.8212,1.028147,0.538949,0.086720,8.483750
700,23.8212,1.028147,0.538949,0.086720,8.483750
800,23.8212,1.028147,0.538949,0.086720,8.483750
900,23.8212,1.028147,0.538949,0.086720,8.483750
1000,23.8212,1.028147,0.538949,0.086720,8.483750
1100,23.8212,1.028147,0.538949,0.086720,8.483750
1200,23.8212,1.028147,0.538949,0.086720,8.483750
1300,23.8212,1.028147,0.538949,0.086720,8.483750
1400,23.8212,1.028147,0.538949,0.086720,8.483750
1500,23.8212,1.028147,0.538949,0.086720,8.483750
1600,23.8212,1.028147,0.538949,0.086720,8.483750
1700,23.8212,1.028147,0.538949,0.086720,8.483750
1800,23.8212,1.028147,0.538949,0.086720,8.483750
1900,23.8212,1.028147,0.538949,0.086720,8.483750
2000,23.8212,1.028147,0.538949,0.086720,8.483750
2100,23.8212,1.028147,0.538949,0.086720,8.483750
2200,23.8212,1.028147,0.538949,0.086720,8.483750
2300,23.8212,1.028147,0.538949,0.086720,8.483750
2400,23.8212,1.028147,0.538949,0.086720,8.483750
2500,23.8212,1.028147,0.538949,0.086720,8.483750
2600,23.8212,1.028147,0.538949,0.086720,8.483750
2700,23.8212,1.028147,0.538949,0.086720,8.483750
2800,23.8212,1.028147,0.538949,0.086720,8.483750
2900,23.8212,1.028147,0.538949,0.086720,8.483750
3000,23.8212,1.028147,0.538949,0.086720,8.483750
3100,23.8212,1.028147,0.538949,0.086720,8.483750
3200,23.8212,1.028147,0.538949,0.086720,8.483750
3300,23.8212,1.028147,0.538949,0.086720,8.483750
3400,23.8212,1.028147,0.538949,0.086720,8.483750
3500,23.8212,1.028147,0.538949,0.086720,8.483750
3600,23.8212,1.028147,0.538949,0.086720,8.483750
3700,23.8212,1.028147,0.538949,0.086720,8.483750
3800,23.8212,1.028147,0.538949,0.086720,8.483750
3900,23.8212,1.028147,0.538949,0.086720,8.483750
4000,23.8212,1.028147,0.538949,0.086720,8.483750
4100,23.8212,1.028147,0.538949,0.086720,8.483750
4200,23.8212,1.028147,0.538949,0.086720,8.483750
4300,23.8212,1.028147,0.538949,0.086720,8.483750
4400,23.8212,1.028147,0.538949,0.086720,8.483750
4500,23.8212,1.028147,0.538949,0.086720,8.483750
4600,23.8212,1.028147,0.538949,0.086720,8.483750
4700,23.8212,1.028147,0.538949,0.086720,8.483750
4800,23.8212,1.028147,0.538949,0.086720,8.483750
4900,23.8212,1.028147,0.538949,0.086720,8.483750
5000,23.8212,1.028147,0.538949,0.086720,8.483750
5100,23.8212,1.028147,0.538949,0.086720,14.959176
5200,23.8212,1.028147,0.538949,0.086720,68.603613
5300,23.8212,1.028147,0.538949,0.086720,46.339489
5400,23.8212,1.028147,0.538949,0.086720,8.362237
5500,23.8212,1.028147,0.538949,0.086720,0.000000
5600,23.8212,1.028147,0.538949,0.086720,0.025200
5700,23.8212,1.028147,0.538949,0.086720,0.652248
5800,23.8212,1.028147,0.538949,0.086720,3.408572
5900,23.8212,1.028147,0.538949,0.086720,2.844577
6000,23.8212,1.028147,0.538949,0.086720,4.327226
6100,23.8212,1.028147,0.538949,0.086720,11.893839
6200,23.8212,1.028147,0.538949,0.086720,13.756310
6300,23.8212,1.028147,0.538949,0.086720,7.635028
6400,23.8212,1.028147,0.538949,0.086720,8.046510
6500,23.8212,1.028147,0.538949,0.086720,10.745360
6600,23.8212,1.028147,0.538949,0.086720,12.607237
6700,23.8212,1.028147,0.538949,0.086720,12.886938
6800,23.8212,1.028147,0.538949,0.086720,40.481563
6900,23.8212,1.028147,0.538949,0.086720,34.618574
7000,23.8212,1.028147,0.538949,0.086720,40.638202
7100,23.8212,1.028147,0.538949,0.086720,15.741472
7200,23.8212,1.028147,0.538949,0.086720,4.675456
7300,23.8212,1.028147,0.538949,0.086720,6.101257
7400,23.8212,1.028147,0.538949,0.086720,6.853800
7500,23.8212,1.028147,0.538949,0.086720,12.321182
7600,23.8212,1.028147,0.538949,0.086720,13.692684
7700,23.8212,1.028147,0.538949,0.086720,13.513443
7800,23.8212,1.028147,0.538949,0.086720,14.309157
7900,23.8212,1.028147,0.538949,0.086720,26.763398
8000,23.8212,1.028147,0.538949,0.086720,27.346216
8100,23.8212,1.028147,0.538949,0.086720,31.077253
8200,23.8212,1.028147,0.538949,0.086720,23.054732
8300,23.8212,1.028147,0.538949,0.086720,21.029196
8400,23.8212,1.028147,0.538949,0.086720,17.221344
8500,23.8212,1.028147,0.538949,0.086720,13.797931
8600,23.8212,1.028147,0.538949,0.086720,8.613382
8700,23.8212,1.028147,0.538949,0.086720,7.686407
8800,23.8212,1.028147,0.538949,0.086720,11.495449
8900,23.8212,1.028147,0.538949,0.086720,14.065312
9000,23.8212,1.028147,0.538949,0.086720,14.214568
9100,23.8212,1.028147,0.538949,0.086720,14.660190
9200,23.8212,1.028147,0.538949,0.086720,24.009319
9300,23.8212,1.028147,0.538949,0.086720,36.732217
9400,23.8212,1.028147,0.538949,0.086720,22.175785
9500,23.8212,1.028147,0.538949,0.086720,12.361258
9600,23.8212,1.028147,0.538949,0.086720,10.967698
9700,23.8212,1.028147,0.538949,0.086720,14.727392
9800,23.8212,1.028147,0.538949,0.086720,24.232043
9900,23.8212,1.028147,0.538949,0.086720,14.970627
10000,23.8212,1.028147,0.538949,0.086720,9.718352
10100,23.8212,1.028147,0.538949,0.086720,8.422048
10200,23.8212,1.028147,0.538949,0.086720,13.232421
10300,23.8212,1.028147,0.538949,0.086720,20.454706
10400,23.8212,1.028147,0.538949,0.086720,17.902998
10500,23.8212,1.028147,0.538949,0.086720,20.968128
10600,23.8212,1.028147,0.538949,0.086720,24.634092
10700,23.8212,1.028147,0.538949,0.086720,22.700738
10800,23.8212,1.028147,0.538949,0.086720,19.010699
10900,23.8212,1.028147,0.538949,0.086720,12.767790
11000,23.8212,1.028147,0.538949,0.086720,8.865501
11100,23.8212,1.028147,0.538949,0.086720,15.868479
11200,23.8212,1.028147,0.538949,0.086720,20.694461
11300,23.8212,1.028147,0.538949,0.086720,17.131554
11400,23.8212,1.028147,0.538949,0.086720,14.234173
11500,23.8212,1.028147,0.538949,0.086720,13.031218
11600,23.8212,1.028147,0.538949,0.086720,17.298869
11700,23.8212,1.028147,0.538949,0.086720,22.404927
11800,23.8212,1.028147,0.538949,0.086720,22.223281
11900,23.8212,1.028147,0.538949,0.086720,14.234521
12000,23.8212,1.028147,0.538949,0.086720,21.098380
12100,23.8212,1.028147,0.538949,0.086720,19.154556
12200,23.8212,1.028147,0.538949,0.086720,14.205376
12300,23.8212,1.028147,0.538949,0.086720,12.563926
12400,23.8212,1.028147,0.538949,0.086720,16.780351
12500,23.8212,1.028147,0.538949,0.086720,15.623438
12600,23.8212,1.028147,0.538949,0.086720,16.827191
12700,23.8212,1.028147,0.538949,0.086720,17.158434
12800,23.8212,1.028147,0.538949,0.086720,14.905240
12900,23.8212,1.028147,0.538949,0.086720,15.694034
13000,23.8212,1.028147,0.538949,0.086720,19.003791
13100,23.8212,1.028147,0.538949,0.086720,23.493257
13200,23.8212,1.028147,0.538949,0.086720,21.424011
13300,23.8212,1.028147,0.538949,0.086720,16.614493
13400,23.8212,1.028147,0.538949,0.086720,18.021191
13500,23.8212,1.028147,0.538949,0.086720,16.371387
13600,23.8212,1.028147,0.538949,0.086720,17.976113
13700,23.8212,1.028147,0.538949,0.086720,14.627099
13800,23.8212,1.028147,0.538949,0.086720,12.953108
13900,23.8212,1.028147,0.538949,0.086720,19.272322
14000,23.8212,1.028147,0.538949,0.086720,16.304664
14100,23.8212,1.028147,0.538949,0.086720,12.070918
14200,23.8212,1.028147,0.538949,0.086720,18.483647
14300,23.8212,1.028147,0.538949,0.086720,19.857562
14400,23.8212,1.028147,0.538949,0.086720,18.523078
14500,23.8212,1.028147,0.538949,0.086720,21.333481
14600,23.8212,1.028147,0.538949,0.086720,19.230163
14700,23.8212,1.028147,0.538949,0.086720,17.875258
14800,23.8212,1.028147,0.538949,0.086720,17.787398
14900,23.8212,1.028147,0.538949,0.086720,12.776813
15000,23.8212,1.028147,0.538949,0.086720,15.779855
15100,23.8212,1.028147,0.538949,0.086720,17.768326
15200,23.8212,1.028147,0.538949,0.086720,20.910795
15300,23.8212,1.028147,0.538949,0.086720,11.525421
15400,23.8212,1.028147,0.538949,0.086720,12.992047
15500,23.8212,1.028147,0.538949,0.086720,16.965319
15600,23.8212,1.028147,0.538949,0.086720,20.461995
15700,23.8212,1.028147,0.538949,0.086720,14.022268
15800,23.8212,1.028147,0.538949,0.086720,19.279857
15900,23.8212,1.028147,0.538949,0.086720,25.365498
16000,23.8212,1.028147,0.538949,0.086720,18.122824
16100,23.8212,1.028147,0.538949,0.086720,14.636315
16200,23.8212,1.028147,0.538949,0.086720,15.038820
16300,23.8212,1.028147,0.538949,0.086720,17.934360
16400,23.8212,1.028147,0.538949,0.086720,15.016034
16500,23.8212,1.028147,0.538949,0.086720,18.252545
16600,23.8212,1.028147,0.538949,0.086720,16.709286
16700,23.8212,1.028147,0.538949,0.086720,13.599393
16800,23.8212,1.028147,0.538949,0.086720,15.809018
16900,23.8212,1.028147,0.538949,0.086720,17.183514
17000,23.8212,1.028147,0.538949,0.086720,15.357694
17100,23.8212,1.028147,0.538949,0.086720,16.137958
17200,23.8212,1.028147,0.538949,0.086720,18.693313
17300,23.8212,1.028147,0.538949,0.086720,20.114370
17400,23.8212,1.028147,0.538949,0.086720,15.479900
17500,23.8212,1.028147,0.538949,0.086720,14.119292
17600,23.8212,1.028147,0.538949,0.086720,9.052879
17700,23.8212,1.028147,0.538949,0.086720,21.125579
17800,23.8212,1.028147,0.538949,0.086720,19.518347
17900,23.8212,1.028147,0.538949,0.086720,13.681576
