Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,1.0570,0.187474,0.005507,0.000525,0.001061
2000100,1.0570,0.187474,0.005507,0.000525,0.003245
2000200,1.0570,0.187474,0.005507,0.000525,0.002490
2000300,1.0570,0.187474,0.005507,0.000525,0.000489
2000400,1.0570,0.187474,0.005507,0.000525,0.005062
2000500,1.0570,0.187474,0.005507,0.000525,0.000245
2000600,1.0570,0.187474,0.005507,0.000525,0.002367
2000700,1.0570,0.187474,0.005507,0.000525,0.004490
2000800,1.0570,0.187474,0.005507,0.000525,0.001184
2000900,1.0570,0.187474,0.005507,0.000525,0.001122
2001000,1.0570,0.187474,0.005507,0.000525,0.002490
2001100,1.0570,0.187474,0.005507,0.000525,0.001428
2001200,1.0570,0.187474,0.005507,0.000525,0.002367
2001300,1.0570,0.187474,0.005507,0.000525,0.002123
2001400,1.0570,0.187474,0.005507,0.000525,0.001245
2001500,1.0570,0.187474,0.005507,0.000525,0.003123
2001600,1.0570,0.187474,0.005507,0.000525,0.002612
2001700,1.0570,0.187474,0.005507,0.000525,0.001245
2001800,1.0570,0.187474,0.005507,0.000525,0.004368
2001900,1.0570,0.187474,0.005507,0.000525,0.001184
2002000,1.0570,0.187474,0.005507,0.000525,0.005123
2002100,1.0570,0.187474,0.005507,0.000525,0.001245
2002200,1.0570,0.187474,0.005507,0.000525,0.001428
2002300,1.0570,0.187474,0.005507,0.000525,0.003306
2002400,1.0570,0.187474,0.005507,0.000525,0.003184
2002500,1.0570,0.187474,0.005507,0.000525,0.000428
2002600,1.0570,0.187474,0.005507,0.000525,0.002306
2002700,1.0570,0.187474,0.005507,0.000525,0.001612
2002800,1.0570,0.187474,0.005507,0.000525,0.003000
2002900,1.0570,0.187474,0.005507,0.000525,0.000367
2003000,1.0570,0.187474,0.005507,0.000525,0.003062
2003100,1.0570,0.187474,0.005507,0.000525,0.003734
2003200,1.0570,0.187474,0.005507,0.000525,0.000489
2003300,1.0570,0.187474,0.005507,0.000525,0.005306
2003400,1.0570,0.187474,0.005507,0.000525,0.002939
2003500,1.0570,0.187474,0.005507,0.000525,0.001306
2003600,1.0570,0.187474,0.005507,0.000525,0.003551
2003700,1.0570,0.187474,0.005507,0.000525,0.002123
2003800,1.0570,0.187474,0.005507,0.000525,0.001122
2003900,1.0570,0.187474,0.005507,0.000525,0.001245
2004000,1.0570,0.187474,0.005507,0.000525,0.001979
2004100,1.0570,0.187474,0.005507,0.000525,0.000245
2004200,1.0570,0.187474,0.005507,0.000525,0.001939
2004300,1.0570,0.187474,0.005507,0.000525,0.000367
2004400,1.0570,0.187474,0.005507,0.000525,0.003429
2004500,1.0570,0.187474,0.005507,0.000525,0.003367
2004600,1.0570,0.187474,0.005507,0.000525,0.002306
