cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,0,0,0,0
5300,0,0,0,0,0,0
5400,0,0,0,0,0,0
5500,0,0,6,0,18,0
5600,0,0,25,0,33,0
5700,0,0,8,0,58,0
5800,0,0,20,0,53,0
5900,0,0,6,0,11,0
6000,0,0,2,0,7,0
6100,0,0,3,0,6,0
6200,0,0,8,0,22,0
6300,0,0,3,0,29,0
6400,0,0,13,0,16,0
6500,0,0,13,0,15,0
6600,0,0,15,0,13,0
6700,0,0,18,0,9,0
6800,0,0,13,0,17,0
6900,0,0,14,0,11,0
7000,0,0,14,0,10,0
7100,0,0,4,0,3,0
7200,0,0,6,0,4,0
7300,0,0,15,0,8,0
7400,0,0,15,0,12,0
7500,0,0,11,0,13,0
7600,0,0,4,0,5,0
7700,0,0,5,0,4,0
7800,0,0,9,0,4,0
7900,0,0,17,0,13,0
8000,0,0,11,0,18,0
8100,0,0,6,0,5,0
8200,0,0,4,0,4,0
8300,0,0,4,0,2,0
8400,1,0,10,0,9,0
8500,0,0,12,0,16,0
8600,0,0,12,0,6,0
8700,0,0,2,0,5,0
8800,0,0,10,0,10,0
8900,1,0,12,0,15,0
9000,0,0,8,0,8,0
9100,0,0,4,0,2,0
9200,0,2,8,0,10,2
9300,0,1,10,0,16,1
9400,0,3,7,0,12,3
9500,1,0,3,0,4,0
9600,0,1,6,0,7,1
9700,0,2,10,0,16,2
9800,0,2,3,0,3,2
9900,0,1,1,0,1,1
10000,0,0,0,0,1,0
10100,0,0,1,0,0,0
10200,1,1,4,0,3,1
10300,1,4,0,0,2,4
10400,0,3,0,0,5,3
10500,1,0,1,0,4,0
10600,0,1,0,0,4,1
10700,4,0,1,0,5,0
10800,1,0,1,0,8,0
10900,3,0,1,0,15,0
11000,1,2,1,0,13,2
11100,1,1,0,0,12,1
11200,1,0,0,0,10,0
11300,0,0,0,0,5,0
11400,0,1,0,0,12,1
11500,1,0,3,0,12,0
11600,0,0,2,0,18,0
11700,1,0,1,0,11,0
11800,2,1,1,0,11,1
11900,2,0,0,0,12,0
12000,0,0,0,0,15,0
12100,1,0,0,0,17,0
12200,1,0,1,0,16,0
12300,1,0,0,0,15,0
12400,2,0,0,0,16,0
12500,3,0,0,0,22,0
12600,1,0,0,0,15,0
12700,1,0,1,0,10,0
12800,3,0,0,0,16,0
12900,0,1,0,0,12,1
13000,2,1,0,0,11,1
13100,2,0,0,0,9,0
13200,1,0,0,0,9,0
13300,3,0,2,0,11,0
13400,2,1,0,0,9,1
13500,3,1,0,0,16,1
13600,0,0,0,0,9,0
13700,4,0,0,0,16,0
13800,4,0,1,0,12,0
13900,0,0,1,0,20,0
14000,1,0,0,0,10,0
14100,2,0,1,0,12,0
14200,1,1,0,0,9,1
14300,3,0,0,0,16,0
14400,1,0,1,0,8,0
14500,5,0,1,0,21,0
14600,6,1,1,0,18,1
14700,3,0,1,0,9,0
14800,5,0,0,0,12,0
14900,1,0,0,0,7,0
15000,0,0,0,0,9,0
15100,0,0,0,0,6,0
15200,3,0,1,0,8,0
15300,2,0,1,0,7,0
15400,3,0,2,0,9,0
15500,2,0,1,0,8,0
15600,1,0,3,0,15,0
15700,1,0,0,0,9,0
15800,4,0,1,0,5,0
15900,2,0,1,0,11,0
16000,3,0,1,0,4,0
16100,3,0,2,0,8,0
16200,0,0,2,0,14,0
16300,4,0,0,0,5,0
16400,2,0,0,0,0,0
16500,2,0,2,0,8,0
16600,5,0,0,0,4,0
16700,2,0,2,0,10,0
16800,0,0,1,0,6,0
16900,2,0,1,0,5,0
17000,1,0,0,0,2,0
17100,0,0,0,0,9,0
17200,0,0,0,0,3,0
17300,0,0,0,0,4,0
17400,0,0,0,0,3,0
17500,0,0,0,0,8,0
17600,0,0,0,0,4,0
17700,1,0,1,0,7,0
17800,0,0,1,0,6,0
17900,0,0,1,0,5,0
18000,0,0,2,0,7,0
18100,0,0,0,0,1,0
18200,0,0,0,0,2,0
18300,0,0,1,0,3,0
18400,1,0,0,0,0,0
18500,1,0,0,0,1,0
18600,0,0,3,0,8,0
18700,0,0,4,0,9,0
18800,3,0,1,0,4,0
18900,0,0,0,0,0,0
19000,1,0,3,0,9,0
19100,0,0,4,0,2,0
