Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.0324,0.013523,0.002678,0.000431,0.000000
2000,0.0324,0.013523,0.002678,0.000431,0.000000
3000,0.0324,0.013523,0.002678,0.000431,0.000000
4000,0.0324,0.013523,0.002678,0.000431,0.000000
5000,0.0324,0.013523,0.002678,0.000431,0.000000
6000,0.0324,0.013523,0.002678,0.000431,0.616435
7000,0.0324,0.013523,0.002678,0.000431,0.939873
8000,0.0324,0.013523,0.002678,0.000431,0.347648
9000,0.0324,0.013523,0.002678,0.000431,1.021790
10000,0.0324,0.013523,0.002678,0.000431,1.302212
11000,0.0324,0.013523,0.002678,0.000431,1.373787
12000,0.0324,0.013523,0.002678,0.000431,1.391886
13000,0.0324,0.013523,0.002678,0.000431,1.502363
14000,0.0324,0.013523,0.002678,0.000431,1.446537
15000,0.0324,0.013523,0.002678,0.000431,1.548199
16000,0.0324,0.013523,0.002678,0.000431,1.574525
17000,0.0324,0.013523,0.002678,0.000431,1.452766
18000,0.0324,0.013523,0.002678,0.000431,1.390006
19000,0.0324,0.013523,0.002678,0.000431,1.361799
20000,0.0324,0.013523,0.002678,0.000431,1.388713
21000,0.0324,0.013523,0.002678,0.000431,1.333945
22000,0.0324,0.013523,0.002678,0.000431,1.333945
23000,0.0324,0.013523,0.002678,0.000431,1.247092
24000,0.0324,0.013523,0.002678,0.000431,1.305150
25000,0.0324,0.013523,0.002678,0.000431,1.220178
26000,0.0324,0.013523,0.002678,0.000431,1.200903
27000,0.0324,0.013523,0.002678,0.000431,1.152834
28000,0.0324,0.013523,0.002678,0.000431,1.001575
29000,0.0324,0.013523,0.002678,0.000431,0.936582
30000,0.0324,0.013523,0.002678,0.000431,0.945397
31000,0.0324,0.013523,0.002678,0.000431,0.833510
32000,0.0324,0.013523,0.002678,0.000431,0.873822
33000,0.0324,0.013523,0.002678,0.000431,0.802365
34000,0.0324,0.013523,0.002678,0.000431,0.746069
35000,0.0324,0.013523,0.002678,0.000431,0.785206
36000,0.0324,0.013523,0.002678,0.000431,0.682134
37000,0.0324,0.013523,0.002678,0.000431,0.587993
38000,0.0324,0.013523,0.002678,0.000431,0.508662
39000,0.0324,0.013523,0.002678,0.000431,0.465059
40000,0.0324,0.013523,0.002678,0.000431,0.461181
41000,0.0324,0.013523,0.002678,0.000431,0.435795
42000,0.0324,0.013523,0.002678,0.000431,0.413934
43000,0.0324,0.013523,0.002678,0.000431,0.410056
44000,0.0324,0.013523,0.002678,0.000431,0.385375
45000,0.0324,0.013523,0.002678,0.000431,0.353760
46000,0.0324,0.013523,0.002678,0.000431,0.347413
47000,0.0324,0.013523,0.002678,0.000431,0.339304
48000,0.0324,0.013523,0.002678,0.000431,0.298404
49000,0.0324,0.013523,0.002678,0.000431,0.313565
50000,0.0324,0.013523,0.002678,0.000431,0.292528
51000,0.0324,0.013523,0.002678,0.000431,0.257152
52000,0.0324,0.013523,0.002678,0.000431,0.242108
53000,0.0324,0.013523,0.002678,0.000431,0.237172
54000,0.0324,0.013523,0.002678,0.000431,0.225302
55000,0.0324,0.013523,0.002678,0.000431,0.182756
56000,0.0324,0.013523,0.002678,0.000431,0.182874
57000,0.0324,0.013523,0.002678,0.000431,0.211786
58000,0.0324,0.013523,0.002678,0.000431,0.216604
59000,0.0324,0.013523,0.002678,0.000431,0.169241
60000,0.0324,0.013523,0.002678,0.000431,0.194392
61000,0.0324,0.013523,0.002678,0.000431,0.185107
62000,0.0324,0.013523,0.002678,0.000431,0.186870
63000,0.0324,0.013523,0.002678,0.000431,0.158663
64000,0.0324,0.013523,0.002678,0.000431,0.155137
65000,0.0324,0.013523,0.002678,0.000431,0.168770
66000,0.0324,0.013523,0.002678,0.000431,0.153727
67000,0.0324,0.013523,0.002678,0.000431,0.156900
68000,0.0324,0.013523,0.002678,0.000431,0.156312
69000,0.0324,0.013523,0.002678,0.000431,0.146675
70000,0.0324,0.013523,0.002678,0.000431,0.144677
71000,0.0324,0.013523,0.002678,0.000431,0.145617
72000,0.0324,0.013523,0.002678,0.000431,0.141151
73000,0.0324,0.013523,0.002678,0.000431,0.144207
74000,0.0324,0.013523,0.002678,0.000431,0.140916
75000,0.0324,0.013523,0.002678,0.000431,0.135275
76000,0.0324,0.013523,0.002678,0.000431,0.137508
77000,0.0324,0.013523,0.002678,0.000431,0.136098
78000,0.0324,0.013523,0.002678,0.000431,0.135392
79000,0.0324,0.013523,0.002678,0.000431,0.145735
80000,0.0324,0.013523,0.002678,0.000431,0.125873
81000,0.0324,0.013523,0.002678,0.000431,0.128928
82000,0.0324,0.013523,0.002678,0.000431,0.122229
83000,0.0324,0.013523,0.002678,0.000431,0.138448
84000,0.0324,0.013523,0.002678,0.000431,0.132219
85000,0.0324,0.013523,0.002678,0.000431,0.121407
86000,0.0324,0.013523,0.002678,0.000431,0.115883
87000,0.0324,0.013523,0.002678,0.000431,0.120466
88000,0.0324,0.013523,0.002678,0.000431,0.125285
89000,0.0324,0.013523,0.002678,0.000431,0.123405
90000,0.0324,0.013523,0.002678,0.000431,0.116118
91000,0.0324,0.013523,0.002678,0.000431,0.107773
92000,0.0324,0.013523,0.002678,0.000431,0.119879
93000,0.0324,0.013523,0.002678,0.000431,0.115413
94000,0.0324,0.013523,0.002678,0.000431,0.110476
95000,0.0324,0.013523,0.002678,0.000431,0.114237
96000,0.0324,0.013523,0.002678,0.000431,0.106716
97000,0.0324,0.013523,0.002678,0.000431,0.106833
98000,0.0324,0.013523,0.002678,0.000431,0.111417
99000,0.0324,0.013523,0.002678,0.000431,0.113415
100000,0.0324,0.013523,0.002678,0.000431,0.103425
101000,0.0324,0.013523,0.002678,0.000431,0.107656
102000,0.0324,0.013523,0.002678,0.000431,0.102602
