Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
16000000,23.8212,1.028147,0.538949,0.086720,7.799079
16001000,23.8212,1.028147,0.538949,0.086720,7.754854
16002000,23.8212,1.028147,0.538949,0.086720,7.765709
16003000,23.8212,1.028147,0.538949,0.086720,7.779357
16004000,23.8212,1.028147,0.538949,0.086720,7.772481
16005000,23.8212,1.028147,0.538949,0.086720,7.761272
16006000,23.8212,1.028147,0.538949,0.086720,7.781516
16007000,23.8212,1.028147,0.538949,0.086720,7.761134
16008000,23.8212,1.028147,0.538949,0.086720,7.784308
16009000,23.8212,1.028147,0.538949,0.086720,7.760631
16010000,23.8212,1.028147,0.538949,0.086720,7.776372
16011000,23.8212,1.028147,0.538949,0.086720,7.769045
16012000,23.8212,1.028147,0.538949,0.086720,7.767296
16013000,23.8212,1.028147,0.538949,0.086720,7.799895
16014000,23.8212,1.028147,0.538949,0.086720,7.744027
16015000,23.8212,1.028147,0.538949,0.086720,7.784796
16016000,23.8212,1.028147,0.538949,0.086720,7.790122
16017000,23.8212,1.028147,0.538949,0.086720,7.739990
16018000,23.8212,1.028147,0.538949,0.086720,7.791984
16019000,23.8212,1.028147,0.538949,0.086720,7.773285
16020000,23.8212,1.028147,0.538949,0.086720,7.765867
16021000,23.8212,1.028147,0.538949,0.086720,7.774586
16022000,23.8212,1.028147,0.538949,0.086720,7.766782
16023000,23.8212,1.028147,0.538949,0.086720,7.794492
16024000,23.8212,1.028147,0.538949,0.086720,7.744471
16025000,23.8212,1.028147,0.538949,0.086720,7.779331
16026000,23.8212,1.028147,0.538949,0.086720,7.779855
16027000,23.8212,1.028147,0.538949,0.086720,7.760640
16028000,23.8212,1.028147,0.538949,0.086720,7.789159
16029000,23.8212,1.028147,0.538949,0.086720,7.779354
16030000,23.8212,1.028147,0.538949,0.086720,7.787071
16031000,23.8212,1.028147,0.538949,0.086720,7.747418
16032000,23.8212,1.028147,0.538949,0.086720,7.769378
16033000,23.8212,1.028147,0.538949,0.086720,7.769421
16034000,23.8212,1.028147,0.538949,0.086720,7.758910
16035000,23.8212,1.028147,0.538949,0.086720,7.803213
