Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,1.0570,0.187474,0.005507,0.000525,0.264081
1001000,1.0570,0.187474,0.005507,0.000525,0.161904
1002000,1.0570,0.187474,0.005507,0.000525,0.150899
1003000,1.0570,0.187474,0.005507,0.000525,0.228286
1004000,1.0570,0.187474,0.005507,0.000525,0.262140
1005000,1.0570,0.187474,0.005507,0.000525,0.246079
1006000,1.0570,0.187474,0.005507,0.000525,0.239628
1007000,1.0570,0.187474,0.005507,0.000525,0.184594
1008000,1.0570,0.187474,0.005507,0.000525,0.111299
1009000,1.0570,0.187474,0.005507,0.000525,0.258407
1010000,1.0570,0.187474,0.005507,0.000525,0.223675
1011000,1.0570,0.187474,0.005507,0.000525,0.253487
1012000,1.0570,0.187474,0.005507,0.000525,0.226196
1013000,1.0570,0.187474,0.005507,0.000525,0.173086
1014000,1.0570,0.187474,0.005507,0.000525,0.130632
1015000,1.0570,0.187474,0.005507,0.000525,0.239057
1016000,1.0570,0.187474,0.005507,0.000525,0.237653
1017000,1.0570,0.187474,0.005507,0.000525,0.250868
1018000,1.0570,0.187474,0.005507,0.000525,0.197865
1019000,1.0570,0.187474,0.005507,0.000525,0.139679
1020000,1.0570,0.187474,0.005507,0.000525,0.207458
1021000,1.0570,0.187474,0.005507,0.000525,0.252371
1022000,1.0570,0.187474,0.005507,0.000525,0.202238
1023000,1.0570,0.187474,0.005507,0.000525,0.238111
1024000,1.0570,0.187474,0.005507,0.000525,0.144046
1025000,1.0570,0.187474,0.005507,0.000525,0.134135
1026000,1.0570,0.187474,0.005507,0.000525,0.251030
1027000,1.0570,0.187474,0.005507,0.000525,0.268398
1028000,1.0570,0.187474,0.005507,0.000525,0.243039
1029000,1.0570,0.187474,0.005507,0.000525,0.233357
1030000,1.0570,0.187474,0.005507,0.000525,0.189777
1031000,1.0570,0.187474,0.005507,0.000525,0.150778
1032000,1.0570,0.187474,0.005507,0.000525,0.156203
1033000,1.0570,0.187474,0.005507,0.000525,0.220524
1034000,1.0570,0.187474,0.005507,0.000525,0.218330
1035000,1.0570,0.187474,0.005507,0.000525,0.229990
1036000,1.0570,0.187474,0.005507,0.000525,0.241429
1037000,1.0570,0.187474,0.005507,0.000525,0.182044
1038000,1.0570,0.187474,0.005507,0.000525,0.217606
1039000,1.0570,0.187474,0.005507,0.000525,0.204058
1040000,1.0570,0.187474,0.005507,0.000525,0.196699
1041000,1.0570,0.187474,0.005507,0.000525,0.195552
1042000,1.0570,0.187474,0.005507,0.000525,0.234413
1043000,1.0570,0.187474,0.005507,0.000525,0.168477
1044000,1.0570,0.187474,0.005507,0.000525,0.237336
1045000,1.0570,0.187474,0.005507,0.000525,0.262016
1046000,1.0570,0.187474,0.005507,0.000525,0.245233
1047000,1.0570,0.187474,0.005507,0.000525,0.211224
1048000,1.0570,0.187474,0.005507,0.000525,0.078457
1049000,1.0570,0.187474,0.005507,0.000525,0.246707
1050000,1.0570,0.187474,0.005507,0.000525,0.264689
1051000,1.0570,0.187474,0.005507,0.000525,0.230560
1052000,1.0570,0.187474,0.005507,0.000525,0.192025
1053000,1.0570,0.187474,0.005507,0.000525,0.151790
1054000,1.0570,0.187474,0.005507,0.000525,0.251351
1055000,1.0570,0.187474,0.005507,0.000525,0.276145
1056000,1.0570,0.187474,0.005507,0.000525,0.234355
1057000,1.0570,0.187474,0.005507,0.000525,0.188796
1058000,1.0570,0.187474,0.005507,0.000525,0.113260
1059000,1.0570,0.187474,0.005507,0.000525,0.253348
1060000,1.0570,0.187474,0.005507,0.000525,0.289706
1061000,1.0570,0.187474,0.005507,0.000525,0.227981
1062000,1.0570,0.187474,0.005507,0.000525,0.156366
1063000,1.0570,0.187474,0.005507,0.000525,0.174717
1064000,1.0570,0.187474,0.005507,0.000525,0.294835
1065000,1.0570,0.187474,0.005507,0.000525,0.252203
1066000,1.0570,0.187474,0.005507,0.000525,0.243369
1067000,1.0570,0.187474,0.005507,0.000525,0.235497
1068000,1.0570,0.187474,0.005507,0.000525,0.124957
1069000,1.0570,0.187474,0.005507,0.000525,0.248191
1070000,1.0570,0.187474,0.005507,0.000525,0.272891
1071000,1.0570,0.187474,0.005507,0.000525,0.232577
1072000,1.0570,0.187474,0.005507,0.000525,0.223209
1073000,1.0570,0.187474,0.005507,0.000525,0.147712
1074000,1.0570,0.187474,0.005507,0.000525,0.249663
1075000,1.0570,0.187474,0.005507,0.000525,0.254896
1076000,1.0570,0.187474,0.005507,0.000525,0.258408
1077000,1.0570,0.187474,0.005507,0.000525,0.221699
1078000,1.0570,0.187474,0.005507,0.000525,0.197964
1079000,1.0570,0.187474,0.005507,0.000525,0.209823
1080000,1.0570,0.187474,0.005507,0.000525,0.252488
1081000,1.0570,0.187474,0.005507,0.000525,0.284850
1082000,1.0570,0.187474,0.005507,0.000525,0.240117
1083000,1.0570,0.187474,0.005507,0.000525,0.256987
1084000,1.0570,0.187474,0.005507,0.000525,0.141129
1085000,1.0570,0.187474,0.005507,0.000525,0.307397
1086000,1.0570,0.187474,0.005507,0.000525,0.251963
1087000,1.0570,0.187474,0.005507,0.000525,0.296182
1088000,1.0570,0.187474,0.005507,0.000525,0.245257
1089000,1.0570,0.187474,0.005507,0.000525,0.169637
1090000,1.0570,0.187474,0.005507,0.000525,0.180627
1091000,1.0570,0.187474,0.005507,0.000525,0.325723
1092000,1.0570,0.187474,0.005507,0.000525,0.242568
1093000,1.0570,0.187474,0.005507,0.000525,0.235639
1094000,1.0570,0.187474,0.005507,0.000525,0.135353
1095000,1.0570,0.187474,0.005507,0.000525,0.248308
1096000,1.0570,0.187474,0.005507,0.000525,0.301706
1097000,1.0570,0.187474,0.005507,0.000525,0.286474
1098000,1.0570,0.187474,0.005507,0.000525,0.245794
1099000,1.0570,0.187474,0.005507,0.000525,0.208109
1100000,1.0570,0.187474,0.005507,0.000525,0.210490
1101000,1.0570,0.187474,0.005507,0.000525,0.335044
1102000,1.0570,0.187474,0.005507,0.000525,0.291449
1103000,1.0570,0.187474,0.005507,0.000525,0.215684
1104000,1.0570,0.187474,0.005507,0.000525,0.148952
1105000,1.0570,0.187474,0.005507,0.000525,0.342982
1106000,1.0570,0.187474,0.005507,0.000525,0.274121
1107000,1.0570,0.187474,0.005507,0.000525,0.321415
1108000,1.0570,0.187474,0.005507,0.000525,0.248346
1109000,1.0570,0.187474,0.005507,0.000525,0.104318
1110000,1.0570,0.187474,0.005507,0.000525,0.371428
1111000,1.0570,0.187474,0.005507,0.000525,0.342180
1112000,1.0570,0.187474,0.005507,0.000525,0.344110
1113000,1.0570,0.187474,0.005507,0.000525,0.284532
1114000,1.0570,0.187474,0.005507,0.000525,0.268713
1115000,1.0570,0.187474,0.005507,0.000525,0.185691
1116000,1.0570,0.187474,0.005507,0.000525,0.298884
1117000,1.0570,0.187474,0.005507,0.000525,0.373079
1118000,1.0570,0.187474,0.005507,0.000525,0.261943
1119000,1.0570,0.187474,0.005507,0.000525,0.317565
1120000,1.0570,0.187474,0.005507,0.000525,0.306674
1121000,1.0570,0.187474,0.005507,0.000525,0.166012
1122000,1.0570,0.187474,0.005507,0.000525,0.279671
1123000,1.0570,0.187474,0.005507,0.000525,0.350907
1124000,1.0570,0.187474,0.005507,0.000525,0.326509
1125000,1.0570,0.187474,0.005507,0.000525,0.250668
1126000,1.0570,0.187474,0.005507,0.000525,0.229827
1127000,1.0570,0.187474,0.005507,0.000525,0.261850
1128000,1.0570,0.187474,0.005507,0.000525,0.332310
1129000,1.0570,0.187474,0.005507,0.000525,0.325512
1130000,1.0570,0.187474,0.005507,0.000525,0.272845
1131000,1.0570,0.187474,0.005507,0.000525,0.275462
