cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,0,0,0,0
5300,0,0,0,0,0,0
5400,0,11,34,133,48,11
5500,0,54,19,113,81,54
5600,0,43,22,159,61,43
5700,0,4,3,260,10,4
5800,0,30,5,135,24,30
5900,0,61,6,160,25,61
6000,0,64,11,199,28,64
6100,0,17,0,63,11,17
6200,0,0,16,0,4,0
6300,0,1,1,0,2,1
6400,0,1,9,0,6,1
6500,0,2,8,0,10,2
6600,0,0,10,0,5,0
6700,0,2,9,0,7,2
6800,0,0,7,0,6,0
6900,0,4,19,0,13,4
7000,0,2,59,25,10,2
7100,0,0,0,0,2,0
7200,0,1,36,3,4,1
7300,0,3,40,32,12,3
7400,0,2,83,40,17,2
7500,0,5,46,192,12,5
7600,10,1,13,111,8,1
7700,19,0,20,90,7,0
7800,7,2,12,0,1,2
7900,15,0,3,0,1,0
8000,14,0,3,0,4,0
8100,30,0,13,0,3,0
8200,11,0,3,0,1,0
8300,2,0,2,0,0,0
8400,15,0,0,0,1,0
8500,23,0,13,0,3,0
8600,32,0,12,0,2,0
8700,21,0,12,0,5,0
8800,20,0,26,0,7,0
8900,26,0,10,0,3,0
9000,30,0,26,0,7,0
9100,23,0,16,0,4,0
9200,29,0,15,0,0,0
9300,37,0,18,0,6,0
9400,14,0,9,0,4,0
9500,23,0,10,0,0,0
9600,48,0,17,0,5,0
9700,39,0,24,0,5,0
9800,37,0,23,0,10,0
9900,29,0,16,0,3,0
10000,43,0,14,0,5,0
10100,32,0,24,0,3,0
10200,48,0,26,0,7,0
10300,15,0,2,0,1,0
10400,24,0,8,0,1,0
10500,56,0,35,0,7,0
10600,63,0,24,0,4,0
10700,41,0,27,0,7,0
10800,9,0,8,0,4,0
10900,29,0,11,0,0,0
11000,52,0,21,0,5,0
11100,48,0,26,0,14,0
11200,17,0,11,0,5,0
11300,14,0,7,0,4,0
11400,30,0,24,0,6,0
11500,24,0,3,0,1,0
11600,33,0,25,0,9,0
11700,37,0,20,0,1,0
11800,4,0,1,0,3,0
11900,21,0,16,0,6,0
12000,35,0,6,0,7,0
12100,22,0,17,0,2,0
12200,18,0,7,0,3,0
12300,17,0,12,0,5,0
12400,18,0,7,0,3,0
12500,42,0,22,0,9,0
12600,12,0,2,0,2,0
12700,18,0,9,0,2,0
12800,38,0,22,0,6,0
12900,29,0,8,0,1,0
13000,28,0,19,0,2,0
13100,19,0,8,0,1,0
13200,40,0,17,0,4,0
13300,15,0,5,0,0,0
13400,37,0,18,0,3,0
13500,19,0,5,0,1,0
13600,23,1,18,0,2,1
13700,23,0,12,0,5,0
13800,11,0,4,0,1,0
13900,16,0,7,0,2,0
14000,51,0,24,0,3,0
14100,12,0,7,0,3,0
14200,7,0,3,0,0,0
14300,16,0,5,0,3,0
14400,39,0,17,0,4,0
14500,33,0,25,0,0,0
14600,4,0,3,0,1,0
14700,14,0,5,0,1,0
14800,31,0,18,0,6,0
14900,27,0,11,0,8,0
15000,7,0,2,0,1,0
15100,10,0,2,0,1,0
15200,22,0,14,0,7,0
15300,39,0,21,0,7,0
15400,6,0,3,0,0,0
15500,8,0,3,0,1,0
15600,16,0,9,0,1,0
15700,41,0,18,0,2,0
15800,14,0,6,0,0,0
15900,9,0,6,0,3,0
16000,9,0,7,0,2,0
16100,28,0,14,0,3,0
16200,17,0,10,0,3,0
16300,17,0,7,0,0,0
16400,10,0,8,0,3,0
16500,28,0,13,0,2,0
16600,17,0,9,0,5,0
16700,11,0,1,0,1,0
16800,14,0,7,0,0,0
16900,32,0,18,0,4,0
17000,17,0,13,0,3,0
17100,12,0,5,0,0,0
17200,13,0,11,0,3,0
17300,13,0,1,0,2,0
17400,25,0,11,0,1,0
17500,8,0,7,0,3,0
17600,15,0,8,0,1,0
17700,10,0,13,0,3,0
17800,16,0,5,0,3,0
17900,15,0,13,0,4,0
18000,15,0,7,0,1,0
18100,14,0,2,0,2,0
18200,14,0,10,0,3,0
18300,19,0,11,0,3,0
18400,7,0,5,0,0,0
18500,12,0,7,0,1,0
18600,18,0,8,0,0,0
18700,28,0,17,0,1,0
18800,8,0,8,0,0,0
18900,14,0,4,0,3,0
19000,18,0,10,0,2,0
19100,12,0,4,0,0,0
