Cycle,RunTimeDynamic(W)
52000000,8.200958
52001000,8.200958
52002000,8.200958
52003000,8.200958
52004000,8.200958
52005000,8.200958
52006000,8.200958
52007000,8.200958
52008000,8.200958
52009000,8.200958
52010000,8.200958
52011000,8.200958
52012000,8.200958
52013000,8.200958
52014000,8.200958
52015000,8.200958
52016000,8.200958
52017000,8.200958
52018000,8.200958
52019000,8.200958
52020000,8.200958
52021000,8.200958
52022000,8.200958
52023000,8.200958
52024000,8.200958
52025000,8.200958
52026000,8.200958
52027000,8.200958
52028000,8.200958
52029000,8.200958
52030000,8.200958
52031000,8.200958
52032000,8.200958
52033000,8.200958
52034000,8.200958
52035000,8.200958
52036000,8.200958
52037000,8.200958
52038000,8.200958
52039000,8.200958
52040000,8.200958
52041000,8.200958
52042000,8.200958
52043000,8.200958
52044000,8.200958
52045000,8.200958
52046000,8.200958
52047000,8.200958
52048000,8.200958
52049000,8.200958
52050000,8.200958
52051000,8.200958
52052000,8.200958
52053000,8.200958
52054000,8.200958
52055000,8.200958
52056000,8.200958
52057000,8.200958
52058000,8.200958
52059000,8.200958
52060000,8.200958
52061000,8.200958
52062000,8.200958
52063000,8.200958
52064000,8.200958
52065000,8.200958
52066000,8.200958
52067000,8.200958
52068000,8.200958
52069000,8.200958
52070000,8.200958
52071000,8.200958
52072000,8.200958
52073000,8.200958
52074000,8.200958
52075000,8.200958
52076000,8.200958
52077000,8.200958
52078000,8.200958
52079000,8.200958
52080000,8.200958
52081000,8.200958
52082000,8.200958
52083000,8.200958
52084000,8.200958
52085000,8.200958
52086000,8.200958
52087000,8.200958
52088000,8.200958
52089000,8.200958
52090000,8.200958
52091000,8.200958
52092000,8.200958
52093000,8.200958
52094000,8.200958
52095000,8.200958
52096000,8.200958
52097000,8.200958
52098000,8.200958
52099000,8.200958
52100000,8.200958
52101000,8.200958
52102000,8.200958
52103000,8.200958
52104000,8.200958
52105000,8.200958
52106000,8.200958
52107000,8.200958
52108000,8.200958
52109000,8.200958
52110000,8.200958
52111000,8.200958
52112000,8.200958
52113000,8.200958
52114000,8.200958
52115000,8.200958
52116000,8.200958
52117000,8.200958
52118000,8.200958
52119000,8.200958
52120000,8.200958
52121000,8.200958
52122000,8.200958
52123000,8.200958
52124000,8.200958
52125000,8.200958
52126000,8.200958
52127000,8.200958
52128000,8.200958
52129000,8.200958
52130000,8.200958
52131000,8.200958
52132000,8.200958
52133000,8.200958
52134000,8.200958
52135000,8.200958
52136000,8.200958
52137000,8.200958
52138000,8.200958
52139000,8.200958
52140000,8.200958
52141000,8.200958
52142000,8.200958
52143000,8.200958
52144000,8.200958
52145000,8.200958
52146000,8.200958
52147000,8.200958
52148000,8.200958
52149000,8.200958
52150000,8.200958
52151000,8.200958
52152000,8.200958
52153000,8.200958
52154000,8.200958
52155000,8.200958
52156000,8.200958
52157000,8.200958
52158000,8.200958
52159000,8.200958
52160000,8.200958
52161000,8.200958
52162000,8.200958
52163000,8.200958
52164000,8.200958
52165000,8.200958
52166000,8.200958
52167000,8.200958
52168000,8.200958
52169000,8.200958
52170000,8.200958
52171000,8.200958
52172000,8.200958
52173000,8.200958
52174000,8.200958
52175000,8.200958
52176000,8.200958
52177000,8.200958
52178000,8.200958
52179000,8.200958
52180000,8.200958
52181000,8.200958
52182000,8.200958
52183000,8.200958
52184000,8.200958
52185000,8.200958
52186000,8.200958
52187000,8.200958
52188000,8.200958
52189000,8.200958
52190000,8.200958
52191000,8.200958
52192000,8.200958
52193000,8.200958
52194000,8.200958
52195000,8.200958
52196000,8.200958
52197000,8.200958
52198000,8.200958
52199000,8.200958
52200000,8.200958
52201000,8.200958
52202000,8.200958
52203000,8.200958
52204000,8.200958
52205000,8.200958
52206000,8.200958
52207000,8.200958
52208000,8.200958
52209000,8.200958
52210000,8.200958
52211000,8.200958
52212000,8.200958
52213000,8.200958
52214000,8.200958
52215000,8.200958
52216000,8.200958
52217000,8.200958
52218000,8.200958
52219000,8.200958
52220000,8.200958
52221000,8.200958
52222000,8.200958
52223000,8.200958
52224000,8.200958
52225000,8.200958
52226000,8.200958
52227000,8.200958
52228000,8.200958
52229000,8.200958
52230000,8.200958
52231000,8.200958
52232000,8.200958
52233000,8.200958
52234000,8.200958
52235000,8.200958
52236000,8.200958
52237000,8.200958
52238000,8.200958
52239000,8.200958
52240000,8.200958
52241000,8.200958
52242000,8.200958
52243000,8.200958
52244000,8.200958
52245000,8.200958
52246000,8.200958
52247000,8.200958
52248000,8.200958
52249000,8.200958
52250000,8.200958
52251000,8.200958
52252000,8.200958
52253000,8.200958
52254000,8.200958
52255000,8.200958
52256000,8.200958
52257000,8.200958
52258000,8.200958
52259000,8.200958
52260000,8.200958
52261000,8.200958
52262000,8.200958
52263000,8.200958
52264000,8.200958
52265000,8.200958
52266000,8.200958
52267000,8.200958
52268000,8.200958
52269000,8.200958
52270000,8.200958
52271000,8.200958
52272000,8.200958
52273000,8.200958
52274000,8.200958
52275000,8.200958
52276000,8.200958
52277000,8.200958
52278000,8.200958
52279000,8.200958
52280000,8.200958
52281000,8.200958
52282000,8.200958
52283000,8.200958
52284000,8.200958
52285000,8.200958
52286000,8.200958
52287000,8.200958
52288000,8.200958
52289000,8.200958
52290000,8.200958
52291000,8.200958
52292000,8.200958
52293000,8.200958
52294000,8.200958
52295000,8.200958
52296000,8.200958
52297000,8.200958
52298000,8.200958
