Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
28000000,1.3415,0.039994,0.023482,0.002970,0.000242
28001000,1.3415,0.039994,0.023482,0.002970,0.000622
28002000,1.3415,0.039994,0.023482,0.002970,0.000272
28003000,1.3415,0.039994,0.023482,0.002970,0.000508
28004000,1.3415,0.039994,0.023482,0.002970,0.000386
28005000,1.3415,0.039994,0.023482,0.002970,0.000477
28006000,1.3415,0.039994,0.023482,0.002970,0.000417
28007000,1.3415,0.039994,0.023482,0.002970,0.000440
28008000,1.3415,0.039994,0.023482,0.002970,0.000447
28009000,1.3415,0.039994,0.023482,0.002970,0.000424
28010000,1.3415,0.039994,0.023482,0.002970,0.000417
28011000,1.3415,0.039994,0.023482,0.002970,0.000410
28012000,1.3415,0.039994,0.023482,0.002970,0.000454
28013000,1.3415,0.039994,0.023482,0.002970,0.000440
28014000,1.3415,0.039994,0.023482,0.002970,0.000394
28015000,1.3415,0.039994,0.023482,0.002970,0.000417
28016000,1.3415,0.039994,0.023482,0.002970,0.000470
28017000,1.3415,0.039994,0.023482,0.002970,0.000417
28018000,1.3415,0.039994,0.023482,0.002970,0.000454
28019000,1.3415,0.039994,0.023482,0.002970,0.000386
28020000,1.3415,0.039994,0.023482,0.002970,0.000508
28021000,1.3415,0.039994,0.023482,0.002970,0.000356
28022000,1.3415,0.039994,0.023482,0.002970,0.000538
28023000,1.3415,0.039994,0.023482,0.002970,0.000265
28024000,1.3415,0.039994,0.023482,0.002970,0.000629
28025000,1.3415,0.039994,0.023482,0.002970,0.000235
28026000,1.3415,0.039994,0.023482,0.002970,0.000659
28027000,1.3415,0.039994,0.023482,0.002970,0.000182
28028000,1.3415,0.039994,0.023482,0.002970,0.000538
28029000,1.3415,0.039994,0.023482,0.002970,0.000356
28030000,1.3415,0.039994,0.023482,0.002970,0.000538
28031000,1.3415,0.039994,0.023482,0.002970,0.000356
28032000,1.3415,0.039994,0.023482,0.002970,0.000538
28033000,1.3415,0.039994,0.023482,0.002970,0.000349
28034000,1.3415,0.039994,0.023482,0.002970,0.000712
28035000,1.3415,0.039994,0.023482,0.002970,0.000394
28036000,1.3415,0.039994,0.023482,0.002970,0.000629
28037000,1.3415,0.039994,0.023482,0.002970,0.000508
28038000,1.3415,0.039994,0.023482,0.002970,0.000447
28039000,1.3415,0.039994,0.023482,0.002970,0.000440
28040000,1.3415,0.039994,0.023482,0.002970,0.000447
28041000,1.3415,0.039994,0.023482,0.002970,0.000424
28042000,1.3415,0.039994,0.023482,0.002970,0.000440
28043000,1.3415,0.039994,0.023482,0.002970,0.000417
28044000,1.3415,0.039994,0.023482,0.002970,0.000454
28045000,1.3415,0.039994,0.023482,0.002970,0.000410
28046000,1.3415,0.039994,0.023482,0.002970,0.000484
28047000,1.3415,0.039994,0.023482,0.002970,0.000356
28048000,1.3415,0.039994,0.023482,0.002970,0.000538
28049000,1.3415,0.039994,0.023482,0.002970,0.000289
28050000,1.3415,0.039994,0.023482,0.002970,0.000575
28051000,1.3415,0.039994,0.023482,0.002970,0.000289
28052000,1.3415,0.039994,0.023482,0.002970,0.000606
28053000,1.3415,0.039994,0.023482,0.002970,0.000151
28054000,1.3415,0.039994,0.023482,0.002970,0.000652
28055000,1.3415,0.039994,0.023482,0.002970,0.000182
28056000,1.3415,0.039994,0.023482,0.002970,0.000712
28057000,1.3415,0.039994,0.023482,0.002970,0.000182
28058000,1.3415,0.039994,0.023482,0.002970,0.000538
28059000,1.3415,0.039994,0.023482,0.002970,0.000356
28060000,1.3415,0.039994,0.023482,0.002970,0.000538
28061000,1.3415,0.039994,0.023482,0.002970,0.000356
28062000,1.3415,0.039994,0.023482,0.002970,0.000447
28063000,1.3415,0.039994,0.023482,0.002970,0.000440
28064000,1.3415,0.039994,0.023482,0.002970,0.000712
28065000,1.3415,0.039994,0.023482,0.002970,0.000424
28066000,1.3415,0.039994,0.023482,0.002970,0.000568
28067000,1.3415,0.039994,0.023482,0.002970,0.000296
28068000,1.3415,0.039994,0.023482,0.002970,0.000508
28069000,1.3415,0.039994,0.023482,0.002970,0.000312
28070000,1.3415,0.039994,0.023482,0.002970,0.000582
28071000,1.3415,0.039994,0.023482,0.002970,0.000265
28072000,1.3415,0.039994,0.023482,0.002970,0.000629
28073000,1.3415,0.039994,0.023482,0.002970,0.000235
28074000,1.3415,0.039994,0.023482,0.002970,0.000659
28075000,1.3415,0.039994,0.023482,0.002970,0.000205
28076000,1.3415,0.039994,0.023482,0.002970,0.000515
28077000,1.3415,0.039994,0.023482,0.002970,0.000349
28078000,1.3415,0.039994,0.023482,0.002970,0.000447
28079000,1.3415,0.039994,0.023482,0.002970,0.000424
28080000,1.3415,0.039994,0.023482,0.002970,0.000433
28081000,1.3415,0.039994,0.023482,0.002970,0.000431
28082000,1.3415,0.039994,0.023482,0.002970,0.000447
28083000,1.3415,0.039994,0.023482,0.002970,0.000440
28084000,1.3415,0.039994,0.023482,0.002970,0.000158
28085000,1.3415,0.039994,0.023482,0.002970,0.000682
28086000,1.3415,0.039994,0.023482,0.002970,0.000212
28087000,1.3415,0.039994,0.023482,0.002970,0.000652
28088000,1.3415,0.039994,0.023482,0.002970,0.000242
28089000,1.3415,0.039994,0.023482,0.002970,0.000645
28090000,1.3415,0.039994,0.023482,0.002970,0.000158
28091000,1.3415,0.039994,0.023482,0.002970,0.000705
28092000,1.3415,0.039994,0.023482,0.002970,0.000189
28093000,1.3415,0.039994,0.023482,0.002970,0.000652
28094000,1.3415,0.039994,0.023482,0.002970,0.000235
28095000,1.3415,0.039994,0.023482,0.002970,0.000652
28096000,1.3415,0.039994,0.023482,0.002970,0.000249
28097000,1.3415,0.039994,0.023482,0.002970,0.000561
28098000,1.3415,0.039994,0.023482,0.002970,0.000333
