Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
45000000,0.2191,0.065854,0.000377,0.000034,0.040108
45001000,0.2191,0.065854,0.000377,0.000034,0.040681
45002000,0.2191,0.065854,0.000377,0.000034,0.040548
45003000,0.2191,0.065854,0.000377,0.000034,0.040395
45004000,0.2191,0.065854,0.000377,0.000034,0.040465
45005000,0.2191,0.065854,0.000377,0.000034,0.040339
45006000,0.2191,0.065854,0.000377,0.000034,0.040466
45007000,0.2191,0.065854,0.000377,0.000034,0.040404
45008000,0.2191,0.065854,0.000377,0.000034,0.040969
45009000,0.2191,0.065854,0.000377,0.000034,0.039748
45010000,0.2191,0.065854,0.000377,0.000034,0.041041
45011000,0.2191,0.065854,0.000377,0.000034,0.039750
45012000,0.2191,0.065854,0.000377,0.000034,0.041038
45013000,0.2191,0.065854,0.000377,0.000034,0.040260
45014000,0.2191,0.065854,0.000377,0.000034,0.040537
45015000,0.2191,0.065854,0.000377,0.000034,0.040252
45016000,0.2191,0.065854,0.000377,0.000034,0.040395
45017000,0.2191,0.065854,0.000377,0.000034,0.040323
45018000,0.2191,0.065854,0.000377,0.000034,0.040395
45019000,0.2191,0.065854,0.000377,0.000034,0.040409
45020000,0.2191,0.065854,0.000377,0.000034,0.040387
45021000,0.2191,0.065854,0.000377,0.000034,0.040187
45022000,0.2191,0.065854,0.000377,0.000034,0.040458
45023000,0.2191,0.065854,0.000377,0.000034,0.040331
45024000,0.2191,0.065854,0.000377,0.000034,0.040458
45025000,0.2191,0.065854,0.000377,0.000034,0.040331
45026000,0.2191,0.065854,0.000377,0.000034,0.040387
45027000,0.2191,0.065854,0.000377,0.000034,0.040409
45028000,0.2191,0.065854,0.000377,0.000034,0.040387
45029000,0.2191,0.065854,0.000377,0.000034,0.040403
45030000,0.2191,0.065854,0.000377,0.000034,0.040387
45031000,0.2191,0.065854,0.000377,0.000034,0.040251
45032000,0.2191,0.065854,0.000377,0.000034,0.040537
45033000,0.2191,0.065854,0.000377,0.000034,0.040252
45034000,0.2191,0.065854,0.000377,0.000034,0.040537
45035000,0.2191,0.065854,0.000377,0.000034,0.040192
45036000,0.2191,0.065854,0.000377,0.000034,0.040609
45037000,0.2191,0.065854,0.000377,0.000034,0.040180
45038000,0.2191,0.065854,0.000377,0.000034,0.040395
45039000,0.2191,0.065854,0.000377,0.000034,0.040402
45040000,0.2191,0.065854,0.000377,0.000034,0.040898
45041000,0.2191,0.065854,0.000377,0.000034,0.039899
45042000,0.2191,0.065854,0.000377,0.000034,0.040826
45043000,0.2191,0.065854,0.000377,0.000034,0.039963
45044000,0.2191,0.065854,0.000377,0.000034,0.040680
45045000,0.2191,0.065854,0.000377,0.000034,0.040115
45046000,0.2191,0.065854,0.000377,0.000034,0.040674
45047000,0.2191,0.065854,0.000377,0.000034,0.040115
45048000,0.2191,0.065854,0.000377,0.000034,0.040611
45049000,0.2191,0.065854,0.000377,0.000034,0.040179
45050000,0.2191,0.065854,0.000377,0.000034,0.040611
45051000,0.2191,0.065854,0.000377,0.000034,0.040035
45052000,0.2191,0.065854,0.000377,0.000034,0.040329
45053000,0.2191,0.065854,0.000377,0.000034,0.040467
45054000,0.2191,0.065854,0.000377,0.000034,0.040323
45055000,0.2191,0.065854,0.000377,0.000034,0.040467
45056000,0.2191,0.065854,0.000377,0.000034,0.040323
45057000,0.2191,0.065854,0.000377,0.000034,0.040467
45058000,0.2191,0.065854,0.000377,0.000034,0.040323
45059000,0.2191,0.065854,0.000377,0.000034,0.040387
45060000,0.2191,0.065854,0.000377,0.000034,0.040337
45061000,0.2191,0.065854,0.000377,0.000034,0.040315
45062000,0.2191,0.065854,0.000377,0.000034,0.040331
45063000,0.2191,0.065854,0.000377,0.000034,0.040458
45064000,0.2191,0.065854,0.000377,0.000034,0.040115
45065000,0.2191,0.065854,0.000377,0.000034,0.040602
45066000,0.2191,0.065854,0.000377,0.000034,0.040187
45067000,0.2191,0.065854,0.000377,0.000034,0.040458
45068000,0.2191,0.065854,0.000377,0.000034,0.040337
45069000,0.2191,0.065854,0.000377,0.000034,0.040387
45070000,0.2191,0.065854,0.000377,0.000034,0.040403
45071000,0.2191,0.065854,0.000377,0.000034,0.040387
45072000,0.2191,0.065854,0.000377,0.000034,0.040251
45073000,0.2191,0.065854,0.000377,0.000034,0.040537
45074000,0.2191,0.065854,0.000377,0.000034,0.040252
45075000,0.2191,0.065854,0.000377,0.000034,0.040323
45076000,0.2191,0.065854,0.000377,0.000034,0.040251
45077000,0.2191,0.065854,0.000377,0.000034,0.040401
45078000,0.2191,0.065854,0.000377,0.000034,0.040395
45079000,0.2191,0.065854,0.000377,0.000034,0.040323
45080000,0.2191,0.065854,0.000377,0.000034,0.040465
45081000,0.2191,0.065854,0.000377,0.000034,0.040324
45082000,0.2191,0.065854,0.000377,0.000034,0.040465
45083000,0.2191,0.065854,0.000377,0.000034,0.040180
45084000,0.2191,0.065854,0.000377,0.000034,0.040609
45085000,0.2191,0.065854,0.000377,0.000034,0.040114
45086000,0.2191,0.065854,0.000377,0.000034,0.040681
45087000,0.2191,0.065854,0.000377,0.000034,0.040108
45088000,0.2191,0.065854,0.000377,0.000034,0.040681
45089000,0.2191,0.065854,0.000377,0.000034,0.039964
45090000,0.2191,0.065854,0.000377,0.000034,0.040825
45091000,0.2191,0.065854,0.000377,0.000034,0.040548
45092000,0.2191,0.065854,0.000377,0.000034,0.040403
45093000,0.2191,0.065854,0.000377,0.000034,0.040394
45094000,0.2191,0.065854,0.000377,0.000034,0.040403
45095000,0.2191,0.065854,0.000377,0.000034,0.040890
45096000,0.2191,0.065854,0.000377,0.000034,0.039899
45097000,0.2191,0.065854,0.000377,0.000034,0.040890
45098000,0.2191,0.065854,0.000377,0.000034,0.039905
45099000,0.2191,0.065854,0.000377,0.000034,0.040674
45100000,0.2191,0.065854,0.000377,0.000034,0.040115
45101000,0.2191,0.065854,0.000377,0.000034,0.040680
45102000,0.2191,0.065854,0.000377,0.000034,0.040115
45103000,0.2191,0.065854,0.000377,0.000034,0.040611
45104000,0.2191,0.065854,0.000377,0.000034,0.040179
45105000,0.2191,0.065854,0.000377,0.000034,0.040611
45106000,0.2191,0.065854,0.000377,0.000034,0.040179
45107000,0.2191,0.065854,0.000377,0.000034,0.040458
45108000,0.2191,0.065854,0.000377,0.000034,0.040331
45109000,0.2191,0.065854,0.000377,0.000034,0.040393
45110000,0.2191,0.065854,0.000377,0.000034,0.040403
45111000,0.2191,0.065854,0.000377,0.000034,0.040243
45112000,0.2191,0.065854,0.000377,0.000034,0.040395
45113000,0.2191,0.065854,0.000377,0.000034,0.040547
45114000,0.2191,0.065854,0.000377,0.000034,0.040403
45115000,0.2191,0.065854,0.000377,0.000034,0.040819
45116000,0.2191,0.065854,0.000377,0.000034,0.040410
45117000,0.2191,0.065854,0.000377,0.000034,0.040609
45118000,0.2191,0.065854,0.000377,0.000034,0.040036
45119000,0.2191,0.065854,0.000377,0.000034,0.040753
45120000,0.2191,0.065854,0.000377,0.000034,0.040036
45121000,0.2191,0.065854,0.000377,0.000034,0.040323
45122000,0.2191,0.065854,0.000377,0.000034,0.040403
45123000,0.2191,0.065854,0.000377,0.000034,0.040387
45124000,0.2191,0.065854,0.000377,0.000034,0.040337
45125000,0.2191,0.065854,0.000377,0.000034,0.040457
45126000,0.2191,0.065854,0.000377,0.000034,0.040261
45127000,0.2191,0.065854,0.000377,0.000034,0.040961
45128000,0.2191,0.065854,0.000377,0.000034,0.040404
45129000,0.2191,0.065854,0.000377,0.000034,0.040465
45130000,0.2191,0.065854,0.000377,0.000034,0.040548
45131000,0.2191,0.065854,0.000377,0.000034,0.040403
45132000,0.2191,0.065854,0.000377,0.000034,0.040676
45133000,0.2191,0.065854,0.000377,0.000034,0.040332
45134000,0.2191,0.065854,0.000377,0.000034,0.040897
45135000,0.2191,0.065854,0.000377,0.000034,0.040332
45136000,0.2191,0.065854,0.000377,0.000034,0.040467
45137000,0.2191,0.065854,0.000377,0.000034,0.040323
45138000,0.2191,0.065854,0.000377,0.000034,0.040467
45139000,0.2191,0.065854,0.000377,0.000034,0.040393
45140000,0.2191,0.065854,0.000377,0.000034,0.040395
45141000,0.2191,0.065854,0.000377,0.000034,0.040332
45142000,0.2191,0.065854,0.000377,0.000034,0.040395
45143000,0.2191,0.065854,0.000377,0.000034,0.040331
45144000,0.2191,0.065854,0.000377,0.000034,0.040315
45145000,0.2191,0.065854,0.000377,0.000034,0.040115
45146000,0.2191,0.065854,0.000377,0.000034,0.040674
45147000,0.2191,0.065854,0.000377,0.000034,0.040121
45148000,0.2191,0.065854,0.000377,0.000034,0.040395
45149000,0.2191,0.065854,0.000377,0.000034,0.040187
45150000,0.2191,0.065854,0.000377,0.000034,0.040676
45151000,0.2191,0.065854,0.000377,0.000034,0.040332
45152000,0.2191,0.065854,0.000377,0.000034,0.040825
45153000,0.2191,0.065854,0.000377,0.000034,0.039964
45154000,0.2191,0.065854,0.000377,0.000034,0.040825
45155000,0.2191,0.065854,0.000377,0.000034,0.039826
45156000,0.2191,0.065854,0.000377,0.000034,0.040969
45157000,0.2191,0.065854,0.000377,0.000034,0.039748
45158000,0.2191,0.065854,0.000377,0.000034,0.040395
45159000,0.2191,0.065854,0.000377,0.000034,0.040404
45160000,0.2191,0.065854,0.000377,0.000034,0.040889
45161000,0.2191,0.065854,0.000377,0.000034,0.039899
45162000,0.2191,0.065854,0.000377,0.000034,0.040826
45163000,0.2191,0.065854,0.000377,0.000034,0.039963
45164000,0.2191,0.065854,0.000377,0.000034,0.040824
45165000,0.2191,0.065854,0.000377,0.000034,0.039971
45166000,0.2191,0.065854,0.000377,0.000034,0.040611
45167000,0.2191,0.065854,0.000377,0.000034,0.040179
45168000,0.2191,0.065854,0.000377,0.000034,0.040611
45169000,0.2191,0.065854,0.000377,0.000034,0.040179
45170000,0.2191,0.065854,0.000377,0.000034,0.040611
45171000,0.2191,0.065854,0.000377,0.000034,0.040179
45172000,0.2191,0.065854,0.000377,0.000034,0.040465
45173000,0.2191,0.065854,0.000377,0.000034,0.040331
45174000,0.2191,0.065854,0.000377,0.000034,0.040458
45175000,0.2191,0.065854,0.000377,0.000034,0.040331
45176000,0.2191,0.065854,0.000377,0.000034,0.040387
45177000,0.2191,0.065854,0.000377,0.000034,0.040251
45178000,0.2191,0.065854,0.000377,0.000034,0.040548
45179000,0.2191,0.065854,0.000377,0.000034,0.040251
45180000,0.2191,0.065854,0.000377,0.000034,0.040329
45181000,0.2191,0.065854,0.000377,0.000034,0.040467
45182000,0.2191,0.065854,0.000377,0.000034,0.040323
45183000,0.2191,0.065854,0.000377,0.000034,0.040465
45184000,0.2191,0.065854,0.000377,0.000034,0.040323
45185000,0.2191,0.065854,0.000377,0.000034,0.040467
45186000,0.2191,0.065854,0.000377,0.000034,0.040323
45187000,0.2191,0.065854,0.000377,0.000034,0.040467
45188000,0.2191,0.065854,0.000377,0.000034,0.039970
45189000,0.2191,0.065854,0.000377,0.000034,0.040825
45190000,0.2191,0.065854,0.000377,0.000034,0.039964
45191000,0.2191,0.065854,0.000377,0.000034,0.040825
45192000,0.2191,0.065854,0.000377,0.000034,0.039892
45193000,0.2191,0.065854,0.000377,0.000034,0.040897
45194000,0.2191,0.065854,0.000377,0.000034,0.039892
45195000,0.2191,0.065854,0.000377,0.000034,0.040609
45196000,0.2191,0.065854,0.000377,0.000034,0.040042
45197000,0.2191,0.065854,0.000377,0.000034,0.040395
45198000,0.2191,0.065854,0.000377,0.000034,0.040404
45199000,0.2191,0.065854,0.000377,0.000034,0.041041
45200000,0.2191,0.065854,0.000377,0.000034,0.040396
45201000,0.2191,0.065854,0.000377,0.000034,0.040395
45202000,0.2191,0.065854,0.000377,0.000034,0.040547
45203000,0.2191,0.065854,0.000377,0.000034,0.040251
45204000,0.2191,0.065854,0.000377,0.000034,0.040330
45205000,0.2191,0.065854,0.000377,0.000034,0.040465
45206000,0.2191,0.065854,0.000377,0.000034,0.040323
45207000,0.2191,0.065854,0.000377,0.000034,0.040467
45208000,0.2191,0.065854,0.000377,0.000034,0.040323
45209000,0.2191,0.065854,0.000377,0.000034,0.040467
45210000,0.2191,0.065854,0.000377,0.000034,0.040323
