Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
30000000,23.8212,1.028147,0.538949,0.086720,8.227925
30001000,23.8212,1.028147,0.538949,0.086720,8.229273
30002000,23.8212,1.028147,0.538949,0.086720,8.230325
30003000,23.8212,1.028147,0.538949,0.086720,8.234425
30004000,23.8212,1.028147,0.538949,0.086720,8.225028
30005000,23.8212,1.028147,0.538949,0.086720,8.228061
30006000,23.8212,1.028147,0.538949,0.086720,8.231537
30007000,23.8212,1.028147,0.538949,0.086720,8.228061
30008000,23.8212,1.028147,0.538949,0.086720,8.231537
30009000,23.8212,1.028147,0.538949,0.086720,8.228061
30010000,23.8212,1.028147,0.538949,0.086720,8.231537
30011000,23.8212,1.028147,0.538949,0.086720,8.228061
30012000,23.8212,1.028147,0.538949,0.086720,8.231537
30013000,23.8212,1.028147,0.538949,0.086720,8.228061
30014000,23.8212,1.028147,0.538949,0.086720,8.231537
30015000,23.8212,1.028147,0.538949,0.086720,8.228061
30016000,23.8212,1.028147,0.538949,0.086720,8.231537
30017000,23.8212,1.028147,0.538949,0.086720,8.228061
30018000,23.8212,1.028147,0.538949,0.086720,8.231537
30019000,23.8212,1.028147,0.538949,0.086720,8.221552
30020000,23.8212,1.028147,0.538949,0.086720,8.238046
30021000,23.8212,1.028147,0.538949,0.086720,8.221552
30022000,23.8212,1.028147,0.538949,0.086720,8.238046
30023000,23.8212,1.028147,0.538949,0.086720,8.221552
30024000,23.8212,1.028147,0.538949,0.086720,8.238046
30025000,23.8212,1.028147,0.538949,0.086720,8.211949
30026000,23.8212,1.028147,0.538949,0.086720,8.247267
30027000,23.8212,1.028147,0.538949,0.086720,8.212331
30028000,23.8212,1.028147,0.538949,0.086720,8.247152
30029000,23.8212,1.028147,0.538949,0.086720,8.212446
30030000,23.8212,1.028147,0.538949,0.086720,8.244888
30031000,23.8212,1.028147,0.538949,0.086720,8.214710
30032000,23.8212,1.028147,0.538949,0.086720,8.243491
30033000,23.8212,1.028147,0.538949,0.086720,8.216107
30034000,23.8212,1.028147,0.538949,0.086720,8.240758
30035000,23.8212,1.028147,0.538949,0.086720,8.229655
30036000,23.8212,1.028147,0.538949,0.086720,8.228743
30037000,23.8212,1.028147,0.538949,0.086720,8.228476
30038000,23.8212,1.028147,0.538949,0.086720,8.229799
30039000,23.8212,1.028147,0.538949,0.086720,8.228565
30040000,23.8212,1.028147,0.538949,0.086720,8.240302
30041000,23.8212,1.028147,0.538949,0.086720,8.234425
30042000,23.8212,1.028147,0.538949,0.086720,8.229540
30043000,23.8212,1.028147,0.538949,0.086720,8.233669
30044000,23.8212,1.028147,0.538949,0.086720,8.226043
30045000,23.8212,1.028147,0.538949,0.086720,8.231155
30046000,23.8212,1.028147,0.538949,0.086720,8.228443
30047000,23.8212,1.028147,0.538949,0.086720,8.228776
30048000,23.8212,1.028147,0.538949,0.086720,8.229799
30049000,23.8212,1.028147,0.538949,0.086720,8.229799
30050000,23.8212,1.028147,0.538949,0.086720,8.228552
30051000,23.8212,1.028147,0.538949,0.086720,8.227729
30052000,23.8212,1.028147,0.538949,0.086720,8.229512
30053000,23.8212,1.028147,0.538949,0.086720,8.229273
30054000,23.8212,1.028147,0.538949,0.086720,8.230325
30055000,23.8212,1.028147,0.538949,0.086720,8.226894
30056000,23.8212,1.028147,0.538949,0.086720,8.232704
30057000,23.8212,1.028147,0.538949,0.086720,8.226894
30058000,23.8212,1.028147,0.538949,0.086720,8.232704
30059000,23.8212,1.028147,0.538949,0.086720,8.234425
30060000,23.8212,1.028147,0.538949,0.086720,8.225028
30061000,23.8212,1.028147,0.538949,0.086720,8.228061
30062000,23.8212,1.028147,0.538949,0.086720,8.231537
30063000,23.8212,1.028147,0.538949,0.086720,8.228061
30064000,23.8212,1.028147,0.538949,0.086720,8.231537
30065000,23.8212,1.028147,0.538949,0.086720,8.228061
30066000,23.8212,1.028147,0.538949,0.086720,8.231537
30067000,23.8212,1.028147,0.538949,0.086720,8.221552
30068000,23.8212,1.028147,0.538949,0.086720,8.238046
30069000,23.8212,1.028147,0.538949,0.086720,8.216255
30070000,23.8212,1.028147,0.538949,0.086720,8.241604
30071000,23.8212,1.028147,0.538949,0.086720,8.214957
30072000,23.8212,1.028147,0.538949,0.086720,8.238132
30073000,23.8212,1.028147,0.538949,0.086720,8.219030
30074000,23.8212,1.028147,0.538949,0.086720,8.230966
30075000,23.8212,1.028147,0.538949,0.086720,8.226982
30076000,23.8212,1.028147,0.538949,0.086720,8.250322
30077000,23.8212,1.028147,0.538949,0.086720,8.227917
30078000,23.8212,1.028147,0.538949,0.086720,8.231155
30079000,23.8212,1.028147,0.538949,0.086720,8.228443
30080000,23.8212,1.028147,0.538949,0.086720,8.230558
30081000,23.8212,1.028147,0.538949,0.086720,8.228017
30082000,23.8212,1.028147,0.538949,0.086720,8.230966
30083000,23.8212,1.028147,0.538949,0.086720,8.228207
30084000,23.8212,1.028147,0.538949,0.086720,8.231391
30085000,23.8212,1.028147,0.538949,0.086720,8.224502
30086000,23.8212,1.028147,0.538949,0.086720,8.235096
30087000,23.8212,1.028147,0.538949,0.086720,8.224481
30088000,23.8212,1.028147,0.538949,0.086720,8.235117
30089000,23.8212,1.028147,0.538949,0.086720,8.222124
30090000,23.8212,1.028147,0.538949,0.086720,8.230966
30091000,23.8212,1.028147,0.538949,0.086720,8.227386
30092000,23.8212,1.028147,0.538949,0.086720,8.232212
30093000,23.8212,1.028147,0.538949,0.086720,8.224502
30094000,23.8212,1.028147,0.538949,0.086720,8.229799
30095000,23.8212,1.028147,0.538949,0.086720,8.229799
30096000,23.8212,1.028147,0.538949,0.086720,8.228805
30097000,23.8212,1.028147,0.538949,0.086720,8.226342
30098000,23.8212,1.028147,0.538949,0.086720,8.229943
30099000,23.8212,1.028147,0.538949,0.086720,8.228632
30100000,23.8212,1.028147,0.538949,0.086720,8.230966
30101000,23.8212,1.028147,0.538949,0.086720,8.226995
30102000,23.8212,1.028147,0.538949,0.086720,8.232603
30103000,23.8212,1.028147,0.538949,0.086720,8.224502
30104000,23.8212,1.028147,0.538949,0.086720,8.229799
30105000,23.8212,1.028147,0.538949,0.086720,8.228039
30106000,23.8212,1.028147,0.538949,0.086720,8.229180
30107000,23.8212,1.028147,0.538949,0.086720,8.229799
30108000,23.8212,1.028147,0.538949,0.086720,8.228709
30109000,23.8212,1.028147,0.538949,0.086720,8.229159
30110000,23.8212,1.028147,0.538949,0.086720,8.232552
30111000,23.8212,1.028147,0.538949,0.086720,8.229540
30112000,23.8212,1.028147,0.538949,0.086720,8.247381
30113000,23.8212,1.028147,0.538949,0.086720,8.229540
30114000,23.8212,1.028147,0.538949,0.086720,8.236948
30115000,23.8212,1.028147,0.538949,0.086720,8.227917
30116000,23.8212,1.028147,0.538949,0.086720,8.231537
30117000,23.8212,1.028147,0.538949,0.086720,8.228061
30118000,23.8212,1.028147,0.538949,0.086720,8.231537
30119000,23.8212,1.028147,0.538949,0.086720,8.228061
30120000,23.8212,1.028147,0.538949,0.086720,8.231537
30121000,23.8212,1.028147,0.538949,0.086720,8.228061
30122000,23.8212,1.028147,0.538949,0.086720,8.231537
30123000,23.8212,1.028147,0.538949,0.086720,8.221552
30124000,23.8212,1.028147,0.538949,0.086720,8.238046
30125000,23.8212,1.028147,0.538949,0.086720,8.221552
30126000,23.8212,1.028147,0.538949,0.086720,8.238046
30127000,23.8212,1.028147,0.538949,0.086720,8.221552
30128000,23.8212,1.028147,0.538949,0.086720,8.238046
30129000,23.8212,1.028147,0.538949,0.086720,8.221552
30130000,23.8212,1.028147,0.538949,0.086720,8.237664
30131000,23.8212,1.028147,0.538949,0.086720,8.212331
30132000,23.8212,1.028147,0.538949,0.086720,8.246211
30133000,23.8212,1.028147,0.538949,0.086720,8.213387
30134000,23.8212,1.028147,0.538949,0.086720,8.244888
30135000,23.8212,1.028147,0.538949,0.086720,8.228565
30136000,23.8212,1.028147,0.538949,0.086720,8.233794
30137000,23.8212,1.028147,0.538949,0.086720,8.234425
30138000,23.8212,1.028147,0.538949,0.086720,8.225028
30139000,23.8212,1.028147,0.538949,0.086720,8.228061
30140000,23.8212,1.028147,0.538949,0.086720,8.231537
30141000,23.8212,1.028147,0.538949,0.086720,8.228061
30142000,23.8212,1.028147,0.538949,0.086720,8.236049
30143000,23.8212,1.028147,0.538949,0.086720,8.235400
30144000,23.8212,1.028147,0.538949,0.086720,8.224313
30145000,23.8212,1.028147,0.538949,0.086720,8.235285
30146000,23.8212,1.028147,0.538949,0.086720,8.224313
30147000,23.8212,1.028147,0.538949,0.086720,8.231968
30148000,23.8212,1.028147,0.538949,0.086720,8.227629
30149000,23.8212,1.028147,0.538949,0.086720,8.231155
30150000,23.8212,1.028147,0.538949,0.086720,8.228443
30151000,23.8212,1.028147,0.538949,0.086720,8.228776
30152000,23.8212,1.028147,0.538949,0.086720,8.229799
30153000,23.8212,1.028147,0.538949,0.086720,8.229799
30154000,23.8212,1.028147,0.538949,0.086720,8.228162
30155000,23.8212,1.028147,0.538949,0.086720,8.227306
30156000,23.8212,1.028147,0.538949,0.086720,8.230325
30157000,23.8212,1.028147,0.538949,0.086720,8.229273
30158000,23.8212,1.028147,0.538949,0.086720,8.230325
30159000,23.8212,1.028147,0.538949,0.086720,8.226894
30160000,23.8212,1.028147,0.538949,0.086720,8.232704
30161000,23.8212,1.028147,0.538949,0.086720,8.225648
30162000,23.8212,1.028147,0.538949,0.086720,8.233950
30163000,23.8212,1.028147,0.538949,0.086720,8.222764
30164000,23.8212,1.028147,0.538949,0.086720,8.236834
30165000,23.8212,1.028147,0.538949,0.086720,8.222649
30166000,23.8212,1.028147,0.538949,0.086720,8.228701
30167000,23.8212,1.028147,0.538949,0.086720,8.220052
30168000,23.8212,1.028147,0.538949,0.086720,8.238379
30169000,23.8212,1.028147,0.538949,0.086720,8.228552
30170000,23.8212,1.028147,0.538949,0.086720,8.232212
30171000,23.8212,1.028147,0.538949,0.086720,8.224502
30172000,23.8212,1.028147,0.538949,0.086720,8.229799
30173000,23.8212,1.028147,0.538949,0.086720,8.218840
30174000,23.8212,1.028147,0.538949,0.086720,8.239456
30175000,23.8212,1.028147,0.538949,0.086720,8.220142
30176000,23.8212,1.028147,0.538949,0.086720,8.235285
30177000,23.8212,1.028147,0.538949,0.086720,8.224313
30178000,23.8212,1.028147,0.538949,0.086720,8.234326
30179000,23.8212,1.028147,0.538949,0.086720,8.225272
30180000,23.8212,1.028147,0.538949,0.086720,8.231155
30181000,23.8212,1.028147,0.538949,0.086720,8.228443
30182000,23.8212,1.028147,0.538949,0.086720,8.231040
30183000,23.8212,1.028147,0.538949,0.086720,8.227535
30184000,23.8212,1.028147,0.538949,0.086720,8.229799
30185000,23.8212,1.028147,0.538949,0.086720,8.229799
30186000,23.8212,1.028147,0.538949,0.086720,8.228552
30187000,23.8212,1.028147,0.538949,0.086720,8.229315
30188000,23.8212,1.028147,0.538949,0.086720,8.227399
30189000,23.8212,1.028147,0.538949,0.086720,8.230325
30190000,23.8212,1.028147,0.538949,0.086720,8.229158
30191000,23.8212,1.028147,0.538949,0.086720,8.230440
30192000,23.8212,1.028147,0.538949,0.086720,8.234425
30193000,23.8212,1.028147,0.538949,0.086720,8.229540
30194000,23.8212,1.028147,0.538949,0.086720,8.245003
30195000,23.8212,1.028147,0.538949,0.086720,8.228408
30196000,23.8212,1.028147,0.538949,0.086720,8.240459
30197000,23.8212,1.028147,0.538949,0.086720,8.234425
30198000,23.8212,1.028147,0.538949,0.086720,8.229540
30199000,23.8212,1.028147,0.538949,0.086720,8.231270
30200000,23.8212,1.028147,0.538949,0.086720,8.229655
30201000,23.8212,1.028147,0.538949,0.086720,8.251207
30202000,23.8212,1.028147,0.538949,0.086720,8.207179
30203000,23.8212,1.028147,0.538949,0.086720,8.252419
30204000,23.8212,1.028147,0.538949,0.086720,8.207179
30205000,23.8212,1.028147,0.538949,0.086720,8.251397
30206000,23.8212,1.028147,0.538949,0.086720,8.208201
30207000,23.8212,1.028147,0.538949,0.086720,8.245910
30208000,23.8212,1.028147,0.538949,0.086720,8.213687
30209000,23.8212,1.028147,0.538949,0.086720,8.245910
30210000,23.8212,1.028147,0.538949,0.086720,8.213687
30211000,23.8212,1.028147,0.538949,0.086720,8.236308
30212000,23.8212,1.028147,0.538949,0.086720,8.223031
30213000,23.8212,1.028147,0.538949,0.086720,8.245003
30214000,23.8212,1.028147,0.538949,0.086720,8.228408
30215000,23.8212,1.028147,0.538949,0.086720,8.240459
30216000,23.8212,1.028147,0.538949,0.086720,8.234425
30217000,23.8212,1.028147,0.538949,0.086720,8.225028
30218000,23.8212,1.028147,0.538949,0.086720,8.228061
30219000,23.8212,1.028147,0.538949,0.086720,8.231537
30220000,23.8212,1.028147,0.538949,0.086720,8.228061
30221000,23.8212,1.028147,0.538949,0.086720,8.231537
30222000,23.8212,1.028147,0.538949,0.086720,8.221552
30223000,23.8212,1.028147,0.538949,0.086720,8.238046
30224000,23.8212,1.028147,0.538949,0.086720,8.211949
30225000,23.8212,1.028147,0.538949,0.086720,8.247649
30226000,23.8212,1.028147,0.538949,0.086720,8.211949
30227000,23.8212,1.028147,0.538949,0.086720,8.247267
30228000,23.8212,1.028147,0.538949,0.086720,8.212331
30229000,23.8212,1.028147,0.538949,0.086720,8.246451
30230000,23.8212,1.028147,0.538949,0.086720,8.213147
30231000,23.8212,1.028147,0.538949,0.086720,8.244888
30232000,23.8212,1.028147,0.538949,0.086720,8.214710
30233000,23.8212,1.028147,0.538949,0.086720,8.243158
30234000,23.8212,1.028147,0.538949,0.086720,8.216440
30235000,23.8212,1.028147,0.538949,0.086720,8.240758
30236000,23.8212,1.028147,0.538949,0.086720,8.229540
30237000,23.8212,1.028147,0.538949,0.086720,8.236948
30238000,23.8212,1.028147,0.538949,0.086720,8.234425
30239000,23.8212,1.028147,0.538949,0.086720,8.229540
30240000,23.8212,1.028147,0.538949,0.086720,8.235400
30241000,23.8212,1.028147,0.538949,0.086720,8.224313
30242000,23.8212,1.028147,0.538949,0.086720,8.235285
30243000,23.8212,1.028147,0.538949,0.086720,8.224054
30244000,23.8212,1.028147,0.538949,0.086720,8.236567
30245000,23.8212,1.028147,0.538949,0.086720,8.224358
30246000,23.8212,1.028147,0.538949,0.086720,8.252563
30247000,23.8212,1.028147,0.538949,0.086720,8.229655
30248000,23.8212,1.028147,0.538949,0.086720,8.230325
30249000,23.8212,1.028147,0.538949,0.086720,8.234425
30250000,23.8212,1.028147,0.538949,0.086720,8.225028
30251000,23.8212,1.028147,0.538949,0.086720,8.228061
30252000,23.8212,1.028147,0.538949,0.086720,8.231537
30253000,23.8212,1.028147,0.538949,0.086720,8.228061
30254000,23.8212,1.028147,0.538949,0.086720,8.231537
30255000,23.8212,1.028147,0.538949,0.086720,8.222764
30256000,23.8212,1.028147,0.538949,0.086720,8.236834
30257000,23.8212,1.028147,0.538949,0.086720,8.220385
30258000,23.8212,1.028147,0.538949,0.086720,8.239212
30259000,23.8212,1.028147,0.538949,0.086720,8.227917
30260000,23.8212,1.028147,0.538949,0.086720,8.231537
30261000,23.8212,1.028147,0.538949,0.086720,8.228061
30262000,23.8212,1.028147,0.538949,0.086720,8.231537
30263000,23.8212,1.028147,0.538949,0.086720,8.228061
30264000,23.8212,1.028147,0.538949,0.086720,8.231537
30265000,23.8212,1.028147,0.538949,0.086720,8.221552
30266000,23.8212,1.028147,0.538949,0.086720,8.236308
