Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
52000000,1.0570,0.187474,0.005507,0.000525,0.000012
52001000,1.0570,0.187474,0.005507,0.000525,0.000012
52002000,1.0570,0.187474,0.005507,0.000525,0.000012
52003000,1.0570,0.187474,0.005507,0.000525,0.000012
52004000,1.0570,0.187474,0.005507,0.000525,0.000012
52005000,1.0570,0.187474,0.005507,0.000525,0.000012
52006000,1.0570,0.187474,0.005507,0.000525,0.000012
52007000,1.0570,0.187474,0.005507,0.000525,0.000012
52008000,1.0570,0.187474,0.005507,0.000525,0.000012
52009000,1.0570,0.187474,0.005507,0.000525,0.000012
52010000,1.0570,0.187474,0.005507,0.000525,0.000012
52011000,1.0570,0.187474,0.005507,0.000525,0.000012
52012000,1.0570,0.187474,0.005507,0.000525,0.000012
52013000,1.0570,0.187474,0.005507,0.000525,0.000012
52014000,1.0570,0.187474,0.005507,0.000525,0.000012
52015000,1.0570,0.187474,0.005507,0.000525,0.000012
52016000,1.0570,0.187474,0.005507,0.000525,0.000012
52017000,1.0570,0.187474,0.005507,0.000525,0.000012
52018000,1.0570,0.187474,0.005507,0.000525,0.000012
52019000,1.0570,0.187474,0.005507,0.000525,0.000012
52020000,1.0570,0.187474,0.005507,0.000525,0.000012
52021000,1.0570,0.187474,0.005507,0.000525,0.000012
52022000,1.0570,0.187474,0.005507,0.000525,0.000012
52023000,1.0570,0.187474,0.005507,0.000525,0.000012
52024000,1.0570,0.187474,0.005507,0.000525,0.000012
52025000,1.0570,0.187474,0.005507,0.000525,0.000012
52026000,1.0570,0.187474,0.005507,0.000525,0.000012
52027000,1.0570,0.187474,0.005507,0.000525,0.000012
52028000,1.0570,0.187474,0.005507,0.000525,0.000006
52029000,1.0570,0.187474,0.005507,0.000525,0.000018
52030000,1.0570,0.187474,0.005507,0.000525,0.000006
52031000,1.0570,0.187474,0.005507,0.000525,0.000018
52032000,1.0570,0.187474,0.005507,0.000525,0.000006
52033000,1.0570,0.187474,0.005507,0.000525,0.000018
52034000,1.0570,0.187474,0.005507,0.000525,0.000012
52035000,1.0570,0.187474,0.005507,0.000525,0.000018
52036000,1.0570,0.187474,0.005507,0.000525,0.000012
52037000,1.0570,0.187474,0.005507,0.000525,0.000012
52038000,1.0570,0.187474,0.005507,0.000525,0.000012
52039000,1.0570,0.187474,0.005507,0.000525,0.000012
52040000,1.0570,0.187474,0.005507,0.000525,0.000012
52041000,1.0570,0.187474,0.005507,0.000525,0.000012
52042000,1.0570,0.187474,0.005507,0.000525,0.000006
52043000,1.0570,0.187474,0.005507,0.000525,0.000018
52044000,1.0570,0.187474,0.005507,0.000525,0.000012
52045000,1.0570,0.187474,0.005507,0.000525,0.000012
52046000,1.0570,0.187474,0.005507,0.000525,0.000012
52047000,1.0570,0.187474,0.005507,0.000525,0.000018
52048000,1.0570,0.187474,0.005507,0.000525,0.000018
52049000,1.0570,0.187474,0.005507,0.000525,0.000006
52050000,1.0570,0.187474,0.005507,0.000525,0.000024
52051000,1.0570,0.187474,0.005507,0.000525,0.000006
52052000,1.0570,0.187474,0.005507,0.000525,0.000018
52053000,1.0570,0.187474,0.005507,0.000525,0.000006
52054000,1.0570,0.187474,0.005507,0.000525,0.000018
52055000,1.0570,0.187474,0.005507,0.000525,0.000012
52056000,1.0570,0.187474,0.005507,0.000525,0.000012
52057000,1.0570,0.187474,0.005507,0.000525,0.000012
52058000,1.0570,0.187474,0.005507,0.000525,0.000012
52059000,1.0570,0.187474,0.005507,0.000525,0.000012
52060000,1.0570,0.187474,0.005507,0.000525,0.000012
52061000,1.0570,0.187474,0.005507,0.000525,0.000012
52062000,1.0570,0.187474,0.005507,0.000525,0.000018
52063000,1.0570,0.187474,0.005507,0.000525,0.000006
52064000,1.0570,0.187474,0.005507,0.000525,0.000012
52065000,1.0570,0.187474,0.005507,0.000525,0.000012
52066000,1.0570,0.187474,0.005507,0.000525,0.000012
52067000,1.0570,0.187474,0.005507,0.000525,0.000012
52068000,1.0570,0.187474,0.005507,0.000525,0.000012
52069000,1.0570,0.187474,0.005507,0.000525,0.000012
52070000,1.0570,0.187474,0.005507,0.000525,0.000012
52071000,1.0570,0.187474,0.005507,0.000525,0.000012
52072000,1.0570,0.187474,0.005507,0.000525,0.000012
52073000,1.0570,0.187474,0.005507,0.000525,0.000012
52074000,1.0570,0.187474,0.005507,0.000525,0.000012
52075000,1.0570,0.187474,0.005507,0.000525,0.000018
52076000,1.0570,0.187474,0.005507,0.000525,0.000012
52077000,1.0570,0.187474,0.005507,0.000525,0.000012
52078000,1.0570,0.187474,0.005507,0.000525,0.000012
52079000,1.0570,0.187474,0.005507,0.000525,0.000012
52080000,1.0570,0.187474,0.005507,0.000525,0.000012
52081000,1.0570,0.187474,0.005507,0.000525,0.000012
52082000,1.0570,0.187474,0.005507,0.000525,0.000012
52083000,1.0570,0.187474,0.005507,0.000525,0.000012
52084000,1.0570,0.187474,0.005507,0.000525,0.000012
52085000,1.0570,0.187474,0.005507,0.000525,0.000018
52086000,1.0570,0.187474,0.005507,0.000525,0.000012
52087000,1.0570,0.187474,0.005507,0.000525,0.000012
52088000,1.0570,0.187474,0.005507,0.000525,0.000012
52089000,1.0570,0.187474,0.005507,0.000525,0.000012
52090000,1.0570,0.187474,0.005507,0.000525,0.000012
