Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
10000000,15.7031,5.502199,0.052647,0.006391,0.556721
10001000,15.7031,5.502199,0.052647,0.006391,0.562959
10002000,15.7031,5.502199,0.052647,0.006391,0.556793
10003000,15.7031,5.502199,0.052647,0.006391,0.556666
10004000,15.7031,5.502199,0.052647,0.006391,0.556793
10005000,15.7031,5.502199,0.052647,0.006391,0.556666
10006000,15.7031,5.502199,0.052647,0.006391,0.556721
10007000,15.7031,5.502199,0.052647,0.006391,0.556738
10008000,15.7031,5.502199,0.052647,0.006391,0.556721
10009000,15.7031,5.502199,0.052647,0.006391,0.563174
10010000,15.7031,5.502199,0.052647,0.006391,0.556721
10011000,15.7031,5.502199,0.052647,0.006391,0.559409
10012000,15.7031,5.502199,0.052647,0.006391,0.554490
10013000,15.7031,5.502199,0.052647,0.006391,0.558969
10014000,15.7031,5.502199,0.052647,0.006391,0.554490
10015000,15.7031,5.502199,0.052647,0.006391,0.558897
10016000,15.7031,5.502199,0.052647,0.006391,0.554131
10017000,15.7031,5.502199,0.052647,0.006391,0.565765
10018000,15.7031,5.502199,0.052647,0.006391,0.556730
10019000,15.7031,5.502199,0.052647,0.006391,0.556586
10020000,15.7031,5.502199,0.052647,0.006391,0.556730
10021000,15.7031,5.502199,0.052647,0.006391,0.556730
10022000,15.7031,5.502199,0.052647,0.006391,0.556882
10023000,15.7031,5.502199,0.052647,0.006391,0.556738
10024000,15.7031,5.502199,0.052647,0.006391,0.559968
10025000,15.7031,5.502199,0.052647,0.006391,0.565989
10026000,15.7031,5.502199,0.052647,0.006391,0.554203
10027000,15.7031,5.502199,0.052647,0.006391,0.559697
10028000,15.7031,5.502199,0.052647,0.006391,0.556586
10029000,15.7031,5.502199,0.052647,0.006391,0.556442
10030000,15.7031,5.502199,0.052647,0.006391,0.557017
10031000,15.7031,5.502199,0.052647,0.006391,0.559041
10032000,15.7031,5.502199,0.052647,0.006391,0.554418
10033000,15.7031,5.502199,0.052647,0.006391,0.565477
10034000,15.7031,5.502199,0.052647,0.006391,0.554418
10035000,15.7031,5.502199,0.052647,0.006391,0.559041
10036000,15.7031,5.502199,0.052647,0.006391,0.554418
10037000,15.7031,5.502199,0.052647,0.006391,0.556226
10038000,15.7031,5.502199,0.052647,0.006391,0.557233
10039000,15.7031,5.502199,0.052647,0.006391,0.559544
10040000,15.7031,5.502199,0.052647,0.006391,0.563166
10041000,15.7031,5.502199,0.052647,0.006391,0.556882
10042000,15.7031,5.502199,0.052647,0.006391,0.556738
10043000,15.7031,5.502199,0.052647,0.006391,0.559968
10044000,15.7031,5.502199,0.052647,0.006391,0.559553
10045000,15.7031,5.502199,0.052647,0.006391,0.554203
10046000,15.7031,5.502199,0.052647,0.006391,0.559697
10047000,15.7031,5.502199,0.052647,0.006391,0.556586
10048000,15.7031,5.502199,0.052647,0.006391,0.563548
10049000,15.7031,5.502199,0.052647,0.006391,0.556802
10050000,15.7031,5.502199,0.052647,0.006391,0.556658
10051000,15.7031,5.502199,0.052647,0.006391,0.556802
10052000,15.7031,5.502199,0.052647,0.006391,0.556442
10053000,15.7031,5.502199,0.052647,0.006391,0.557017
10054000,15.7031,5.502199,0.052647,0.006391,0.556442
10055000,15.7031,5.502199,0.052647,0.006391,0.557017
10056000,15.7031,5.502199,0.052647,0.006391,0.562878
10057000,15.7031,5.502199,0.052647,0.006391,0.557017
10058000,15.7031,5.502199,0.052647,0.006391,0.559481
10059000,15.7031,5.502199,0.052647,0.006391,0.556802
10060000,15.7031,5.502199,0.052647,0.006391,0.556442
10061000,15.7031,5.502199,0.052647,0.006391,0.556937
10062000,15.7031,5.502199,0.052647,0.006391,0.556522
10063000,15.7031,5.502199,0.052647,0.006391,0.556937
10064000,15.7031,5.502199,0.052647,0.006391,0.562959
10065000,15.7031,5.502199,0.052647,0.006391,0.556793
10066000,15.7031,5.502199,0.052647,0.006391,0.556666
10067000,15.7031,5.502199,0.052647,0.006391,0.556793
10068000,15.7031,5.502199,0.052647,0.006391,0.559553
10069000,15.7031,5.502199,0.052647,0.006391,0.554131
10070000,15.7031,5.502199,0.052647,0.006391,0.559697
10071000,15.7031,5.502199,0.052647,0.006391,0.563174
10072000,15.7031,5.502199,0.052647,0.006391,0.559752
10073000,15.7031,5.502199,0.052647,0.006391,0.556522
10074000,15.7031,5.502199,0.052647,0.006391,0.556945
10075000,15.7031,5.502199,0.052647,0.006391,0.556514
10076000,15.7031,5.502199,0.052647,0.006391,0.556793
10077000,15.7031,5.502199,0.052647,0.006391,0.556666
10078000,15.7031,5.502199,0.052647,0.006391,0.556730
10079000,15.7031,5.502199,0.052647,0.006391,0.563174
10080000,15.7031,5.502199,0.052647,0.006391,0.559536
10081000,15.7031,5.502199,0.052647,0.006391,0.559553
10082000,15.7031,5.502199,0.052647,0.006391,0.554562
10083000,15.7031,5.502199,0.052647,0.006391,0.558897
10084000,15.7031,5.502199,0.052647,0.006391,0.554410
10085000,15.7031,5.502199,0.052647,0.006391,0.556234
10086000,15.7031,5.502199,0.052647,0.006391,0.557225
10087000,15.7031,5.502199,0.052647,0.006391,0.562671
10088000,15.7031,5.502199,0.052647,0.006391,0.557161
10089000,15.7031,5.502199,0.052647,0.006391,0.556298
10090000,15.7031,5.502199,0.052647,0.006391,0.557161
10091000,15.7031,5.502199,0.052647,0.006391,0.556298
10092000,15.7031,5.502199,0.052647,0.006391,0.556730
10093000,15.7031,5.502199,0.052647,0.006391,0.556586
10094000,15.7031,5.502199,0.052647,0.006391,0.559329
10095000,15.7031,5.502199,0.052647,0.006391,0.554131
10096000,15.7031,5.502199,0.052647,0.006391,0.565693
10097000,15.7031,5.502199,0.052647,0.006391,0.554203
10098000,15.7031,5.502199,0.052647,0.006391,0.559113
10099000,15.7031,5.502199,0.052647,0.006391,0.554347
10100000,15.7031,5.502199,0.052647,0.006391,0.559113
10101000,15.7031,5.502199,0.052647,0.006391,0.554347
10102000,15.7031,5.502199,0.052647,0.006391,0.559760
10103000,15.7031,5.502199,0.052647,0.006391,0.556666
10104000,15.7031,5.502199,0.052647,0.006391,0.556298
10105000,15.7031,5.502199,0.052647,0.006391,0.557017
10106000,15.7031,5.502199,0.052647,0.006391,0.559697
10107000,15.7031,5.502199,0.052647,0.006391,0.556586
10108000,15.7031,5.502199,0.052647,0.006391,0.556658
10109000,15.7031,5.502199,0.052647,0.006391,0.556802
10110000,15.7031,5.502199,0.052647,0.006391,0.556658
10111000,15.7031,5.502199,0.052647,0.006391,0.556802
10112000,15.7031,5.502199,0.052647,0.006391,0.562878
10113000,15.7031,5.502199,0.052647,0.006391,0.556937
10114000,15.7031,5.502199,0.052647,0.006391,0.556522
10115000,15.7031,5.502199,0.052647,0.006391,0.556937
10116000,15.7031,5.502199,0.052647,0.006391,0.556522
10117000,15.7031,5.502199,0.052647,0.006391,0.556793
10118000,15.7031,5.502199,0.052647,0.006391,0.556666
10119000,15.7031,5.502199,0.052647,0.006391,0.556793
10120000,15.7031,5.502199,0.052647,0.006391,0.563103
10121000,15.7031,5.502199,0.052647,0.006391,0.556721
10122000,15.7031,5.502199,0.052647,0.006391,0.556522
10123000,15.7031,5.502199,0.052647,0.006391,0.556937
10124000,15.7031,5.502199,0.052647,0.006391,0.556522
10125000,15.7031,5.502199,0.052647,0.006391,0.556793
10126000,15.7031,5.502199,0.052647,0.006391,0.559553
10127000,15.7031,5.502199,0.052647,0.006391,0.554347
10128000,15.7031,5.502199,0.052647,0.006391,0.565917
10129000,15.7031,5.502199,0.052647,0.006391,0.556802
10130000,15.7031,5.502199,0.052647,0.006391,0.556658
10131000,15.7031,5.502199,0.052647,0.006391,0.556802
10132000,15.7031,5.502199,0.052647,0.006391,0.556658
10133000,15.7031,5.502199,0.052647,0.006391,0.556802
10134000,15.7031,5.502199,0.052647,0.006391,0.556442
10135000,15.7031,5.502199,0.052647,0.006391,0.557017
10136000,15.7031,5.502199,0.052647,0.006391,0.565917
10137000,15.7031,5.502199,0.052647,0.006391,0.556802
10138000,15.7031,5.502199,0.052647,0.006391,0.556658
10139000,15.7031,5.502199,0.052647,0.006391,0.556721
10140000,15.7031,5.502199,0.052647,0.006391,0.556738
10141000,15.7031,5.502199,0.052647,0.006391,0.556721
10142000,15.7031,5.502199,0.052647,0.006391,0.556306
10143000,15.7031,5.502199,0.052647,0.006391,0.557009
10144000,15.7031,5.502199,0.052647,0.006391,0.562887
10145000,15.7031,5.502199,0.052647,0.006391,0.556730
10146000,15.7031,5.502199,0.052647,0.006391,0.556514
10147000,15.7031,5.502199,0.052647,0.006391,0.556730
10148000,15.7031,5.502199,0.052647,0.006391,0.556738
10149000,15.7031,5.502199,0.052647,0.006391,0.559968
10150000,15.7031,5.502199,0.052647,0.006391,0.559409
10151000,15.7031,5.502199,0.052647,0.006391,0.554347
10152000,15.7031,5.502199,0.052647,0.006391,0.565917
10153000,15.7031,5.502199,0.052647,0.006391,0.556802
10154000,15.7031,5.502199,0.052647,0.006391,0.559041
10155000,15.7031,5.502199,0.052647,0.006391,0.554418
