Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,0.0324,0.013523,0.002678,0.000431,0.000705
4001000,0.0324,0.013523,0.002678,0.000431,0.000353
4002000,0.0324,0.013523,0.002678,0.000431,0.000588
4003000,0.0324,0.013523,0.002678,0.000431,0.000353
4004000,0.0324,0.013523,0.002678,0.000431,0.000705
4005000,0.0324,0.013523,0.002678,0.000431,0.000470
4006000,0.0324,0.013523,0.002678,0.000431,0.000588
4007000,0.0324,0.013523,0.002678,0.000431,0.000353
4008000,0.0324,0.013523,0.002678,0.000431,0.000588
4009000,0.0324,0.013523,0.002678,0.000431,0.000353
4010000,0.0324,0.013523,0.002678,0.000431,0.000588
4011000,0.0324,0.013523,0.002678,0.000431,0.000353
4012000,0.0324,0.013523,0.002678,0.000431,0.000470
4013000,0.0324,0.013523,0.002678,0.000431,0.000470
4014000,0.0324,0.013523,0.002678,0.000431,0.000470
4015000,0.0324,0.013523,0.002678,0.000431,0.000470
4016000,0.0324,0.013523,0.002678,0.000431,0.000470
4017000,0.0324,0.013523,0.002678,0.000431,0.000470
4018000,0.0324,0.013523,0.002678,0.000431,0.000588
4019000,0.0324,0.013523,0.002678,0.000431,0.000353
4020000,0.0324,0.013523,0.002678,0.000431,0.000705
4021000,0.0324,0.013523,0.002678,0.000431,0.000353
4022000,0.0324,0.013523,0.002678,0.000431,0.000588
4023000,0.0324,0.013523,0.002678,0.000431,0.000588
4024000,0.0324,0.013523,0.002678,0.000431,0.000470
4025000,0.0324,0.013523,0.002678,0.000431,0.000588
4026000,0.0324,0.013523,0.002678,0.000431,0.000353
4027000,0.0324,0.013523,0.002678,0.000431,0.000588
4028000,0.0324,0.013523,0.002678,0.000431,0.000353
4029000,0.0324,0.013523,0.002678,0.000431,0.000588
4030000,0.0324,0.013523,0.002678,0.000431,0.000353
4031000,0.0324,0.013523,0.002678,0.000431,0.000588
4032000,0.0324,0.013523,0.002678,0.000431,0.000353
4033000,0.0324,0.013523,0.002678,0.000431,0.000588
4034000,0.0324,0.013523,0.002678,0.000431,0.000470
4035000,0.0324,0.013523,0.002678,0.000431,0.000470
4036000,0.0324,0.013523,0.002678,0.000431,0.000470
4037000,0.0324,0.013523,0.002678,0.000431,0.000588
4038000,0.0324,0.013523,0.002678,0.000431,0.000470
4039000,0.0324,0.013523,0.002678,0.000431,0.000705
4040000,0.0324,0.013523,0.002678,0.000431,0.000353
4041000,0.0324,0.013523,0.002678,0.000431,0.000588
4042000,0.0324,0.013523,0.002678,0.000431,0.000470
4043000,0.0324,0.013523,0.002678,0.000431,0.000588
4044000,0.0324,0.013523,0.002678,0.000431,0.000588
4045000,0.0324,0.013523,0.002678,0.000431,0.000470
4046000,0.0324,0.013523,0.002678,0.000431,0.000588
4047000,0.0324,0.013523,0.002678,0.000431,0.000353
4048000,0.0324,0.013523,0.002678,0.000431,0.000588
4049000,0.0324,0.013523,0.002678,0.000431,0.000353
4050000,0.0324,0.013523,0.002678,0.000431,0.000588
4051000,0.0324,0.013523,0.002678,0.000431,0.000353
4052000,0.0324,0.013523,0.002678,0.000431,0.000588
4053000,0.0324,0.013523,0.002678,0.000431,0.000353
4054000,0.0324,0.013523,0.002678,0.000431,0.000588
4055000,0.0324,0.013523,0.002678,0.000431,0.000705
