Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
2000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
3000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
4000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
5000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
6000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,18.126889
7000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,6.864950
8000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.202387
9000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.385299
10000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.201125
11000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.273956
12000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.202842
13000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.287356
14000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.653042
15000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.802452
16000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.559752
17000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.475968
18000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.498286
19000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.486401
20000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.510240
21000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.846478
22000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.267554
23000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.484739
24000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.873883
25000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.256527
26000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.060523
27000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.822352
28000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.806299
29000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.469226
30000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.241623
31000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.962980
32000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.940331
33000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.842885
34000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.739062
35000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.618442
36000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.628786
37000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.733434
38000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.668256
39000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.665620
40000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.730348
41000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.579853
