Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.2191,0.065854,0.000377,0.000034,0.039512
2000,0.2191,0.065854,0.000377,0.000034,0.039512
3000,0.2191,0.065854,0.000377,0.000034,0.039512
4000,0.2191,0.065854,0.000377,0.000034,0.039512
5000,0.2191,0.065854,0.000377,0.000034,0.039512
6000,0.2191,0.065854,0.000377,0.000034,0.694028
7000,0.2191,0.065854,0.000377,0.000034,0.881995
8000,0.2191,0.065854,0.000377,0.000034,0.494023
9000,0.2191,0.065854,0.000377,0.000034,0.933145
10000,0.2191,0.065854,0.000377,0.000034,1.180160
11000,0.2191,0.065854,0.000377,0.000034,0.912941
12000,0.2191,0.065854,0.000377,0.000034,1.749046
13000,0.2191,0.065854,0.000377,0.000034,1.817409
14000,0.2191,0.065854,0.000377,0.000034,1.482407
15000,0.2191,0.065854,0.000377,0.000034,1.403423
16000,0.2191,0.065854,0.000377,0.000034,1.129321
17000,0.2191,0.065854,0.000377,0.000034,0.866263
18000,0.2191,0.065854,0.000377,0.000034,0.895652
19000,0.2191,0.065854,0.000377,0.000034,0.922358
20000,0.2191,0.065854,0.000377,0.000034,0.913535
21000,0.2191,0.065854,0.000377,0.000034,0.894618
22000,0.2191,0.065854,0.000377,0.000034,0.818874
23000,0.2191,0.065854,0.000377,0.000034,0.817044
24000,0.2191,0.065854,0.000377,0.000034,0.792672
25000,0.2191,0.065854,0.000377,0.000034,0.803321
26000,0.2191,0.065854,0.000377,0.000034,0.735987
27000,0.2191,0.065854,0.000377,0.000034,0.766614
28000,0.2191,0.065854,0.000377,0.000034,0.755049
29000,0.2191,0.065854,0.000377,0.000034,0.739283
30000,0.2191,0.065854,0.000377,0.000034,0.831442
31000,0.2191,0.065854,0.000377,0.000034,0.879316
32000,0.2191,0.065854,0.000377,0.000034,0.848521
33000,0.2191,0.065854,0.000377,0.000034,0.847618
34000,0.2191,0.065854,0.000377,0.000034,0.719201
35000,0.2191,0.065854,0.000377,0.000034,0.787390
36000,0.2191,0.065854,0.000377,0.000034,0.711387
37000,0.2191,0.065854,0.000377,0.000034,0.756274
38000,0.2191,0.065854,0.000377,0.000034,0.775533
39000,0.2191,0.065854,0.000377,0.000034,0.789074
40000,0.2191,0.065854,0.000377,0.000034,0.673699
41000,0.2191,0.065854,0.000377,0.000034,0.884515
42000,0.2191,0.065854,0.000377,0.000034,0.906837
43000,0.2191,0.065854,0.000377,0.000034,0.838139
44000,0.2191,0.065854,0.000377,0.000034,0.730143
45000,0.2191,0.065854,0.000377,0.000034,0.646904
46000,0.2191,0.065854,0.000377,0.000034,0.814758
47000,0.2191,0.065854,0.000377,0.000034,0.749306
48000,0.2191,0.065854,0.000377,0.000034,0.814084
49000,0.2191,0.065854,0.000377,0.000034,0.830542
50000,0.2191,0.065854,0.000377,0.000034,0.759397
51000,0.2191,0.065854,0.000377,0.000034,0.847999
52000,0.2191,0.065854,0.000377,0.000034,0.750993
53000,0.2191,0.065854,0.000377,0.000034,0.813470
54000,0.2191,0.065854,0.000377,0.000034,0.790938
55000,0.2191,0.065854,0.000377,0.000034,0.787407
56000,0.2191,0.065854,0.000377,0.000034,0.779901
57000,0.2191,0.065854,0.000377,0.000034,0.760649
58000,0.2191,0.065854,0.000377,0.000034,0.791017
59000,0.2191,0.065854,0.000377,0.000034,0.818586
60000,0.2191,0.065854,0.000377,0.000034,0.827418
61000,0.2191,0.065854,0.000377,0.000034,0.799034
62000,0.2191,0.065854,0.000377,0.000034,0.895013
63000,0.2191,0.065854,0.000377,0.000034,0.879150
64000,0.2191,0.065854,0.000377,0.000034,0.895656
65000,0.2191,0.065854,0.000377,0.000034,0.891851
66000,0.2191,0.065854,0.000377,0.000034,0.921317
67000,0.2191,0.065854,0.000377,0.000034,0.931621
68000,0.2191,0.065854,0.000377,0.000034,0.923753
69000,0.2191,0.065854,0.000377,0.000034,0.986404
70000,0.2191,0.065854,0.000377,0.000034,1.010090
71000,0.2191,0.065854,0.000377,0.000034,0.985936
72000,0.2191,0.065854,0.000377,0.000034,0.989344
73000,0.2191,0.065854,0.000377,0.000034,0.936465
74000,0.2191,0.065854,0.000377,0.000034,0.963080
75000,0.2191,0.065854,0.000377,0.000034,0.970212
76000,0.2191,0.065854,0.000377,0.000034,1.201434
77000,0.2191,0.065854,0.000377,0.000034,1.169009
78000,0.2191,0.065854,0.000377,0.000034,1.227209
79000,0.2191,0.065854,0.000377,0.000034,1.202634
80000,0.2191,0.065854,0.000377,0.000034,1.183864
81000,0.2191,0.065854,0.000377,0.000034,0.989956
82000,0.2191,0.065854,0.000377,0.000034,1.082201
83000,0.2191,0.065854,0.000377,0.000034,1.347017
84000,0.2191,0.065854,0.000377,0.000034,1.206243
85000,0.2191,0.065854,0.000377,0.000034,1.271704
