Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
3000000,0.2191,0.065854,0.000377,0.000034,0.724971
3001000,0.2191,0.065854,0.000377,0.000034,0.695837
3002000,0.2191,0.065854,0.000377,0.000034,0.705714
3003000,0.2191,0.065854,0.000377,0.000034,0.684525
3004000,0.2191,0.065854,0.000377,0.000034,0.696511
3005000,0.2191,0.065854,0.000377,0.000034,0.687427
3006000,0.2191,0.065854,0.000377,0.000034,0.698729
3007000,0.2191,0.065854,0.000377,0.000034,0.670245
3008000,0.2191,0.065854,0.000377,0.000034,0.666398
3009000,0.2191,0.065854,0.000377,0.000034,0.672670
3010000,0.2191,0.065854,0.000377,0.000034,0.652648
3011000,0.2191,0.065854,0.000377,0.000034,0.681239
3012000,0.2191,0.065854,0.000377,0.000034,0.651915
3013000,0.2191,0.065854,0.000377,0.000034,0.635554
3014000,0.2191,0.065854,0.000377,0.000034,0.640305
3015000,0.2191,0.065854,0.000377,0.000034,0.646547
3016000,0.2191,0.065854,0.000377,0.000034,0.628195
3017000,0.2191,0.065854,0.000377,0.000034,0.628799
3018000,0.2191,0.065854,0.000377,0.000034,0.622247
3019000,0.2191,0.065854,0.000377,0.000034,0.614177
3020000,0.2191,0.065854,0.000377,0.000034,0.597040
3021000,0.2191,0.065854,0.000377,0.000034,0.617711
3022000,0.2191,0.065854,0.000377,0.000034,0.640708
3023000,0.2191,0.065854,0.000377,0.000034,0.628415
3024000,0.2191,0.065854,0.000377,0.000034,0.626230
3025000,0.2191,0.065854,0.000377,0.000034,0.642369
3026000,0.2191,0.065854,0.000377,0.000034,0.656203
3027000,0.2191,0.065854,0.000377,0.000034,0.654269
3028000,0.2191,0.065854,0.000377,0.000034,0.668850
3029000,0.2191,0.065854,0.000377,0.000034,0.654284
3030000,0.2191,0.065854,0.000377,0.000034,0.661745
3031000,0.2191,0.065854,0.000377,0.000034,0.646200
3032000,0.2191,0.065854,0.000377,0.000034,0.655920
3033000,0.2191,0.065854,0.000377,0.000034,0.636667
3034000,0.2191,0.065854,0.000377,0.000034,0.623736
3035000,0.2191,0.065854,0.000377,0.000034,0.670161
3036000,0.2191,0.065854,0.000377,0.000034,0.649412
3037000,0.2191,0.065854,0.000377,0.000034,0.669358
3038000,0.2191,0.065854,0.000377,0.000034,0.697435
3039000,0.2191,0.065854,0.000377,0.000034,0.676252
3040000,0.2191,0.065854,0.000377,0.000034,0.708250
3041000,0.2191,0.065854,0.000377,0.000034,0.714721
3042000,0.2191,0.065854,0.000377,0.000034,0.694498
3043000,0.2191,0.065854,0.000377,0.000034,0.686213
3044000,0.2191,0.065854,0.000377,0.000034,0.708444
3045000,0.2191,0.065854,0.000377,0.000034,0.669538
3046000,0.2191,0.065854,0.000377,0.000034,0.686292
3047000,0.2191,0.065854,0.000377,0.000034,0.676331
3048000,0.2191,0.065854,0.000377,0.000034,0.678893
3049000,0.2191,0.065854,0.000377,0.000034,0.685372
3050000,0.2191,0.065854,0.000377,0.000034,0.698712
3051000,0.2191,0.065854,0.000377,0.000034,0.698462
3052000,0.2191,0.065854,0.000377,0.000034,0.668259
3053000,0.2191,0.065854,0.000377,0.000034,0.699342
3054000,0.2191,0.065854,0.000377,0.000034,0.647900
3055000,0.2191,0.065854,0.000377,0.000034,0.666773
3056000,0.2191,0.065854,0.000377,0.000034,0.677330
3057000,0.2191,0.065854,0.000377,0.000034,0.654439
3058000,0.2191,0.065854,0.000377,0.000034,0.665955
3059000,0.2191,0.065854,0.000377,0.000034,0.664565
3060000,0.2191,0.065854,0.000377,0.000034,0.691130
3061000,0.2191,0.065854,0.000377,0.000034,0.666919
3062000,0.2191,0.065854,0.000377,0.000034,0.665618
3063000,0.2191,0.065854,0.000377,0.000034,0.665687
3064000,0.2191,0.065854,0.000377,0.000034,0.661815
3065000,0.2191,0.065854,0.000377,0.000034,0.654388
3066000,0.2191,0.065854,0.000377,0.000034,0.699586
3067000,0.2191,0.065854,0.000377,0.000034,0.681665
3068000,0.2191,0.065854,0.000377,0.000034,0.693122
3069000,0.2191,0.065854,0.000377,0.000034,0.717805
3070000,0.2191,0.065854,0.000377,0.000034,0.716304
3071000,0.2191,0.065854,0.000377,0.000034,0.717381
3072000,0.2191,0.065854,0.000377,0.000034,0.720091
3073000,0.2191,0.065854,0.000377,0.000034,0.727939
3074000,0.2191,0.065854,0.000377,0.000034,0.711506
3075000,0.2191,0.065854,0.000377,0.000034,0.711893
3076000,0.2191,0.065854,0.000377,0.000034,0.698190
3077000,0.2191,0.065854,0.000377,0.000034,0.699608
3078000,0.2191,0.065854,0.000377,0.000034,0.684679
3079000,0.2191,0.065854,0.000377,0.000034,0.683506
3080000,0.2191,0.065854,0.000377,0.000034,0.663478
3081000,0.2191,0.065854,0.000377,0.000034,0.653705
3082000,0.2191,0.065854,0.000377,0.000034,0.628245
3083000,0.2191,0.065854,0.000377,0.000034,0.638923
3084000,0.2191,0.065854,0.000377,0.000034,0.642870
3085000,0.2191,0.065854,0.000377,0.000034,0.634386
3086000,0.2191,0.065854,0.000377,0.000034,0.630149
3087000,0.2191,0.065854,0.000377,0.000034,0.615030
3088000,0.2191,0.065854,0.000377,0.000034,0.621732
3089000,0.2191,0.065854,0.000377,0.000034,0.631845
3090000,0.2191,0.065854,0.000377,0.000034,0.610921
3091000,0.2191,0.065854,0.000377,0.000034,0.618178
3092000,0.2191,0.065854,0.000377,0.000034,0.607235
3093000,0.2191,0.065854,0.000377,0.000034,0.631488
3094000,0.2191,0.065854,0.000377,0.000034,0.599537
3095000,0.2191,0.065854,0.000377,0.000034,0.662471
3096000,0.2191,0.065854,0.000377,0.000034,0.658364
3097000,0.2191,0.065854,0.000377,0.000034,0.631937
3098000,0.2191,0.065854,0.000377,0.000034,0.680219
3099000,0.2191,0.065854,0.000377,0.000034,0.702336
3100000,0.2191,0.065854,0.000377,0.000034,0.717165
3101000,0.2191,0.065854,0.000377,0.000034,0.748660
3102000,0.2191,0.065854,0.000377,0.000034,0.755991
3103000,0.2191,0.065854,0.000377,0.000034,0.745562
3104000,0.2191,0.065854,0.000377,0.000034,0.794640
3105000,0.2191,0.065854,0.000377,0.000034,0.763153
3106000,0.2191,0.065854,0.000377,0.000034,0.766040
3107000,0.2191,0.065854,0.000377,0.000034,0.783586
3108000,0.2191,0.065854,0.000377,0.000034,0.747050
3109000,0.2191,0.065854,0.000377,0.000034,0.718283
3110000,0.2191,0.065854,0.000377,0.000034,0.736028
3111000,0.2191,0.065854,0.000377,0.000034,0.712980
3112000,0.2191,0.065854,0.000377,0.000034,0.722638
3113000,0.2191,0.065854,0.000377,0.000034,0.722688
3114000,0.2191,0.065854,0.000377,0.000034,0.724236
3115000,0.2191,0.065854,0.000377,0.000034,0.756756
3116000,0.2191,0.065854,0.000377,0.000034,0.730339
3117000,0.2191,0.065854,0.000377,0.000034,0.753762
3118000,0.2191,0.065854,0.000377,0.000034,0.723298
3119000,0.2191,0.065854,0.000377,0.000034,0.735161
3120000,0.2191,0.065854,0.000377,0.000034,0.713325
3121000,0.2191,0.065854,0.000377,0.000034,0.717854
3122000,0.2191,0.065854,0.000377,0.000034,0.706188
3123000,0.2191,0.065854,0.000377,0.000034,0.687587
3124000,0.2191,0.065854,0.000377,0.000034,0.664374
3125000,0.2191,0.065854,0.000377,0.000034,0.676186
3126000,0.2191,0.065854,0.000377,0.000034,0.667398
3127000,0.2191,0.065854,0.000377,0.000034,0.663080
3128000,0.2191,0.065854,0.000377,0.000034,0.640945
3129000,0.2191,0.065854,0.000377,0.000034,0.637019
3130000,0.2191,0.065854,0.000377,0.000034,0.616619
3131000,0.2191,0.065854,0.000377,0.000034,0.604667
3132000,0.2191,0.065854,0.000377,0.000034,0.590873
3133000,0.2191,0.065854,0.000377,0.000034,0.593695
3134000,0.2191,0.065854,0.000377,0.000034,0.558012
3135000,0.2191,0.065854,0.000377,0.000034,0.567078
3136000,0.2191,0.065854,0.000377,0.000034,0.554888
3137000,0.2191,0.065854,0.000377,0.000034,0.520999
3138000,0.2191,0.065854,0.000377,0.000034,0.533184
3139000,0.2191,0.065854,0.000377,0.000034,0.498989
3140000,0.2191,0.065854,0.000377,0.000034,0.514484
3141000,0.2191,0.065854,0.000377,0.000034,0.523576
3142000,0.2191,0.065854,0.000377,0.000034,0.532379
3143000,0.2191,0.065854,0.000377,0.000034,0.507838
3144000,0.2191,0.065854,0.000377,0.000034,0.519217
3145000,0.2191,0.065854,0.000377,0.000034,0.532335
3146000,0.2191,0.065854,0.000377,0.000034,0.527445
3147000,0.2191,0.065854,0.000377,0.000034,0.558576
3148000,0.2191,0.065854,0.000377,0.000034,0.522580
3149000,0.2191,0.065854,0.000377,0.000034,0.522312
3150000,0.2191,0.065854,0.000377,0.000034,0.539998
3151000,0.2191,0.065854,0.000377,0.000034,0.565659
3152000,0.2191,0.065854,0.000377,0.000034,0.537415
3153000,0.2191,0.065854,0.000377,0.000034,0.531421
3154000,0.2191,0.065854,0.000377,0.000034,0.552140
3155000,0.2191,0.065854,0.000377,0.000034,0.534050
3156000,0.2191,0.065854,0.000377,0.000034,0.528296
3157000,0.2191,0.065854,0.000377,0.000034,0.533602
3158000,0.2191,0.065854,0.000377,0.000034,0.514486
3159000,0.2191,0.065854,0.000377,0.000034,0.501890
3160000,0.2191,0.065854,0.000377,0.000034,0.482341
3161000,0.2191,0.065854,0.000377,0.000034,0.501804
3162000,0.2191,0.065854,0.000377,0.000034,0.481224
3163000,0.2191,0.065854,0.000377,0.000034,0.466448
3164000,0.2191,0.065854,0.000377,0.000034,0.469035
3165000,0.2191,0.065854,0.000377,0.000034,0.455080
3166000,0.2191,0.065854,0.000377,0.000034,0.437686
3167000,0.2191,0.065854,0.000377,0.000034,0.444540
3168000,0.2191,0.065854,0.000377,0.000034,0.450783
3169000,0.2191,0.065854,0.000377,0.000034,0.452777
3170000,0.2191,0.065854,0.000377,0.000034,0.453784
3171000,0.2191,0.065854,0.000377,0.000034,0.462806
3172000,0.2191,0.065854,0.000377,0.000034,0.460835
3173000,0.2191,0.065854,0.000377,0.000034,0.452376
3174000,0.2191,0.065854,0.000377,0.000034,0.486311
3175000,0.2191,0.065854,0.000377,0.000034,0.499786
3176000,0.2191,0.065854,0.000377,0.000034,0.500542
3177000,0.2191,0.065854,0.000377,0.000034,0.507645
3178000,0.2191,0.065854,0.000377,0.000034,0.504666
3179000,0.2191,0.065854,0.000377,0.000034,0.505237
3180000,0.2191,0.065854,0.000377,0.000034,0.496185
3181000,0.2191,0.065854,0.000377,0.000034,0.499396
3182000,0.2191,0.065854,0.000377,0.000034,0.503499
3183000,0.2191,0.065854,0.000377,0.000034,0.516642
3184000,0.2191,0.065854,0.000377,0.000034,0.529089
3185000,0.2191,0.065854,0.000377,0.000034,0.511617
3186000,0.2191,0.065854,0.000377,0.000034,0.578367
3187000,0.2191,0.065854,0.000377,0.000034,0.560382
3188000,0.2191,0.065854,0.000377,0.000034,0.558264
3189000,0.2191,0.065854,0.000377,0.000034,0.594881
3190000,0.2191,0.065854,0.000377,0.000034,0.589093
3191000,0.2191,0.065854,0.000377,0.000034,0.582365
3192000,0.2191,0.065854,0.000377,0.000034,0.649410
3193000,0.2191,0.065854,0.000377,0.000034,0.646532
3194000,0.2191,0.065854,0.000377,0.000034,0.707017
3195000,0.2191,0.065854,0.000377,0.000034,0.715534
3196000,0.2191,0.065854,0.000377,0.000034,0.746563
3197000,0.2191,0.065854,0.000377,0.000034,0.709571
3198000,0.2191,0.065854,0.000377,0.000034,0.720473
3199000,0.2191,0.065854,0.000377,0.000034,0.703381
3200000,0.2191,0.065854,0.000377,0.000034,0.679485
3201000,0.2191,0.065854,0.000377,0.000034,0.668356
3202000,0.2191,0.065854,0.000377,0.000034,0.653704
3203000,0.2191,0.065854,0.000377,0.000034,0.637044
3204000,0.2191,0.065854,0.000377,0.000034,0.612366
3205000,0.2191,0.065854,0.000377,0.000034,0.608255
3206000,0.2191,0.065854,0.000377,0.000034,0.605578
3207000,0.2191,0.065854,0.000377,0.000034,0.575820
3208000,0.2191,0.065854,0.000377,0.000034,0.592746
3209000,0.2191,0.065854,0.000377,0.000034,0.590076
3210000,0.2191,0.065854,0.000377,0.000034,0.575729
3211000,0.2191,0.065854,0.000377,0.000034,0.572233
