Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
9000000,23.8212,1.028147,0.538949,0.086720,11.570433
9001000,23.8212,1.028147,0.538949,0.086720,11.467609
9002000,23.8212,1.028147,0.538949,0.086720,11.854091
9003000,23.8212,1.028147,0.538949,0.086720,11.966140
9004000,23.8212,1.028147,0.538949,0.086720,11.413487
9005000,23.8212,1.028147,0.538949,0.086720,11.559761
9006000,23.8212,1.028147,0.538949,0.086720,11.518292
9007000,23.8212,1.028147,0.538949,0.086720,11.489286
9008000,23.8212,1.028147,0.538949,0.086720,11.045692
9009000,23.8212,1.028147,0.538949,0.086720,11.638899
9010000,23.8212,1.028147,0.538949,0.086720,11.512309
9011000,23.8212,1.028147,0.538949,0.086720,11.584629
9012000,23.8212,1.028147,0.538949,0.086720,11.587875
9013000,23.8212,1.028147,0.538949,0.086720,11.599786
9014000,23.8212,1.028147,0.538949,0.086720,11.663114
9015000,23.8212,1.028147,0.538949,0.086720,11.837297
9016000,23.8212,1.028147,0.538949,0.086720,11.962275
9017000,23.8212,1.028147,0.538949,0.086720,11.910285
9018000,23.8212,1.028147,0.538949,0.086720,10.997642
9019000,23.8212,1.028147,0.538949,0.086720,11.490705
9020000,23.8212,1.028147,0.538949,0.086720,11.302571
9021000,23.8212,1.028147,0.538949,0.086720,11.505510
9022000,23.8212,1.028147,0.538949,0.086720,11.067530
9023000,23.8212,1.028147,0.538949,0.086720,10.727929
9024000,23.8212,1.028147,0.538949,0.086720,11.411162
9025000,23.8212,1.028147,0.538949,0.086720,11.251253
9026000,23.8212,1.028147,0.538949,0.086720,10.784666
9027000,23.8212,1.028147,0.538949,0.086720,10.954571
9028000,23.8212,1.028147,0.538949,0.086720,10.774018
9029000,23.8212,1.028147,0.538949,0.086720,10.768313
9030000,23.8212,1.028147,0.538949,0.086720,10.710823
9031000,23.8212,1.028147,0.538949,0.086720,10.453381
9032000,23.8212,1.028147,0.538949,0.086720,10.786622
9033000,23.8212,1.028147,0.538949,0.086720,10.669497
9034000,23.8212,1.028147,0.538949,0.086720,11.141736
9035000,23.8212,1.028147,0.538949,0.086720,11.061740
9036000,23.8212,1.028147,0.538949,0.086720,11.147725
9037000,23.8212,1.028147,0.538949,0.086720,11.135192
9038000,23.8212,1.028147,0.538949,0.086720,11.038046
