Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,15.7031,5.502199,0.052647,0.006391,0.550220
2000,15.7031,5.502199,0.052647,0.006391,0.550220
3000,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
5000,15.7031,5.502199,0.052647,0.006391,0.550220
6000,15.7031,5.502199,0.052647,0.006391,6.608128
7000,15.7031,5.502199,0.052647,0.006391,22.880468
8000,15.7031,5.502199,0.052647,0.006391,18.247988
9000,15.7031,5.502199,0.052647,0.006391,13.385605
10000,15.7031,5.502199,0.052647,0.006391,12.656124
11000,15.7031,5.502199,0.052647,0.006391,13.283172
12000,15.7031,5.502199,0.052647,0.006391,13.576905
13000,15.7031,5.502199,0.052647,0.006391,12.805806
14000,15.7031,5.502199,0.052647,0.006391,13.037773
15000,15.7031,5.502199,0.052647,0.006391,12.754976
16000,15.7031,5.502199,0.052647,0.006391,12.756272
17000,15.7031,5.502199,0.052647,0.006391,13.051144
18000,15.7031,5.502199,0.052647,0.006391,13.038181
19000,15.7031,5.502199,0.052647,0.006391,12.105675
20000,15.7031,5.502199,0.052647,0.006391,11.740551
21000,15.7031,5.502199,0.052647,0.006391,11.553967
22000,15.7031,5.502199,0.052647,0.006391,11.657140
23000,15.7031,5.502199,0.052647,0.006391,11.425822
24000,15.7031,5.502199,0.052647,0.006391,11.480823
25000,15.7031,5.502199,0.052647,0.006391,11.709783
26000,15.7031,5.502199,0.052647,0.006391,11.674216
27000,15.7031,5.502199,0.052647,0.006391,11.204173
28000,15.7031,5.502199,0.052647,0.006391,10.991492
29000,15.7031,5.502199,0.052647,0.006391,11.519037
30000,15.7031,5.502199,0.052647,0.006391,11.993642
31000,15.7031,5.502199,0.052647,0.006391,12.056183
32000,15.7031,5.502199,0.052647,0.006391,12.217134
33000,15.7031,5.502199,0.052647,0.006391,11.629294
34000,15.7031,5.502199,0.052647,0.006391,11.506711
35000,15.7031,5.502199,0.052647,0.006391,11.441536
36000,15.7031,5.502199,0.052647,0.006391,11.579673
37000,15.7031,5.502199,0.052647,0.006391,11.613438
38000,15.7031,5.502199,0.052647,0.006391,11.855377
39000,15.7031,5.502199,0.052647,0.006391,11.765271
40000,15.7031,5.502199,0.052647,0.006391,11.728737
41000,15.7031,5.502199,0.052647,0.006391,11.651287
42000,15.7031,5.502199,0.052647,0.006391,11.542078
43000,15.7031,5.502199,0.052647,0.006391,11.607574
44000,15.7031,5.502199,0.052647,0.006391,11.842450
45000,15.7031,5.502199,0.052647,0.006391,11.640791
46000,15.7031,5.502199,0.052647,0.006391,11.554487
47000,15.7031,5.502199,0.052647,0.006391,11.445011
48000,15.7031,5.502199,0.052647,0.006391,11.315382
49000,15.7031,5.502199,0.052647,0.006391,11.748205
50000,15.7031,5.502199,0.052647,0.006391,11.410774
51000,15.7031,5.502199,0.052647,0.006391,11.361916
52000,15.7031,5.502199,0.052647,0.006391,11.433224
53000,15.7031,5.502199,0.052647,0.006391,11.516147
54000,15.7031,5.502199,0.052647,0.006391,11.395096
55000,15.7031,5.502199,0.052647,0.006391,11.518399
56000,15.7031,5.502199,0.052647,0.006391,11.477590
57000,15.7031,5.502199,0.052647,0.006391,11.680341
58000,15.7031,5.502199,0.052647,0.006391,11.563113
59000,15.7031,5.502199,0.052647,0.006391,11.593258
60000,15.7031,5.502199,0.052647,0.006391,11.453675
61000,15.7031,5.502199,0.052647,0.006391,11.421586
62000,15.7031,5.502199,0.052647,0.006391,11.285072
63000,15.7031,5.502199,0.052647,0.006391,11.609080
64000,15.7031,5.502199,0.052647,0.006391,11.403144
65000,15.7031,5.502199,0.052647,0.006391,11.379357
66000,15.7031,5.502199,0.052647,0.006391,11.523178
67000,15.7031,5.502199,0.052647,0.006391,11.373688
68000,15.7031,5.502199,0.052647,0.006391,11.475510
69000,15.7031,5.502199,0.052647,0.006391,11.340829
70000,15.7031,5.502199,0.052647,0.006391,11.228810
71000,15.7031,5.502199,0.052647,0.006391,11.315213
72000,15.7031,5.502199,0.052647,0.006391,11.331053
73000,15.7031,5.502199,0.052647,0.006391,11.286958
74000,15.7031,5.502199,0.052647,0.006391,11.398475
75000,15.7031,5.502199,0.052647,0.006391,11.307344
76000,15.7031,5.502199,0.052647,0.006391,11.443317
77000,15.7031,5.502199,0.052647,0.006391,11.305377
78000,15.7031,5.502199,0.052647,0.006391,11.278101
79000,15.7031,5.502199,0.052647,0.006391,11.430557
80000,15.7031,5.502199,0.052647,0.006391,11.368053
81000,15.7031,5.502199,0.052647,0.006391,11.390689
82000,15.7031,5.502199,0.052647,0.006391,11.327265
