Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
2000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
3000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
4000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
5000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.033970
6000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,30.721649
7000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.712155
8000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.729721
9000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.027621
10000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.085135
11000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.732538
12000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.784759
13000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.818996
14000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.298962
15000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.106418
16000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.639225
17000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.140096
18000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.714264
19000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.201584
20000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.464077
21000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.478685
22000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.097717
23000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.202405
24000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.549807
25000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.273109
26000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.007350
27000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.747003
28000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.543306
29000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,23.485093
30000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,21.992300
31000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.270953
32000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.334251
33000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.213878
34000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.982198
35000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.503888
36000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.448233
37000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.395348
38000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.588483
39000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.361255
40000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.288848
