Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.576942
2001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,27.188297
2002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.133977
2003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.059982
2004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,30.471908
2005000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.295141
2006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.950962
2007000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,37.034256
2008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,32.177044
2009000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,30.277177
2010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.934504
2011000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.259118
2012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.415331
2013000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,31.144203
2014000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,30.210279
2015000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.317243
2016000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.614056
2017000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.006575
2018000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,30.911114
2019000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,31.358941
2020000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,37.980910
2021000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,27.919651
2022000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,40.972473
2023000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,28.916136
2024000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,33.736455
2025000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.459153
2026000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,28.642385
2027000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,40.685017
2028000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,27.063228
2029000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,36.084102
2030000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,33.448169
2031000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,29.194091
2032000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.837970
2033000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.376665
2034000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,37.036348
2035000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,32.032599
2036000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,30.551842
2037000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.333719
2038000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,27.463264
2039000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,40.702598
2040000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,28.093892
2041000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,33.595903
2042000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,34.930344
2043000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,28.402106
2044000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.032474
2045000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.672414
2046000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,35.317452
2047000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.154635
2048000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,19.551528
2049000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.489630
2050000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.742436
2051000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.930139
2052000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.936696
2053000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.631492
2054000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.866110
2055000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.465444
2056000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.635992
2057000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.162001
2058000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.153644
