Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.733409
4001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.224061
4002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.329852
4003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.338988
4004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.488327
4005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.351613
4006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.402946
4007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,5.296283
4008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.331467
4009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.927178
4010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.869392
4011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.134884
4012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.474391
4013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.666612
4014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.367452
4015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.154869
4016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.740991
4017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.407207
4018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.994311
4019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.060010
4020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.235464
4021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.025663
4022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.427793
4023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.623571
4024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.419783
4025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.690945
4026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.212140
4027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,3.440006
4028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,4.760897
