Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,1.0570,0.187474,0.005507,0.000525,0.244655
4001000,1.0570,0.187474,0.005507,0.000525,0.264816
4002000,1.0570,0.187474,0.005507,0.000525,0.315047
4003000,1.0570,0.187474,0.005507,0.000525,0.283376
4004000,1.0570,0.187474,0.005507,0.000525,0.220181
4005000,1.0570,0.187474,0.005507,0.000525,0.234045
4006000,1.0570,0.187474,0.005507,0.000525,0.274173
4007000,1.0570,0.187474,0.005507,0.000525,0.228464
4008000,1.0570,0.187474,0.005507,0.000525,0.223375
4009000,1.0570,0.187474,0.005507,0.000525,0.315733
4010000,1.0570,0.187474,0.005507,0.000525,0.227627
4011000,1.0570,0.187474,0.005507,0.000525,0.288309
4012000,1.0570,0.187474,0.005507,0.000525,0.282472
4013000,1.0570,0.187474,0.005507,0.000525,0.197027
4014000,1.0570,0.187474,0.005507,0.000525,0.285301
4015000,1.0570,0.187474,0.005507,0.000525,0.260074
4016000,1.0570,0.187474,0.005507,0.000525,0.276636
4017000,1.0570,0.187474,0.005507,0.000525,0.234943
4018000,1.0570,0.187474,0.005507,0.000525,0.277300
4019000,1.0570,0.187474,0.005507,0.000525,0.253450
4020000,1.0570,0.187474,0.005507,0.000525,0.211453
4021000,1.0570,0.187474,0.005507,0.000525,0.323319
4022000,1.0570,0.187474,0.005507,0.000525,0.300862
4023000,1.0570,0.187474,0.005507,0.000525,0.209523
4024000,1.0570,0.187474,0.005507,0.000525,0.234968
4025000,1.0570,0.187474,0.005507,0.000525,0.319833
4026000,1.0570,0.187474,0.005507,0.000525,0.211928
4027000,1.0570,0.187474,0.005507,0.000525,0.250617
4028000,1.0570,0.187474,0.005507,0.000525,0.197522
4029000,1.0570,0.187474,0.005507,0.000525,0.169237
4030000,1.0570,0.187474,0.005507,0.000525,0.301464
4031000,1.0570,0.187474,0.005507,0.000525,0.269147
4032000,1.0570,0.187474,0.005507,0.000525,0.213814
4033000,1.0570,0.187474,0.005507,0.000525,0.300313
4034000,1.0570,0.187474,0.005507,0.000525,0.226099
4035000,1.0570,0.187474,0.005507,0.000525,0.222883
4036000,1.0570,0.187474,0.005507,0.000525,0.265806
4037000,1.0570,0.187474,0.005507,0.000525,0.262181
4038000,1.0570,0.187474,0.005507,0.000525,0.312951
4039000,1.0570,0.187474,0.005507,0.000525,0.262053
4040000,1.0570,0.187474,0.005507,0.000525,0.246265
4041000,1.0570,0.187474,0.005507,0.000525,0.260090
4042000,1.0570,0.187474,0.005507,0.000525,0.228059
4043000,1.0570,0.187474,0.005507,0.000525,0.228417
4044000,1.0570,0.187474,0.005507,0.000525,0.234992
4045000,1.0570,0.187474,0.005507,0.000525,0.250317
4046000,1.0570,0.187474,0.005507,0.000525,0.205244
4047000,1.0570,0.187474,0.005507,0.000525,0.200196
4048000,1.0570,0.187474,0.005507,0.000525,0.237560
4049000,1.0570,0.187474,0.005507,0.000525,0.191087
4050000,1.0570,0.187474,0.005507,0.000525,0.200685
4051000,1.0570,0.187474,0.005507,0.000525,0.230161
4052000,1.0570,0.187474,0.005507,0.000525,0.249948
4053000,1.0570,0.187474,0.005507,0.000525,0.248160
4054000,1.0570,0.187474,0.005507,0.000525,0.224378
4055000,1.0570,0.187474,0.005507,0.000525,0.279905
4056000,1.0570,0.187474,0.005507,0.000525,0.218347
4057000,1.0570,0.187474,0.005507,0.000525,0.212470
4058000,1.0570,0.187474,0.005507,0.000525,0.235103
4059000,1.0570,0.187474,0.005507,0.000525,0.307274
4060000,1.0570,0.187474,0.005507,0.000525,0.226631
