Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
5000000,15.7031,5.502199,0.052647,0.006391,0.580050
5001000,15.7031,5.502199,0.052647,0.006391,0.648242
5002000,15.7031,5.502199,0.052647,0.006391,0.591764
5003000,15.7031,5.502199,0.052647,0.006391,0.613468
5004000,15.7031,5.502199,0.052647,0.006391,0.578432
5005000,15.7031,5.502199,0.052647,0.006391,0.709658
5006000,15.7031,5.502199,0.052647,0.006391,0.578185
5007000,15.7031,5.502199,0.052647,0.006391,0.615488
5008000,15.7031,5.502199,0.052647,0.006391,0.587687
5009000,15.7031,5.502199,0.052647,0.006391,0.655599
5010000,15.7031,5.502199,0.052647,0.006391,0.589733
5011000,15.7031,5.502199,0.052647,0.006391,0.602653
5012000,15.7031,5.502199,0.052647,0.006391,0.578724
5013000,15.7031,5.502199,0.052647,0.006391,0.649668
5014000,15.7031,5.502199,0.052647,0.006391,0.587538
5015000,15.7031,5.502199,0.052647,0.006391,0.608576
5016000,15.7031,5.502199,0.052647,0.006391,0.588502
5017000,15.7031,5.502199,0.052647,0.006391,0.671487
5018000,15.7031,5.502199,0.052647,0.006391,0.620958
5019000,15.7031,5.502199,0.052647,0.006391,0.631819
5020000,15.7031,5.502199,0.052647,0.006391,0.599697
5021000,15.7031,5.502199,0.052647,0.006391,0.595739
5022000,15.7031,5.502199,0.052647,0.006391,0.631363
5023000,15.7031,5.502199,0.052647,0.006391,0.621811
5024000,15.7031,5.502199,0.052647,0.006391,0.631572
5025000,15.7031,5.502199,0.052647,0.006391,0.574504
5026000,15.7031,5.502199,0.052647,0.006391,0.631555
5027000,15.7031,5.502199,0.052647,0.006391,0.584945
5028000,15.7031,5.502199,0.052647,0.006391,0.668001
5029000,15.7031,5.502199,0.052647,0.006391,0.560291
5030000,15.7031,5.502199,0.052647,0.006391,0.625137
5031000,15.7031,5.502199,0.052647,0.006391,0.602751
5032000,15.7031,5.502199,0.052647,0.006391,0.601969
5033000,15.7031,5.502199,0.052647,0.006391,0.598526
5034000,15.7031,5.502199,0.052647,0.006391,0.598531
5035000,15.7031,5.502199,0.052647,0.006391,0.579095
5036000,15.7031,5.502199,0.052647,0.006391,0.622745
5037000,15.7031,5.502199,0.052647,0.006391,0.596476
5038000,15.7031,5.502199,0.052647,0.006391,0.622174
5039000,15.7031,5.502199,0.052647,0.006391,0.610242
5040000,15.7031,5.502199,0.052647,0.006391,0.610432
5041000,15.7031,5.502199,0.052647,0.006391,0.604666
5042000,15.7031,5.502199,0.052647,0.006391,0.630094
5043000,15.7031,5.502199,0.052647,0.006391,0.587488
5044000,15.7031,5.502199,0.052647,0.006391,0.647688
5045000,15.7031,5.502199,0.052647,0.006391,0.591449
5046000,15.7031,5.502199,0.052647,0.006391,0.612892
5047000,15.7031,5.502199,0.052647,0.006391,0.593589
5048000,15.7031,5.502199,0.052647,0.006391,0.631409
5049000,15.7031,5.502199,0.052647,0.006391,0.605299
5050000,15.7031,5.502199,0.052647,0.006391,0.628961
5051000,15.7031,5.502199,0.052647,0.006391,0.592099
5052000,15.7031,5.502199,0.052647,0.006391,0.581588
5053000,15.7031,5.502199,0.052647,0.006391,0.592292
5054000,15.7031,5.502199,0.052647,0.006391,0.600875
5055000,15.7031,5.502199,0.052647,0.006391,0.614131
5056000,15.7031,5.502199,0.052647,0.006391,0.667052
5057000,15.7031,5.502199,0.052647,0.006391,0.620699
5058000,15.7031,5.502199,0.052647,0.006391,0.605565
5059000,15.7031,5.502199,0.052647,0.006391,0.623893
5060000,15.7031,5.502199,0.052647,0.006391,0.626940
5061000,15.7031,5.502199,0.052647,0.006391,0.610430
5062000,15.7031,5.502199,0.052647,0.006391,0.621647
5063000,15.7031,5.502199,0.052647,0.006391,0.586471
5064000,15.7031,5.502199,0.052647,0.006391,0.591946
5065000,15.7031,5.502199,0.052647,0.006391,0.609674
5066000,15.7031,5.502199,0.052647,0.006391,0.604412
5067000,15.7031,5.502199,0.052647,0.006391,0.605686
5068000,15.7031,5.502199,0.052647,0.006391,0.618715
5069000,15.7031,5.502199,0.052647,0.006391,0.648872
5070000,15.7031,5.502199,0.052647,0.006391,0.598415
5071000,15.7031,5.502199,0.052647,0.006391,0.587677
5072000,15.7031,5.502199,0.052647,0.006391,0.616459
5073000,15.7031,5.502199,0.052647,0.006391,0.621449
5074000,15.7031,5.502199,0.052647,0.006391,0.622593
5075000,15.7031,5.502199,0.052647,0.006391,0.598814
5076000,15.7031,5.502199,0.052647,0.006391,0.592892
5077000,15.7031,5.502199,0.052647,0.006391,0.615826
5078000,15.7031,5.502199,0.052647,0.006391,0.610114
5079000,15.7031,5.502199,0.052647,0.006391,0.606057
5080000,15.7031,5.502199,0.052647,0.006391,0.590939
5081000,15.7031,5.502199,0.052647,0.006391,0.609390
5082000,15.7031,5.502199,0.052647,0.006391,0.602236
5083000,15.7031,5.502199,0.052647,0.006391,0.604544
5084000,15.7031,5.502199,0.052647,0.006391,0.606604
5085000,15.7031,5.502199,0.052647,0.006391,0.594691
5086000,15.7031,5.502199,0.052647,0.006391,0.605461
5087000,15.7031,5.502199,0.052647,0.006391,0.606663
5088000,15.7031,5.502199,0.052647,0.006391,0.606410
5089000,15.7031,5.502199,0.052647,0.006391,0.597121
5090000,15.7031,5.502199,0.052647,0.006391,0.603537
5091000,15.7031,5.502199,0.052647,0.006391,0.601062
5092000,15.7031,5.502199,0.052647,0.006391,0.655752
5093000,15.7031,5.502199,0.052647,0.006391,0.581771
5094000,15.7031,5.502199,0.052647,0.006391,0.633586
5095000,15.7031,5.502199,0.052647,0.006391,0.572645
5096000,15.7031,5.502199,0.052647,0.006391,0.651065
5097000,15.7031,5.502199,0.052647,0.006391,0.577442
5098000,15.7031,5.502199,0.052647,0.006391,0.604411
5099000,15.7031,5.502199,0.052647,0.006391,0.580157
5100000,15.7031,5.502199,0.052647,0.006391,0.604378
5101000,15.7031,5.502199,0.052647,0.006391,0.581896
5102000,15.7031,5.502199,0.052647,0.006391,0.595701
5103000,15.7031,5.502199,0.052647,0.006391,0.568791
5104000,15.7031,5.502199,0.052647,0.006391,0.640845
5105000,15.7031,5.502199,0.052647,0.006391,0.587042
5106000,15.7031,5.502199,0.052647,0.006391,0.597199
5107000,15.7031,5.502199,0.052647,0.006391,0.584512
5108000,15.7031,5.502199,0.052647,0.006391,0.603991
5109000,15.7031,5.502199,0.052647,0.006391,0.587686
5110000,15.7031,5.502199,0.052647,0.006391,0.593281
5111000,15.7031,5.502199,0.052647,0.006391,0.606709
5112000,15.7031,5.502199,0.052647,0.006391,0.594729
5113000,15.7031,5.502199,0.052647,0.006391,0.613591
5114000,15.7031,5.502199,0.052647,0.006391,0.583402
5115000,15.7031,5.502199,0.052647,0.006391,0.606783
5116000,15.7031,5.502199,0.052647,0.006391,0.592622
5117000,15.7031,5.502199,0.052647,0.006391,0.589543
5118000,15.7031,5.502199,0.052647,0.006391,0.585374
5119000,15.7031,5.502199,0.052647,0.006391,0.625994
5120000,15.7031,5.502199,0.052647,0.006391,0.605225
5121000,15.7031,5.502199,0.052647,0.006391,0.615740
5122000,15.7031,5.502199,0.052647,0.006391,0.569899
5123000,15.7031,5.502199,0.052647,0.006391,0.618545
5124000,15.7031,5.502199,0.052647,0.006391,0.592798
5125000,15.7031,5.502199,0.052647,0.006391,0.607188
5126000,15.7031,5.502199,0.052647,0.006391,0.591146
5127000,15.7031,5.502199,0.052647,0.006391,0.601389
5128000,15.7031,5.502199,0.052647,0.006391,0.597205
5129000,15.7031,5.502199,0.052647,0.006391,0.596621
5130000,15.7031,5.502199,0.052647,0.006391,0.580817
5131000,15.7031,5.502199,0.052647,0.006391,0.578246
5132000,15.7031,5.502199,0.052647,0.006391,0.606737
5133000,15.7031,5.502199,0.052647,0.006391,0.571626
5134000,15.7031,5.502199,0.052647,0.006391,0.594180
5135000,15.7031,5.502199,0.052647,0.006391,0.603171
5136000,15.7031,5.502199,0.052647,0.006391,0.621232
5137000,15.7031,5.502199,0.052647,0.006391,0.565027
5138000,15.7031,5.502199,0.052647,0.006391,0.576772
5139000,15.7031,5.502199,0.052647,0.006391,0.581509
5140000,15.7031,5.502199,0.052647,0.006391,0.580668
5141000,15.7031,5.502199,0.052647,0.006391,0.571407
5142000,15.7031,5.502199,0.052647,0.006391,0.588145
5143000,15.7031,5.502199,0.052647,0.006391,0.576703
5144000,15.7031,5.502199,0.052647,0.006391,0.575624
5145000,15.7031,5.502199,0.052647,0.006391,0.568388
5146000,15.7031,5.502199,0.052647,0.006391,0.591095
5147000,15.7031,5.502199,0.052647,0.006391,0.566705
5148000,15.7031,5.502199,0.052647,0.006391,0.669401
5149000,15.7031,5.502199,0.052647,0.006391,0.567327
5150000,15.7031,5.502199,0.052647,0.006391,0.576716
5151000,15.7031,5.502199,0.052647,0.006391,0.573676
5152000,15.7031,5.502199,0.052647,0.006391,0.595498
5153000,15.7031,5.502199,0.052647,0.006391,0.572753
5154000,15.7031,5.502199,0.052647,0.006391,0.598160
5155000,15.7031,5.502199,0.052647,0.006391,0.582543
5156000,15.7031,5.502199,0.052647,0.006391,0.571911
5157000,15.7031,5.502199,0.052647,0.006391,0.583387
5158000,15.7031,5.502199,0.052647,0.006391,0.574895
5159000,15.7031,5.502199,0.052647,0.006391,0.587096
5160000,15.7031,5.502199,0.052647,0.006391,0.574269
5161000,15.7031,5.502199,0.052647,0.006391,0.599922
5162000,15.7031,5.502199,0.052647,0.006391,0.565264
5163000,15.7031,5.502199,0.052647,0.006391,0.585377
5164000,15.7031,5.502199,0.052647,0.006391,0.579605
5165000,15.7031,5.502199,0.052647,0.006391,0.563180
5166000,15.7031,5.502199,0.052647,0.006391,0.583064
