Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,1.3415,0.039994,0.023482,0.002970,0.083082
4001000,1.3415,0.039994,0.023482,0.002970,0.086929
4002000,1.3415,0.039994,0.023482,0.002970,0.077465
4003000,1.3415,0.039994,0.023482,0.002970,0.063859
4004000,1.3415,0.039994,0.023482,0.002970,0.067274
4005000,1.3415,0.039994,0.023482,0.002970,0.070106
4006000,1.3415,0.039994,0.023482,0.002970,0.068205
4007000,1.3415,0.039994,0.023482,0.002970,0.048075
4008000,1.3415,0.039994,0.023482,0.002970,0.073112
4009000,1.3415,0.039994,0.023482,0.002970,0.078598
4010000,1.3415,0.039994,0.023482,0.002970,0.084915
4011000,1.3415,0.039994,0.023482,0.002970,0.057011
4012000,1.3415,0.039994,0.023482,0.002970,0.069941
4013000,1.3415,0.039994,0.023482,0.002970,0.056019
4014000,1.3415,0.039994,0.023482,0.002970,0.073139
4015000,1.3415,0.039994,0.023482,0.002970,0.076714
4016000,1.3415,0.039994,0.023482,0.002970,0.063886
4017000,1.3415,0.039994,0.023482,0.002970,0.072122
4018000,1.3415,0.039994,0.023482,0.002970,0.061135
4019000,1.3415,0.039994,0.023482,0.002970,0.077709
4020000,1.3415,0.039994,0.023482,0.002970,0.065842
4021000,1.3415,0.039994,0.023482,0.002970,0.090722
4022000,1.3415,0.039994,0.023482,0.002970,0.096552
4023000,1.3415,0.039994,0.023482,0.002970,0.095742
4024000,1.3415,0.039994,0.023482,0.002970,0.081822
4025000,1.3415,0.039994,0.023482,0.002970,0.073867
4026000,1.3415,0.039994,0.023482,0.002970,0.079823
4027000,1.3415,0.039994,0.023482,0.002970,0.055755
4028000,1.3415,0.039994,0.023482,0.002970,0.085355
4029000,1.3415,0.039994,0.023482,0.002970,0.063849
4030000,1.3415,0.039994,0.023482,0.002970,0.061134
4031000,1.3415,0.039994,0.023482,0.002970,0.066114
4032000,1.3415,0.039994,0.023482,0.002970,0.070727
4033000,1.3415,0.039994,0.023482,0.002970,0.065365
4034000,1.3415,0.039994,0.023482,0.002970,0.103180
4035000,1.3415,0.039994,0.023482,0.002970,0.066532
4036000,1.3415,0.039994,0.023482,0.002970,0.064140
4037000,1.3415,0.039994,0.023482,0.002970,0.082173
4038000,1.3415,0.039994,0.023482,0.002970,0.056038
4039000,1.3415,0.039994,0.023482,0.002970,0.052257
