Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
6000000,1.6202,0.544831,0.005673,0.000697,0.590771
6001000,1.6202,0.544831,0.005673,0.000697,0.586786
6002000,1.6202,0.544831,0.005673,0.000697,0.581283
6003000,1.6202,0.544831,0.005673,0.000697,0.594006
6004000,1.6202,0.544831,0.005673,0.000697,0.605966
6005000,1.6202,0.544831,0.005673,0.000697,0.571753
6006000,1.6202,0.544831,0.005673,0.000697,0.646656
6007000,1.6202,0.544831,0.005673,0.000697,0.592161
6008000,1.6202,0.544831,0.005673,0.000697,0.618468
6009000,1.6202,0.544831,0.005673,0.000697,0.565847
6010000,1.6202,0.544831,0.005673,0.000697,0.637737
6011000,1.6202,0.544831,0.005673,0.000697,0.603886
6012000,1.6202,0.544831,0.005673,0.000697,0.564101
6013000,1.6202,0.544831,0.005673,0.000697,0.608423
6014000,1.6202,0.544831,0.005673,0.000697,0.589155
6015000,1.6202,0.544831,0.005673,0.000697,0.589377
6016000,1.6202,0.544831,0.005673,0.000697,0.608496
6017000,1.6202,0.544831,0.005673,0.000697,0.601302
6018000,1.6202,0.544831,0.005673,0.000697,0.593275
6019000,1.6202,0.544831,0.005673,0.000697,0.584900
6020000,1.6202,0.544831,0.005673,0.000697,0.587980
6021000,1.6202,0.544831,0.005673,0.000697,0.569921
6022000,1.6202,0.544831,0.005673,0.000697,0.571283
6023000,1.6202,0.544831,0.005673,0.000697,0.572967
6024000,1.6202,0.544831,0.005673,0.000697,0.600189
6025000,1.6202,0.544831,0.005673,0.000697,0.574485
6026000,1.6202,0.544831,0.005673,0.000697,0.618268
6027000,1.6202,0.544831,0.005673,0.000697,0.557423
6028000,1.6202,0.544831,0.005673,0.000697,0.586564
6029000,1.6202,0.544831,0.005673,0.000697,0.574391
6030000,1.6202,0.544831,0.005673,0.000697,0.624099
6031000,1.6202,0.544831,0.005673,0.000697,0.613595
6032000,1.6202,0.544831,0.005673,0.000697,0.587035
6033000,1.6202,0.544831,0.005673,0.000697,0.612597
6034000,1.6202,0.544831,0.005673,0.000697,0.574605
6035000,1.6202,0.544831,0.005673,0.000697,0.614315
6036000,1.6202,0.544831,0.005673,0.000697,0.585543
6037000,1.6202,0.544831,0.005673,0.000697,0.612510
6038000,1.6202,0.544831,0.005673,0.000697,0.562827
6039000,1.6202,0.544831,0.005673,0.000697,0.617248
6040000,1.6202,0.544831,0.005673,0.000697,0.586960
6041000,1.6202,0.544831,0.005673,0.000697,0.581505
6042000,1.6202,0.544831,0.005673,0.000697,0.607093
6043000,1.6202,0.544831,0.005673,0.000697,0.568645
6044000,1.6202,0.544831,0.005673,0.000697,0.575934
6045000,1.6202,0.544831,0.005673,0.000697,0.570893
6046000,1.6202,0.544831,0.005673,0.000697,0.594570
6047000,1.6202,0.544831,0.005673,0.000697,0.595127
6048000,1.6202,0.544831,0.005673,0.000697,0.552854
6049000,1.6202,0.544831,0.005673,0.000697,0.589007
6050000,1.6202,0.544831,0.005673,0.000697,0.603261
6051000,1.6202,0.544831,0.005673,0.000697,0.587780
6052000,1.6202,0.544831,0.005673,0.000697,0.600180
6053000,1.6202,0.544831,0.005673,0.000697,0.592624
6054000,1.6202,0.544831,0.005673,0.000697,0.548868
6055000,1.6202,0.544831,0.005673,0.000697,0.571813
6056000,1.6202,0.544831,0.005673,0.000697,0.547411
6057000,1.6202,0.544831,0.005673,0.000697,0.606717
6058000,1.6202,0.544831,0.005673,0.000697,0.573370
6059000,1.6202,0.544831,0.005673,0.000697,0.587343
6060000,1.6202,0.544831,0.005673,0.000697,0.532922
6061000,1.6202,0.544831,0.005673,0.000697,0.583713
6062000,1.6202,0.544831,0.005673,0.000697,0.575463
6063000,1.6202,0.544831,0.005673,0.000697,0.596570
6064000,1.6202,0.544831,0.005673,0.000697,0.596619
6065000,1.6202,0.544831,0.005673,0.000697,0.627610
6066000,1.6202,0.544831,0.005673,0.000697,0.598093
6067000,1.6202,0.544831,0.005673,0.000697,0.603060
6068000,1.6202,0.544831,0.005673,0.000697,0.558592
6069000,1.6202,0.544831,0.005673,0.000697,0.565431
6070000,1.6202,0.544831,0.005673,0.000697,0.533795
6071000,1.6202,0.544831,0.005673,0.000697,0.556847
6072000,1.6202,0.544831,0.005673,0.000697,0.582067
6073000,1.6202,0.544831,0.005673,0.000697,0.534191
6074000,1.6202,0.544831,0.005673,0.000697,0.550264
6075000,1.6202,0.544831,0.005673,0.000697,0.579806
6076000,1.6202,0.544831,0.005673,0.000697,0.619577
6077000,1.6202,0.544831,0.005673,0.000697,0.558679
6078000,1.6202,0.544831,0.005673,0.000697,0.614711
6079000,1.6202,0.544831,0.005673,0.000697,0.545057
6080000,1.6202,0.544831,0.005673,0.000697,0.590463
6081000,1.6202,0.544831,0.005673,0.000697,0.553318
6082000,1.6202,0.544831,0.005673,0.000697,0.587296
6083000,1.6202,0.544831,0.005673,0.000697,0.566894
6084000,1.6202,0.544831,0.005673,0.000697,0.579510
6085000,1.6202,0.544831,0.005673,0.000697,0.589095
6086000,1.6202,0.544831,0.005673,0.000697,0.594617
6087000,1.6202,0.544831,0.005673,0.000697,0.543646
6088000,1.6202,0.544831,0.005673,0.000697,0.535855
6089000,1.6202,0.544831,0.005673,0.000697,0.522206
6090000,1.6202,0.544831,0.005673,0.000697,0.561116
6091000,1.6202,0.544831,0.005673,0.000697,0.577176
6092000,1.6202,0.544831,0.005673,0.000697,0.560720
6093000,1.6202,0.544831,0.005673,0.000697,0.586504
6094000,1.6202,0.544831,0.005673,0.000697,0.592926
6095000,1.6202,0.544831,0.005673,0.000697,0.553929
6096000,1.6202,0.544831,0.005673,0.000697,0.574491
6097000,1.6202,0.544831,0.005673,0.000697,0.598101
6098000,1.6202,0.544831,0.005673,0.000697,0.594028
6099000,1.6202,0.544831,0.005673,0.000697,0.577564
6100000,1.6202,0.544831,0.005673,0.000697,0.545305
6101000,1.6202,0.544831,0.005673,0.000697,0.578397
6102000,1.6202,0.544831,0.005673,0.000697,0.561895
6103000,1.6202,0.544831,0.005673,0.000697,0.546707
6104000,1.6202,0.544831,0.005673,0.000697,0.573370
6105000,1.6202,0.544831,0.005673,0.000697,0.557196
6106000,1.6202,0.544831,0.005673,0.000697,0.553833
6107000,1.6202,0.544831,0.005673,0.000697,0.579107
6108000,1.6202,0.544831,0.005673,0.000697,0.571169
6109000,1.6202,0.544831,0.005673,0.000697,0.565586
6110000,1.6202,0.544831,0.005673,0.000697,0.558921
6111000,1.6202,0.544831,0.005673,0.000697,0.536789
6112000,1.6202,0.544831,0.005673,0.000697,0.526439
6113000,1.6202,0.544831,0.005673,0.000697,0.558821
6114000,1.6202,0.544831,0.005673,0.000697,0.512789
6115000,1.6202,0.544831,0.005673,0.000697,0.548183
6116000,1.6202,0.544831,0.005673,0.000697,0.556975
6117000,1.6202,0.544831,0.005673,0.000697,0.574827
6118000,1.6202,0.544831,0.005673,0.000697,0.551948
6119000,1.6202,0.544831,0.005673,0.000697,0.567572
6120000,1.6202,0.544831,0.005673,0.000697,0.545251
6121000,1.6202,0.544831,0.005673,0.000697,0.546217
6122000,1.6202,0.544831,0.005673,0.000697,0.610093
6123000,1.6202,0.544831,0.005673,0.000697,0.535875
6124000,1.6202,0.544831,0.005673,0.000697,0.533923
6125000,1.6202,0.544831,0.005673,0.000697,0.554720
