Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
7000000,15.7031,5.502199,0.052647,0.006391,16.683356
7001000,15.7031,5.502199,0.052647,0.006391,17.905445
7002000,15.7031,5.502199,0.052647,0.006391,18.309907
7003000,15.7031,5.502199,0.052647,0.006391,16.256738
7004000,15.7031,5.502199,0.052647,0.006391,17.014277
7005000,15.7031,5.502199,0.052647,0.006391,20.722262
7006000,15.7031,5.502199,0.052647,0.006391,20.144738
7007000,15.7031,5.502199,0.052647,0.006391,18.952636
7008000,15.7031,5.502199,0.052647,0.006391,18.924619
7009000,15.7031,5.502199,0.052647,0.006391,15.927592
7010000,15.7031,5.502199,0.052647,0.006391,19.610514
7011000,15.7031,5.502199,0.052647,0.006391,18.886475
7012000,15.7031,5.502199,0.052647,0.006391,18.319716
7013000,15.7031,5.502199,0.052647,0.006391,17.813971
7014000,15.7031,5.502199,0.052647,0.006391,18.510952
7015000,15.7031,5.502199,0.052647,0.006391,19.361000
7016000,15.7031,5.502199,0.052647,0.006391,17.860773
7017000,15.7031,5.502199,0.052647,0.006391,18.872319
7018000,15.7031,5.502199,0.052647,0.006391,17.856810
7019000,15.7031,5.502199,0.052647,0.006391,18.430543
7020000,15.7031,5.502199,0.052647,0.006391,17.621203
7021000,15.7031,5.502199,0.052647,0.006391,18.992833
7022000,15.7031,5.502199,0.052647,0.006391,16.705056
7023000,15.7031,5.502199,0.052647,0.006391,18.690931
7024000,15.7031,5.502199,0.052647,0.006391,15.955141
7025000,15.7031,5.502199,0.052647,0.006391,17.150724
7026000,15.7031,5.502199,0.052647,0.006391,18.606136
7027000,15.7031,5.502199,0.052647,0.006391,17.410795
7028000,15.7031,5.502199,0.052647,0.006391,19.380615
7029000,15.7031,5.502199,0.052647,0.006391,18.503070
7030000,15.7031,5.502199,0.052647,0.006391,19.057965
7031000,15.7031,5.502199,0.052647,0.006391,19.492812
7032000,15.7031,5.502199,0.052647,0.006391,20.270479
7033000,15.7031,5.502199,0.052647,0.006391,19.599247
7034000,15.7031,5.502199,0.052647,0.006391,18.719792
7035000,15.7031,5.502199,0.052647,0.006391,18.480155
7036000,15.7031,5.502199,0.052647,0.006391,18.872274
7037000,15.7031,5.502199,0.052647,0.006391,17.865678
7038000,15.7031,5.502199,0.052647,0.006391,17.324862
7039000,15.7031,5.502199,0.052647,0.006391,19.415295
7040000,15.7031,5.502199,0.052647,0.006391,17.910263
7041000,15.7031,5.502199,0.052647,0.006391,19.526365
7042000,15.7031,5.502199,0.052647,0.006391,17.775610
7043000,15.7031,5.502199,0.052647,0.006391,17.297723
7044000,15.7031,5.502199,0.052647,0.006391,20.259827
7045000,15.7031,5.502199,0.052647,0.006391,18.994351
7046000,15.7031,5.502199,0.052647,0.006391,19.926624
7047000,15.7031,5.502199,0.052647,0.006391,18.351710
7048000,15.7031,5.502199,0.052647,0.006391,18.512807
7049000,15.7031,5.502199,0.052647,0.006391,19.227912
7050000,15.7031,5.502199,0.052647,0.006391,18.953418
7051000,15.7031,5.502199,0.052647,0.006391,19.405638
7052000,15.7031,5.502199,0.052647,0.006391,16.093070
7053000,15.7031,5.502199,0.052647,0.006391,21.009151
7054000,15.7031,5.502199,0.052647,0.006391,20.291199
7055000,15.7031,5.502199,0.052647,0.006391,20.772387
7056000,15.7031,5.502199,0.052647,0.006391,16.642304
7057000,15.7031,5.502199,0.052647,0.006391,19.476469
7058000,15.7031,5.502199,0.052647,0.006391,17.827856
7059000,15.7031,5.502199,0.052647,0.006391,19.744875
7060000,15.7031,5.502199,0.052647,0.006391,16.888449
7061000,15.7031,5.502199,0.052647,0.006391,18.511810
7062000,15.7031,5.502199,0.052647,0.006391,17.333679
7063000,15.7031,5.502199,0.052647,0.006391,18.134553
7064000,15.7031,5.502199,0.052647,0.006391,16.647195
