Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
3000000,0.2191,0.065854,0.000377,0.000034,0.059693
3001000,0.2191,0.065854,0.000377,0.000034,0.055197
3002000,0.2191,0.065854,0.000377,0.000034,0.057267
3003000,0.2191,0.065854,0.000377,0.000034,0.065953
3004000,0.2191,0.065854,0.000377,0.000034,0.064328
3005000,0.2191,0.065854,0.000377,0.000034,0.067458
3006000,0.2191,0.065854,0.000377,0.000034,0.063195
3007000,0.2191,0.065854,0.000377,0.000034,0.062787
3008000,0.2191,0.065854,0.000377,0.000034,0.062476
3009000,0.2191,0.065854,0.000377,0.000034,0.064758
3010000,0.2191,0.065854,0.000377,0.000034,0.062945
3011000,0.2191,0.065854,0.000377,0.000034,0.062985
3012000,0.2191,0.065854,0.000377,0.000034,0.059411
3013000,0.2191,0.065854,0.000377,0.000034,0.055036
3014000,0.2191,0.065854,0.000377,0.000034,0.061401
3015000,0.2191,0.065854,0.000377,0.000034,0.059447
3016000,0.2191,0.065854,0.000377,0.000034,0.059207
3017000,0.2191,0.065854,0.000377,0.000034,0.062567
3018000,0.2191,0.065854,0.000377,0.000034,0.059891
3019000,0.2191,0.065854,0.000377,0.000034,0.059927
3020000,0.2191,0.065854,0.000377,0.000034,0.068747
3021000,0.2191,0.065854,0.000377,0.000034,0.060292
3022000,0.2191,0.065854,0.000377,0.000034,0.057374
3023000,0.2191,0.065854,0.000377,0.000034,0.058810
3024000,0.2191,0.065854,0.000377,0.000034,0.061534
3025000,0.2191,0.065854,0.000377,0.000034,0.061724
3026000,0.2191,0.065854,0.000377,0.000034,0.063085
3027000,0.2191,0.065854,0.000377,0.000034,0.062007
3028000,0.2191,0.065854,0.000377,0.000034,0.056714
3029000,0.2191,0.065854,0.000377,0.000034,0.064706
3030000,0.2191,0.065854,0.000377,0.000034,0.061871
3031000,0.2191,0.065854,0.000377,0.000034,0.064319
3032000,0.2191,0.065854,0.000377,0.000034,0.066127
3033000,0.2191,0.065854,0.000377,0.000034,0.059765
3034000,0.2191,0.065854,0.000377,0.000034,0.058919
3035000,0.2191,0.065854,0.000377,0.000034,0.066909
3036000,0.2191,0.065854,0.000377,0.000034,0.059663
