Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,1.3415,0.039994,0.023482,0.002970,0.336568
2001000,1.3415,0.039994,0.023482,0.002970,0.314358
2002000,1.3415,0.039994,0.023482,0.002970,0.321452
2003000,1.3415,0.039994,0.023482,0.002970,0.333280
2004000,1.3415,0.039994,0.023482,0.002970,0.335230
2005000,1.3415,0.039994,0.023482,0.002970,0.322335
2006000,1.3415,0.039994,0.023482,0.002970,0.312659
2007000,1.3415,0.039994,0.023482,0.002970,0.306914
2008000,1.3415,0.039994,0.023482,0.002970,0.323112
2009000,1.3415,0.039994,0.023482,0.002970,0.314967
2010000,1.3415,0.039994,0.023482,0.002970,0.308163
2011000,1.3415,0.039994,0.023482,0.002970,0.304114
2012000,1.3415,0.039994,0.023482,0.002970,0.321707
2013000,1.3415,0.039994,0.023482,0.002970,0.316841
2014000,1.3415,0.039994,0.023482,0.002970,0.307354
2015000,1.3415,0.039994,0.023482,0.002970,0.329412
2016000,1.3415,0.039994,0.023482,0.002970,0.312221
2017000,1.3415,0.039994,0.023482,0.002970,0.310781
2018000,1.3415,0.039994,0.023482,0.002970,0.316022
2019000,1.3415,0.039994,0.023482,0.002970,0.311410
2020000,1.3415,0.039994,0.023482,0.002970,0.321675
2021000,1.3415,0.039994,0.023482,0.002970,0.316655
2022000,1.3415,0.039994,0.023482,0.002970,0.277169
2023000,1.3415,0.039994,0.023482,0.002970,0.310191
2024000,1.3415,0.039994,0.023482,0.002970,0.296735
2025000,1.3415,0.039994,0.023482,0.002970,0.308563
2026000,1.3415,0.039994,0.023482,0.002970,0.300658
2027000,1.3415,0.039994,0.023482,0.002970,0.290000
2028000,1.3415,0.039994,0.023482,0.002970,0.304810
2029000,1.3415,0.039994,0.023482,0.002970,0.316942
2030000,1.3415,0.039994,0.023482,0.002970,0.292016
2031000,1.3415,0.039994,0.023482,0.002970,0.298498
2032000,1.3415,0.039994,0.023482,0.002970,0.297740
2033000,1.3415,0.039994,0.023482,0.002970,0.302728
2034000,1.3415,0.039994,0.023482,0.002970,0.290102
2035000,1.3415,0.039994,0.023482,0.002970,0.302656
2036000,1.3415,0.039994,0.023482,0.002970,0.286745
2037000,1.3415,0.039994,0.023482,0.002970,0.305509
2038000,1.3415,0.039994,0.023482,0.002970,0.287673
2039000,1.3415,0.039994,0.023482,0.002970,0.301885
2040000,1.3415,0.039994,0.023482,0.002970,0.283503
2041000,1.3415,0.039994,0.023482,0.002970,0.308702
2042000,1.3415,0.039994,0.023482,0.002970,0.301514
2043000,1.3415,0.039994,0.023482,0.002970,0.294658
2044000,1.3415,0.039994,0.023482,0.002970,0.296063
2045000,1.3415,0.039994,0.023482,0.002970,0.292368
2046000,1.3415,0.039994,0.023482,0.002970,0.293081
2047000,1.3415,0.039994,0.023482,0.002970,0.299201
2048000,1.3415,0.039994,0.023482,0.002970,0.293026
2049000,1.3415,0.039994,0.023482,0.002970,0.295003
2050000,1.3415,0.039994,0.023482,0.002970,0.289575
2051000,1.3415,0.039994,0.023482,0.002970,0.293786
2052000,1.3415,0.039994,0.023482,0.002970,0.306223
2053000,1.3415,0.039994,0.023482,0.002970,0.275226
2054000,1.3415,0.039994,0.023482,0.002970,0.280188
2055000,1.3415,0.039994,0.023482,0.002970,0.291538
2056000,1.3415,0.039994,0.023482,0.002970,0.289289
2057000,1.3415,0.039994,0.023482,0.002970,0.283552
2058000,1.3415,0.039994,0.023482,0.002970,0.298900
2059000,1.3415,0.039994,0.023482,0.002970,0.292965
2060000,1.3415,0.039994,0.023482,0.002970,0.291708
2061000,1.3415,0.039994,0.023482,0.002970,0.286472
2062000,1.3415,0.039994,0.023482,0.002970,0.302339
2063000,1.3415,0.039994,0.023482,0.002970,0.285219
2064000,1.3415,0.039994,0.023482,0.002970,0.285803
2065000,1.3415,0.039994,0.023482,0.002970,0.290908
2066000,1.3415,0.039994,0.023482,0.002970,0.319255
2067000,1.3415,0.039994,0.023482,0.002970,0.283577
2068000,1.3415,0.039994,0.023482,0.002970,0.299495
2069000,1.3415,0.039994,0.023482,0.002970,0.268165
2070000,1.3415,0.039994,0.023482,0.002970,0.275476
2071000,1.3415,0.039994,0.023482,0.002970,0.266547
2072000,1.3415,0.039994,0.023482,0.002970,0.285080
2073000,1.3415,0.039994,0.023482,0.002970,0.272671
2074000,1.3415,0.039994,0.023482,0.002970,0.288188
2075000,1.3415,0.039994,0.023482,0.002970,0.261993
2076000,1.3415,0.039994,0.023482,0.002970,0.280826
2077000,1.3415,0.039994,0.023482,0.002970,0.279667
2078000,1.3415,0.039994,0.023482,0.002970,0.305494
2079000,1.3415,0.039994,0.023482,0.002970,0.289171
2080000,1.3415,0.039994,0.023482,0.002970,0.285125
2081000,1.3415,0.039994,0.023482,0.002970,0.276354
2082000,1.3415,0.039994,0.023482,0.002970,0.292002
2083000,1.3415,0.039994,0.023482,0.002970,0.269253
2084000,1.3415,0.039994,0.023482,0.002970,0.281222
2085000,1.3415,0.039994,0.023482,0.002970,0.273038
2086000,1.3415,0.039994,0.023482,0.002970,0.287191
2087000,1.3415,0.039994,0.023482,0.002970,0.283141
2088000,1.3415,0.039994,0.023482,0.002970,0.293196
2089000,1.3415,0.039994,0.023482,0.002970,0.293170
2090000,1.3415,0.039994,0.023482,0.002970,0.302768
2091000,1.3415,0.039994,0.023482,0.002970,0.289156
2092000,1.3415,0.039994,0.023482,0.002970,0.284449
2093000,1.3415,0.039994,0.023482,0.002970,0.281603
2094000,1.3415,0.039994,0.023482,0.002970,0.283728
2095000,1.3415,0.039994,0.023482,0.002970,0.295594
2096000,1.3415,0.039994,0.023482,0.002970,0.296708
2097000,1.3415,0.039994,0.023482,0.002970,0.303685
2098000,1.3415,0.039994,0.023482,0.002970,0.290367
2099000,1.3415,0.039994,0.023482,0.002970,0.297049
2100000,1.3415,0.039994,0.023482,0.002970,0.296790
2101000,1.3415,0.039994,0.023482,0.002970,0.292801
2102000,1.3415,0.039994,0.023482,0.002970,0.297801
2103000,1.3415,0.039994,0.023482,0.002970,0.308845
2104000,1.3415,0.039994,0.023482,0.002970,0.283764
2105000,1.3415,0.039994,0.023482,0.002970,0.302094
2106000,1.3415,0.039994,0.023482,0.002970,0.301381
2107000,1.3415,0.039994,0.023482,0.002970,0.317762
2108000,1.3415,0.039994,0.023482,0.002970,0.295834
2109000,1.3415,0.039994,0.023482,0.002970,0.303795
2110000,1.3415,0.039994,0.023482,0.002970,0.288667
2111000,1.3415,0.039994,0.023482,0.002970,0.303654
2112000,1.3415,0.039994,0.023482,0.002970,0.287244
2113000,1.3415,0.039994,0.023482,0.002970,0.309835
2114000,1.3415,0.039994,0.023482,0.002970,0.295075
2115000,1.3415,0.039994,0.023482,0.002970,0.277799
2116000,1.3415,0.039994,0.023482,0.002970,0.284169
2117000,1.3415,0.039994,0.023482,0.002970,0.270304
2118000,1.3415,0.039994,0.023482,0.002970,0.261318
2119000,1.3415,0.039994,0.023482,0.002970,0.270850
