Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
3000000,0.2191,0.065854,0.000377,0.000034,0.054452
3001000,0.2191,0.065854,0.000377,0.000034,0.052853
3002000,0.2191,0.065854,0.000377,0.000034,0.048494
3003000,0.2191,0.065854,0.000377,0.000034,0.048617
3004000,0.2191,0.065854,0.000377,0.000034,0.046334
3005000,0.2191,0.065854,0.000377,0.000034,0.052818
3006000,0.2191,0.065854,0.000377,0.000034,0.048849
3007000,0.2191,0.065854,0.000377,0.000034,0.048412
3008000,0.2191,0.065854,0.000377,0.000034,0.051678
3009000,0.2191,0.065854,0.000377,0.000034,0.048936
3010000,0.2191,0.065854,0.000377,0.000034,0.055298
3011000,0.2191,0.065854,0.000377,0.000034,0.054444
3012000,0.2191,0.065854,0.000377,0.000034,0.054363
3013000,0.2191,0.065854,0.000377,0.000034,0.055392
3014000,0.2191,0.065854,0.000377,0.000034,0.056635
3015000,0.2191,0.065854,0.000377,0.000034,0.056680
3016000,0.2191,0.065854,0.000377,0.000034,0.056508
3017000,0.2191,0.065854,0.000377,0.000034,0.048313
3018000,0.2191,0.065854,0.000377,0.000034,0.054199
3019000,0.2191,0.065854,0.000377,0.000034,0.049317
3020000,0.2191,0.065854,0.000377,0.000034,0.050624
3021000,0.2191,0.065854,0.000377,0.000034,0.060656
3022000,0.2191,0.065854,0.000377,0.000034,0.050146
3023000,0.2191,0.065854,0.000377,0.000034,0.059173
3024000,0.2191,0.065854,0.000377,0.000034,0.044644
3025000,0.2191,0.065854,0.000377,0.000034,0.055318
3026000,0.2191,0.065854,0.000377,0.000034,0.055522
3027000,0.2191,0.065854,0.000377,0.000034,0.053380
3028000,0.2191,0.065854,0.000377,0.000034,0.051490
3029000,0.2191,0.065854,0.000377,0.000034,0.050456
3030000,0.2191,0.065854,0.000377,0.000034,0.051507
3031000,0.2191,0.065854,0.000377,0.000034,0.047923
3032000,0.2191,0.065854,0.000377,0.000034,0.062599
3033000,0.2191,0.065854,0.000377,0.000034,0.045706
3034000,0.2191,0.065854,0.000377,0.000034,0.057491
3035000,0.2191,0.065854,0.000377,0.000034,0.044796
3036000,0.2191,0.065854,0.000377,0.000034,0.065178
3037000,0.2191,0.065854,0.000377,0.000034,0.041883
3038000,0.2191,0.065854,0.000377,0.000034,0.059750
3039000,0.2191,0.065854,0.000377,0.000034,0.048021
3040000,0.2191,0.065854,0.000377,0.000034,0.052405
3041000,0.2191,0.065854,0.000377,0.000034,0.053546
3042000,0.2191,0.065854,0.000377,0.000034,0.048818
3043000,0.2191,0.065854,0.000377,0.000034,0.056968
