Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.334237
2000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.332779
3000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.332779
4000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.332779
5000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.332779
6000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,23.002366
7000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.762834
8000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.885211
9000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.234988
10000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.457461
11000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.042168
12000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.235755
13000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.056287
14000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.204592
15000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.337327
16000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.389759
17000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,17.523219
18000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.713680
19000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.660827
20000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.513650
21000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.252769
22000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.530144
23000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.825926
24000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.261692
25000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.213105
26000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.169887
27000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.037279
28000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.541651
29000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.741269
30000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.817679
31000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.880428
32000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.651216
33000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.940194
34000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.934799
35000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.297533
36000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.511240
37000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.798794
38000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.937117
39000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.780046
40000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.371145
41000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.625084
42000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,18.420622
43000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.794934
44000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.706458
45000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.025067
46000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.955433
47000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.052035
48000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.937157
49000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.888702
50000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.845726
51000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.237634
52000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.376335
53000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.203958
54000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.560171
55000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.336353
