Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,15.7031,5.502199,0.052647,0.006391,0.554081
2000,15.7031,5.502199,0.052647,0.006391,0.550220
3000,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
5000,15.7031,5.502199,0.052647,0.006391,0.550220
6000,15.7031,5.502199,0.052647,0.006391,1.976936
7000,15.7031,5.502199,0.052647,0.006391,17.143444
8000,15.7031,5.502199,0.052647,0.006391,11.528167
9000,15.7031,5.502199,0.052647,0.006391,11.018938
10000,15.7031,5.502199,0.052647,0.006391,10.682943
11000,15.7031,5.502199,0.052647,0.006391,10.594006
12000,15.7031,5.502199,0.052647,0.006391,10.514660
13000,15.7031,5.502199,0.052647,0.006391,10.413128
14000,15.7031,5.502199,0.052647,0.006391,10.441160
15000,15.7031,5.502199,0.052647,0.006391,10.496334
16000,15.7031,5.502199,0.052647,0.006391,10.513412
17000,15.7031,5.502199,0.052647,0.006391,10.666571
18000,15.7031,5.502199,0.052647,0.006391,10.850799
19000,15.7031,5.502199,0.052647,0.006391,10.258772
20000,15.7031,5.502199,0.052647,0.006391,9.629581
21000,15.7031,5.502199,0.052647,0.006391,9.578338
22000,15.7031,5.502199,0.052647,0.006391,9.541631
23000,15.7031,5.502199,0.052647,0.006391,9.637051
24000,15.7031,5.502199,0.052647,0.006391,9.663673
25000,15.7031,5.502199,0.052647,0.006391,9.666873
26000,15.7031,5.502199,0.052647,0.006391,9.553342
27000,15.7031,5.502199,0.052647,0.006391,9.730150
28000,15.7031,5.502199,0.052647,0.006391,9.856284
29000,15.7031,5.502199,0.052647,0.006391,9.977230
30000,15.7031,5.502199,0.052647,0.006391,9.884478
31000,15.7031,5.502199,0.052647,0.006391,10.054977
32000,15.7031,5.502199,0.052647,0.006391,10.205517
33000,15.7031,5.502199,0.052647,0.006391,10.201829
34000,15.7031,5.502199,0.052647,0.006391,10.358808
35000,15.7031,5.502199,0.052647,0.006391,10.365276
36000,15.7031,5.502199,0.052647,0.006391,10.474536
37000,15.7031,5.502199,0.052647,0.006391,10.508668
38000,15.7031,5.502199,0.052647,0.006391,10.707212
39000,15.7031,5.502199,0.052647,0.006391,10.800638
40000,15.7031,5.502199,0.052647,0.006391,10.489791
41000,15.7031,5.502199,0.052647,0.006391,10.489269
42000,15.7031,5.502199,0.052647,0.006391,10.298561
43000,15.7031,5.502199,0.052647,0.006391,9.694589
44000,15.7031,5.502199,0.052647,0.006391,9.625209
45000,15.7031,5.502199,0.052647,0.006391,9.514407
46000,15.7031,5.502199,0.052647,0.006391,9.751592
47000,15.7031,5.502199,0.052647,0.006391,9.797622
48000,15.7031,5.502199,0.052647,0.006391,9.702676
49000,15.7031,5.502199,0.052647,0.006391,9.654218
50000,15.7031,5.502199,0.052647,0.006391,9.722386
51000,15.7031,5.502199,0.052647,0.006391,9.863827
52000,15.7031,5.502199,0.052647,0.006391,9.953709
53000,15.7031,5.502199,0.052647,0.006391,9.865333
54000,15.7031,5.502199,0.052647,0.006391,9.940025
55000,15.7031,5.502199,0.052647,0.006391,9.792970
56000,15.7031,5.502199,0.052647,0.006391,9.733129
57000,15.7031,5.502199,0.052647,0.006391,9.667977
58000,15.7031,5.502199,0.052647,0.006391,9.621548
59000,15.7031,5.502199,0.052647,0.006391,9.547459
60000,15.7031,5.502199,0.052647,0.006391,9.676368
61000,15.7031,5.502199,0.052647,0.006391,9.613199
62000,15.7031,5.502199,0.052647,0.006391,9.692503
63000,15.7031,5.502199,0.052647,0.006391,9.561322
64000,15.7031,5.502199,0.052647,0.006391,9.521370
65000,15.7031,5.502199,0.052647,0.006391,9.527183
66000,15.7031,5.502199,0.052647,0.006391,9.592300
67000,15.7031,5.502199,0.052647,0.006391,9.488486
68000,15.7031,5.502199,0.052647,0.006391,9.700987
69000,15.7031,5.502199,0.052647,0.006391,9.834625
70000,15.7031,5.502199,0.052647,0.006391,9.790710
71000,15.7031,5.502199,0.052647,0.006391,9.765820
72000,15.7031,5.502199,0.052647,0.006391,9.815622
73000,15.7031,5.502199,0.052647,0.006391,9.957366
74000,15.7031,5.502199,0.052647,0.006391,9.693474
75000,15.7031,5.502199,0.052647,0.006391,9.655250
76000,15.7031,5.502199,0.052647,0.006391,9.562850
77000,15.7031,5.502199,0.052647,0.006391,9.603593
78000,15.7031,5.502199,0.052647,0.006391,9.622943
79000,15.7031,5.502199,0.052647,0.006391,9.641778
80000,15.7031,5.502199,0.052647,0.006391,9.579681
81000,15.7031,5.502199,0.052647,0.006391,9.734470
82000,15.7031,5.502199,0.052647,0.006391,9.758475
83000,15.7031,5.502199,0.052647,0.006391,9.720441
84000,15.7031,5.502199,0.052647,0.006391,9.598446
85000,15.7031,5.502199,0.052647,0.006391,9.730895
86000,15.7031,5.502199,0.052647,0.006391,9.638360
87000,15.7031,5.502199,0.052647,0.006391,9.725556
88000,15.7031,5.502199,0.052647,0.006391,9.690608
89000,15.7031,5.502199,0.052647,0.006391,9.688079
90000,15.7031,5.502199,0.052647,0.006391,9.629114
91000,15.7031,5.502199,0.052647,0.006391,9.581138
92000,15.7031,5.502199,0.052647,0.006391,9.581808
93000,15.7031,5.502199,0.052647,0.006391,9.640718
94000,15.7031,5.502199,0.052647,0.006391,9.573788
95000,15.7031,5.502199,0.052647,0.006391,9.640660
96000,15.7031,5.502199,0.052647,0.006391,9.590077
97000,15.7031,5.502199,0.052647,0.006391,9.596647
98000,15.7031,5.502199,0.052647,0.006391,9.634430
99000,15.7031,5.502199,0.052647,0.006391,9.706909
100000,15.7031,5.502199,0.052647,0.006391,9.645906
101000,15.7031,5.502199,0.052647,0.006391,9.676285
102000,15.7031,5.502199,0.052647,0.006391,9.652039
103000,15.7031,5.502199,0.052647,0.006391,9.747992
104000,15.7031,5.502199,0.052647,0.006391,9.732963
105000,15.7031,5.502199,0.052647,0.006391,9.650427
106000,15.7031,5.502199,0.052647,0.006391,9.666061
107000,15.7031,5.502199,0.052647,0.006391,9.599794
108000,15.7031,5.502199,0.052647,0.006391,9.644946
109000,15.7031,5.502199,0.052647,0.006391,9.620519
110000,15.7031,5.502199,0.052647,0.006391,9.684425
111000,15.7031,5.502199,0.052647,0.006391,9.524902
112000,15.7031,5.502199,0.052647,0.006391,9.515206
113000,15.7031,5.502199,0.052647,0.006391,9.557138
114000,15.7031,5.502199,0.052647,0.006391,9.631448
115000,15.7031,5.502199,0.052647,0.006391,9.702216
116000,15.7031,5.502199,0.052647,0.006391,9.583955
117000,15.7031,5.502199,0.052647,0.006391,9.763363
118000,15.7031,5.502199,0.052647,0.006391,9.664578
119000,15.7031,5.502199,0.052647,0.006391,9.564195
120000,15.7031,5.502199,0.052647,0.006391,9.601722
121000,15.7031,5.502199,0.052647,0.006391,9.661864
122000,15.7031,5.502199,0.052647,0.006391,9.542772
123000,15.7031,5.502199,0.052647,0.006391,9.527093
124000,15.7031,5.502199,0.052647,0.006391,9.680919
125000,15.7031,5.502199,0.052647,0.006391,9.669293
126000,15.7031,5.502199,0.052647,0.006391,9.678024
