Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.7779,0.306348,0.002724,0.000334,0.183809
2000,0.7779,0.306348,0.002724,0.000334,0.183809
3000,0.7779,0.306348,0.002724,0.000334,0.183809
4000,0.7779,0.306348,0.002724,0.000334,0.183809
5000,0.7779,0.306348,0.002724,0.000334,0.183809
6000,0.7779,0.306348,0.002724,0.000334,0.184640
7000,0.7779,0.306348,0.002724,0.000334,0.185041
8000,0.7779,0.306348,0.002724,0.000334,0.183960
9000,0.7779,0.306348,0.002724,0.000334,0.183950
10000,0.7779,0.306348,0.002724,0.000334,0.183879
11000,0.7779,0.306348,0.002724,0.000334,0.184166
12000,0.7779,0.306348,0.002724,0.000334,0.183970
13000,0.7779,0.306348,0.002724,0.000334,0.183926
14000,0.7779,0.306348,0.002724,0.000334,0.183903
15000,0.7779,0.306348,0.002724,0.000334,0.183832
16000,0.7779,0.306348,0.002724,0.000334,0.183879
17000,0.7779,0.306348,0.002724,0.000334,0.183856
18000,0.7779,0.306348,0.002724,0.000334,0.183832
19000,0.7779,0.306348,0.002724,0.000334,0.183832
20000,0.7779,0.306348,0.002724,0.000334,0.183832
21000,0.7779,0.306348,0.002724,0.000334,0.183832
