Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,15.7031,5.502199,0.052647,0.006391,0.550516
2000,15.7031,5.502199,0.052647,0.006391,0.550220
3000,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
5000,15.7031,5.502199,0.052647,0.006391,0.550220
6000,15.7031,5.502199,0.052647,0.006391,0.563321
7000,15.7031,5.502199,0.052647,0.006391,0.560668
8000,15.7031,5.502199,0.052647,0.006391,0.551044
9000,15.7031,5.502199,0.052647,0.006391,0.564427
10000,15.7031,5.502199,0.052647,0.006391,0.551180
11000,15.7031,5.502199,0.052647,0.006391,0.557377
12000,15.7031,5.502199,0.052647,0.006391,0.554159
13000,15.7031,5.502199,0.052647,0.006391,0.555105
