Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,15.7031,5.502199,0.052647,0.006391,9.166086
1001000,15.7031,5.502199,0.052647,0.006391,8.685997
1002000,15.7031,5.502199,0.052647,0.006391,8.575982
1003000,15.7031,5.502199,0.052647,0.006391,8.404213
1004000,15.7031,5.502199,0.052647,0.006391,8.096397
1005000,15.7031,5.502199,0.052647,0.006391,8.628843
1006000,15.7031,5.502199,0.052647,0.006391,8.511431
1007000,15.7031,5.502199,0.052647,0.006391,8.750133
1008000,15.7031,5.502199,0.052647,0.006391,8.182198
1009000,15.7031,5.502199,0.052647,0.006391,8.097109
1010000,15.7031,5.502199,0.052647,0.006391,8.071047
1011000,15.7031,5.502199,0.052647,0.006391,8.361790
1012000,15.7031,5.502199,0.052647,0.006391,7.958773
1013000,15.7031,5.502199,0.052647,0.006391,8.180220
1014000,15.7031,5.502199,0.052647,0.006391,8.227356
1015000,15.7031,5.502199,0.052647,0.006391,8.882388
1016000,15.7031,5.502199,0.052647,0.006391,8.582453
1017000,15.7031,5.502199,0.052647,0.006391,8.527827
1018000,15.7031,5.502199,0.052647,0.006391,8.076282
1019000,15.7031,5.502199,0.052647,0.006391,7.773291
1020000,15.7031,5.502199,0.052647,0.006391,7.587198
1021000,15.7031,5.502199,0.052647,0.006391,7.642512
1022000,15.7031,5.502199,0.052647,0.006391,8.042301
1023000,15.7031,5.502199,0.052647,0.006391,8.146495
1024000,15.7031,5.502199,0.052647,0.006391,7.558629
1025000,15.7031,5.502199,0.052647,0.006391,7.521067
1026000,15.7031,5.502199,0.052647,0.006391,7.405061
1027000,15.7031,5.502199,0.052647,0.006391,7.815374
1028000,15.7031,5.502199,0.052647,0.006391,7.917997
1029000,15.7031,5.502199,0.052647,0.006391,7.749801
1030000,15.7031,5.502199,0.052647,0.006391,7.754587
1031000,15.7031,5.502199,0.052647,0.006391,7.812122
1032000,15.7031,5.502199,0.052647,0.006391,8.146722
1033000,15.7031,5.502199,0.052647,0.006391,7.722622
1034000,15.7031,5.502199,0.052647,0.006391,7.596974
1035000,15.7031,5.502199,0.052647,0.006391,7.285800
1036000,15.7031,5.502199,0.052647,0.006391,7.665067
1037000,15.7031,5.502199,0.052647,0.006391,7.126038
1038000,15.7031,5.502199,0.052647,0.006391,7.072475
1039000,15.7031,5.502199,0.052647,0.006391,7.305406
1040000,15.7031,5.502199,0.052647,0.006391,7.126492
1041000,15.7031,5.502199,0.052647,0.006391,7.280091
1042000,15.7031,5.502199,0.052647,0.006391,6.708654
1043000,15.7031,5.502199,0.052647,0.006391,7.234798
1044000,15.7031,5.502199,0.052647,0.006391,7.297565
1045000,15.7031,5.502199,0.052647,0.006391,6.965250
1046000,15.7031,5.502199,0.052647,0.006391,7.022248
1047000,15.7031,5.502199,0.052647,0.006391,7.365527
1048000,15.7031,5.502199,0.052647,0.006391,7.175796
1049000,15.7031,5.502199,0.052647,0.006391,7.310650
1050000,15.7031,5.502199,0.052647,0.006391,6.983885
1051000,15.7031,5.502199,0.052647,0.006391,6.963219
1052000,15.7031,5.502199,0.052647,0.006391,6.887440
1053000,15.7031,5.502199,0.052647,0.006391,7.091527
1054000,15.7031,5.502199,0.052647,0.006391,7.095891
1055000,15.7031,5.502199,0.052647,0.006391,7.186503
1056000,15.7031,5.502199,0.052647,0.006391,6.907163
1057000,15.7031,5.502199,0.052647,0.006391,6.842284
1058000,15.7031,5.502199,0.052647,0.006391,6.979570
1059000,15.7031,5.502199,0.052647,0.006391,7.036788
1060000,15.7031,5.502199,0.052647,0.006391,6.881417
1061000,15.7031,5.502199,0.052647,0.006391,6.709534
1062000,15.7031,5.502199,0.052647,0.006391,6.472182
1063000,15.7031,5.502199,0.052647,0.006391,6.645195
1064000,15.7031,5.502199,0.052647,0.006391,6.622263
1065000,15.7031,5.502199,0.052647,0.006391,6.423381
1066000,15.7031,5.502199,0.052647,0.006391,6.428975
1067000,15.7031,5.502199,0.052647,0.006391,6.197433
1068000,15.7031,5.502199,0.052647,0.006391,6.485018
1069000,15.7031,5.502199,0.052647,0.006391,6.395345
1070000,15.7031,5.502199,0.052647,0.006391,6.311742
1071000,15.7031,5.502199,0.052647,0.006391,5.988588
1072000,15.7031,5.502199,0.052647,0.006391,6.172842
1073000,15.7031,5.502199,0.052647,0.006391,6.292072
1074000,15.7031,5.502199,0.052647,0.006391,5.989608
1075000,15.7031,5.502199,0.052647,0.006391,6.026367
1076000,15.7031,5.502199,0.052647,0.006391,5.749033
1077000,15.7031,5.502199,0.052647,0.006391,5.871610
1078000,15.7031,5.502199,0.052647,0.006391,5.898436
1079000,15.7031,5.502199,0.052647,0.006391,5.833991
1080000,15.7031,5.502199,0.052647,0.006391,5.591689
1081000,15.7031,5.502199,0.052647,0.006391,5.836167
1082000,15.7031,5.502199,0.052647,0.006391,5.666284
1083000,15.7031,5.502199,0.052647,0.006391,5.530429
1084000,15.7031,5.502199,0.052647,0.006391,5.585178
1085000,15.7031,5.502199,0.052647,0.006391,5.470992
1086000,15.7031,5.502199,0.052647,0.006391,5.366699
1087000,15.7031,5.502199,0.052647,0.006391,5.299410
1088000,15.7031,5.502199,0.052647,0.006391,5.424358
1089000,15.7031,5.502199,0.052647,0.006391,5.348540
1090000,15.7031,5.502199,0.052647,0.006391,5.153871
1091000,15.7031,5.502199,0.052647,0.006391,5.397636
1092000,15.7031,5.502199,0.052647,0.006391,5.328877
1093000,15.7031,5.502199,0.052647,0.006391,5.147998
1094000,15.7031,5.502199,0.052647,0.006391,5.119452
1095000,15.7031,5.502199,0.052647,0.006391,5.263951
1096000,15.7031,5.502199,0.052647,0.006391,5.116970
1097000,15.7031,5.502199,0.052647,0.006391,5.095883
1098000,15.7031,5.502199,0.052647,0.006391,5.130995
1099000,15.7031,5.502199,0.052647,0.006391,5.029952
1100000,15.7031,5.502199,0.052647,0.006391,5.151164
1101000,15.7031,5.502199,0.052647,0.006391,4.895262
1102000,15.7031,5.502199,0.052647,0.006391,4.939461
1103000,15.7031,5.502199,0.052647,0.006391,4.650170
1104000,15.7031,5.502199,0.052647,0.006391,4.736692
1105000,15.7031,5.502199,0.052647,0.006391,4.736743
1106000,15.7031,5.502199,0.052647,0.006391,4.603559
1107000,15.7031,5.502199,0.052647,0.006391,4.594376
1108000,15.7031,5.502199,0.052647,0.006391,4.491254
1109000,15.7031,5.502199,0.052647,0.006391,4.528529
1110000,15.7031,5.502199,0.052647,0.006391,4.297836
1111000,15.7031,5.502199,0.052647,0.006391,4.462625
1112000,15.7031,5.502199,0.052647,0.006391,4.281651
1113000,15.7031,5.502199,0.052647,0.006391,4.380205
1114000,15.7031,5.502199,0.052647,0.006391,4.268907
1115000,15.7031,5.502199,0.052647,0.006391,4.139568
1116000,15.7031,5.502199,0.052647,0.006391,4.095624
1117000,15.7031,5.502199,0.052647,0.006391,4.117083
1118000,15.7031,5.502199,0.052647,0.006391,3.951655
1119000,15.7031,5.502199,0.052647,0.006391,4.241299
