Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,22.061943
1001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,21.482218
1002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,21.679806
1003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,21.427925
1004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,20.863939
1005000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,22.344418
1006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,21.769193
1007000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,22.750533
1008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,21.470473
1009000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,21.716612
1010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,21.322466
1011000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,22.805290
1012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,21.804942
1013000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,22.166667
1014000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,22.900562
1015000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.146252
1016000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,24.127251
1017000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,23.814323
1018000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,22.919436
1019000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,22.732263
1020000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,22.117163
1021000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,22.936320
1022000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,23.500141
1023000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,23.877093
1024000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,22.913099
1025000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,23.113877
1026000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,22.940339
1027000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,24.590122
1028000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,24.342188
1029000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,24.454951
1030000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.274949
1031000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.953575
1032000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.783898
1033000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.433674
1034000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.214490
1035000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.277034
1036000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.985441
1037000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,24.620527
1038000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,24.183187
1039000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,24.002275
1040000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.301505
1041000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.400866
1042000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,24.024480
1043000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.871232
1044000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.076582
1045000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.000575
1046000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.043976
1047000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.610240
1048000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.094577
1049000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.659786
1050000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.193981
1051000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.382079
1052000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.744561
1053000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.458453
1054000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.764190
1055000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.905500
1056000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,26.661653
