Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,23.8212,1.028147,0.538949,0.086720,9.202625
2000,23.8212,1.028147,0.538949,0.086720,9.038673
3000,23.8212,1.028147,0.538949,0.086720,9.038673
4000,23.8212,1.028147,0.538949,0.086720,9.038673
5000,23.8212,1.028147,0.538949,0.086720,9.038673
6000,23.8212,1.028147,0.538949,0.086720,20.428310
7000,23.8212,1.028147,0.538949,0.086720,8.402064
8000,23.8212,1.028147,0.538949,0.086720,5.236517
9000,23.8212,1.028147,0.538949,0.086720,4.398926
10000,23.8212,1.028147,0.538949,0.086720,4.920833
11000,23.8212,1.028147,0.538949,0.086720,9.806888
12000,23.8212,1.028147,0.538949,0.086720,7.259846
13000,23.8212,1.028147,0.538949,0.086720,3.823887
14000,23.8212,1.028147,0.538949,0.086720,2.679951
15000,23.8212,1.028147,0.538949,0.086720,2.313628
16000,23.8212,1.028147,0.538949,0.086720,1.767419
17000,23.8212,1.028147,0.538949,0.086720,1.741435
18000,23.8212,1.028147,0.538949,0.086720,1.953666
19000,23.8212,1.028147,0.538949,0.086720,1.769123
20000,23.8212,1.028147,0.538949,0.086720,1.651807
21000,23.8212,1.028147,0.538949,0.086720,1.755995
22000,23.8212,1.028147,0.538949,0.086720,1.939998
23000,23.8212,1.028147,0.538949,0.086720,2.059897
24000,23.8212,1.028147,0.538949,0.086720,2.062138
25000,23.8212,1.028147,0.538949,0.086720,2.262099
26000,23.8212,1.028147,0.538949,0.086720,2.310880
27000,23.8212,1.028147,0.538949,0.086720,2.670304
28000,23.8212,1.028147,0.538949,0.086720,2.882140
29000,23.8212,1.028147,0.538949,0.086720,3.080567
30000,23.8212,1.028147,0.538949,0.086720,3.528664
31000,23.8212,1.028147,0.538949,0.086720,3.848095
32000,23.8212,1.028147,0.538949,0.086720,3.927872
33000,23.8212,1.028147,0.538949,0.086720,3.478606
34000,23.8212,1.028147,0.538949,0.086720,3.061141
35000,23.8212,1.028147,0.538949,0.086720,2.702404
36000,23.8212,1.028147,0.538949,0.086720,2.961199
37000,23.8212,1.028147,0.538949,0.086720,2.693060
38000,23.8212,1.028147,0.538949,0.086720,2.925701
39000,23.8212,1.028147,0.538949,0.086720,2.729924
40000,23.8212,1.028147,0.538949,0.086720,2.895722
41000,23.8212,1.028147,0.538949,0.086720,2.828979
42000,23.8212,1.028147,0.538949,0.086720,3.043134
43000,23.8212,1.028147,0.538949,0.086720,3.096467
44000,23.8212,1.028147,0.538949,0.086720,3.359779
45000,23.8212,1.028147,0.538949,0.086720,4.272777
46000,23.8212,1.028147,0.538949,0.086720,3.804388
47000,23.8212,1.028147,0.538949,0.086720,4.051265
48000,23.8212,1.028147,0.538949,0.086720,3.302490
49000,23.8212,1.028147,0.538949,0.086720,3.858568
50000,23.8212,1.028147,0.538949,0.086720,3.875196
51000,23.8212,1.028147,0.538949,0.086720,5.438997
52000,23.8212,1.028147,0.538949,0.086720,5.947249
53000,23.8212,1.028147,0.538949,0.086720,4.927416
54000,23.8212,1.028147,0.538949,0.086720,3.688577
55000,23.8212,1.028147,0.538949,0.086720,3.062228
56000,23.8212,1.028147,0.538949,0.086720,2.807184
57000,23.8212,1.028147,0.538949,0.086720,2.721497
58000,23.8212,1.028147,0.538949,0.086720,2.709780
59000,23.8212,1.028147,0.538949,0.086720,2.934468
60000,23.8212,1.028147,0.538949,0.086720,2.747803
61000,23.8212,1.028147,0.538949,0.086720,2.717801
62000,23.8212,1.028147,0.538949,0.086720,2.949950
63000,23.8212,1.028147,0.538949,0.086720,3.213732
64000,23.8212,1.028147,0.538949,0.086720,2.688954
65000,23.8212,1.028147,0.538949,0.086720,2.707961
66000,23.8212,1.028147,0.538949,0.086720,2.777187
67000,23.8212,1.028147,0.538949,0.086720,2.602149
68000,23.8212,1.028147,0.538949,0.086720,2.479826
69000,23.8212,1.028147,0.538949,0.086720,2.283197
70000,23.8212,1.028147,0.538949,0.086720,2.150019
71000,23.8212,1.028147,0.538949,0.086720,2.359600
72000,23.8212,1.028147,0.538949,0.086720,2.143317
73000,23.8212,1.028147,0.538949,0.086720,2.159315
74000,23.8212,1.028147,0.538949,0.086720,2.107194
75000,23.8212,1.028147,0.538949,0.086720,2.228556
76000,23.8212,1.028147,0.538949,0.086720,2.401872
77000,23.8212,1.028147,0.538949,0.086720,2.289545
78000,23.8212,1.028147,0.538949,0.086720,2.375029
79000,23.8212,1.028147,0.538949,0.086720,2.552212
80000,23.8212,1.028147,0.538949,0.086720,2.537086
81000,23.8212,1.028147,0.538949,0.086720,2.551805
82000,23.8212,1.028147,0.538949,0.086720,2.668984
