Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.0324,0.013523,0.002678,0.000431,0.000705
2000,0.0324,0.013523,0.002678,0.000431,0.000000
3000,0.0324,0.013523,0.002678,0.000431,0.000000
4000,0.0324,0.013523,0.002678,0.000431,0.000000
5000,0.0324,0.013523,0.002678,0.000431,0.000000
6000,0.0324,0.013523,0.002678,0.000431,0.390311
7000,0.0324,0.013523,0.002678,0.000431,0.598806
8000,0.0324,0.013523,0.002678,0.000431,0.965259
9000,0.0324,0.013523,0.002678,0.000431,0.627836
10000,0.0324,0.013523,0.002678,0.000431,0.765108
11000,0.0324,0.013523,0.002678,0.000431,0.366570
12000,0.0324,0.013523,0.002678,0.000431,0.269727
13000,0.0324,0.013523,0.002678,0.000431,0.776156
14000,0.0324,0.013523,0.002678,0.000431,0.944692
15000,0.0324,0.013523,0.002678,0.000431,1.048234
16000,0.0324,0.013523,0.002678,0.000431,0.923536
17000,0.0324,0.013523,0.002678,0.000431,1.053053
18000,0.0324,0.013523,0.002678,0.000431,0.954916
19000,0.0324,0.013523,0.002678,0.000431,1.008979
20000,0.0324,0.013523,0.002678,0.000431,0.704229
21000,0.0324,0.013523,0.002678,0.000431,0.547681
22000,0.0324,0.013523,0.002678,0.000431,0.568601
23000,0.0324,0.013523,0.002678,0.000431,0.511953
24000,0.0324,0.013523,0.002678,0.000431,0.567779
25000,0.0324,0.013523,0.002678,0.000431,0.503256
26000,0.0324,0.013523,0.002678,0.000431,0.429566
27000,0.0324,0.013523,0.002678,0.000431,0.324730
28000,0.0324,0.013523,0.002678,0.000431,0.268552
29000,0.0324,0.013523,0.002678,0.000431,0.275133
30000,0.0324,0.013523,0.002678,0.000431,0.258680
31000,0.0324,0.013523,0.002678,0.000431,0.248807
32000,0.0324,0.013523,0.002678,0.000431,0.254096
33000,0.0324,0.013523,0.002678,0.000431,0.180171
34000,0.0324,0.013523,0.002678,0.000431,0.158075
35000,0.0324,0.013523,0.002678,0.000431,0.136333
36000,0.0324,0.013523,0.002678,0.000431,0.130574
37000,0.0324,0.013523,0.002678,0.000431,0.121877
38000,0.0324,0.013523,0.002678,0.000431,0.114825
39000,0.0324,0.013523,0.002678,0.000431,0.106833
