Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
13000000,0.2191,0.065854,0.000377,0.000034,0.335805
13000100,0.2191,0.065854,0.000377,0.000034,0.274175
13000200,0.2191,0.065854,0.000377,0.000034,0.242662
13000300,0.2191,0.065854,0.000377,0.000034,0.224820
13000400,0.2191,0.065854,0.000377,0.000034,0.223589
13000500,0.2191,0.065854,0.000377,0.000034,0.168314
13000600,0.2191,0.065854,0.000377,0.000034,0.301945
13000700,0.2191,0.065854,0.000377,0.000034,0.309973
13000800,0.2191,0.065854,0.000377,0.000034,0.388384
13000900,0.2191,0.065854,0.000377,0.000034,0.388636
13001000,0.2191,0.065854,0.000377,0.000034,0.330595
13001100,0.2191,0.065854,0.000377,0.000034,0.324919
13001200,0.2191,0.065854,0.000377,0.000034,0.319159
13001300,0.2191,0.065854,0.000377,0.000034,0.341388
13001400,0.2191,0.065854,0.000377,0.000034,0.349337
13001500,0.2191,0.065854,0.000377,0.000034,0.360284
13001600,0.2191,0.065854,0.000377,0.000034,0.353210
13001700,0.2191,0.065854,0.000377,0.000034,0.323628
13001800,0.2191,0.065854,0.000377,0.000034,0.345330
13001900,0.2191,0.065854,0.000377,0.000034,0.348623
13002000,0.2191,0.065854,0.000377,0.000034,0.400745
13002100,0.2191,0.065854,0.000377,0.000034,0.476785
13002200,0.2191,0.065854,0.000377,0.000034,0.494692
13002300,0.2191,0.065854,0.000377,0.000034,0.445999
13002400,0.2191,0.065854,0.000377,0.000034,0.472789
13002500,0.2191,0.065854,0.000377,0.000034,0.409535
13002600,0.2191,0.065854,0.000377,0.000034,0.471614
13002700,0.2191,0.065854,0.000377,0.000034,0.342889
13002800,0.2191,0.065854,0.000377,0.000034,0.378752
13002900,0.2191,0.065854,0.000377,0.000034,0.356951
13003000,0.2191,0.065854,0.000377,0.000034,0.347537
13003100,0.2191,0.065854,0.000377,0.000034,0.329481
13003200,0.2191,0.065854,0.000377,0.000034,0.346298
13003300,0.2191,0.065854,0.000377,0.000034,0.302001
13003400,0.2191,0.065854,0.000377,0.000034,0.324826
13003500,0.2191,0.065854,0.000377,0.000034,0.482630
13003600,0.2191,0.065854,0.000377,0.000034,0.421619
13003700,0.2191,0.065854,0.000377,0.000034,0.467263
13003800,0.2191,0.065854,0.000377,0.000034,0.375921
13003900,0.2191,0.065854,0.000377,0.000034,0.396506
13004000,0.2191,0.065854,0.000377,0.000034,0.386216
13004100,0.2191,0.065854,0.000377,0.000034,0.375736
13004200,0.2191,0.065854,0.000377,0.000034,0.386047
13004300,0.2191,0.065854,0.000377,0.000034,0.351894
13004400,0.2191,0.065854,0.000377,0.000034,0.303010
13004500,0.2191,0.065854,0.000377,0.000034,0.315451
13004600,0.2191,0.065854,0.000377,0.000034,0.345843
13004700,0.2191,0.065854,0.000377,0.000034,0.317204
13004800,0.2191,0.065854,0.000377,0.000034,0.404191
