Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
5000000,0.7779,0.306348,0.002724,0.000334,0.196018
5000100,0.7779,0.306348,0.002724,0.000334,0.196018
5000200,0.7779,0.306348,0.002724,0.000334,0.203062
5000300,0.7779,0.306348,0.002724,0.000334,0.194375
5000400,0.7779,0.306348,0.002724,0.000334,0.199540
5000500,0.7779,0.306348,0.002724,0.000334,0.198366
5000600,0.7779,0.306348,0.002724,0.000334,0.198366
5000700,0.7779,0.306348,0.002724,0.000334,0.192261
5000800,0.7779,0.306348,0.002724,0.000334,0.198601
5000900,0.7779,0.306348,0.002724,0.000334,0.196018
5001000,0.7779,0.306348,0.002724,0.000334,0.203027
5001100,0.7779,0.306348,0.002724,0.000334,0.200949
5001200,0.7779,0.306348,0.002724,0.000334,0.202123
5001300,0.7779,0.306348,0.002724,0.000334,0.196723
5001400,0.7779,0.306348,0.002724,0.000334,0.198331
5001500,0.7779,0.306348,0.002724,0.000334,0.203532
5001600,0.7779,0.306348,0.002724,0.000334,0.209167
5001700,0.7779,0.306348,0.002724,0.000334,0.203767
5001800,0.7779,0.306348,0.002724,0.000334,0.202123
5001900,0.7779,0.306348,0.002724,0.000334,0.194809
5002000,0.7779,0.306348,0.002724,0.000334,0.193201
5002100,0.7779,0.306348,0.002724,0.000334,0.192731
5002200,0.7779,0.306348,0.002724,0.000334,0.191557
5002300,0.7779,0.306348,0.002724,0.000334,0.191087
5002400,0.7779,0.306348,0.002724,0.000334,0.198366
5002500,0.7779,0.306348,0.002724,0.000334,0.193201
5002600,0.7779,0.306348,0.002724,0.000334,0.203027
5002700,0.7779,0.306348,0.002724,0.000334,0.207758
5002800,0.7779,0.306348,0.002724,0.000334,0.199775
5002900,0.7779,0.306348,0.002724,0.000334,0.197192
5003000,0.7779,0.306348,0.002724,0.000334,0.209167
5003100,0.7779,0.306348,0.002724,0.000334,0.199071
5003200,0.7779,0.306348,0.002724,0.000334,0.196217
5003300,0.7779,0.306348,0.002724,0.000334,0.194375
5003400,0.7779,0.306348,0.002724,0.000334,0.200949
5003500,0.7779,0.306348,0.002724,0.000334,0.195079
5003600,0.7779,0.306348,0.002724,0.000334,0.197897
5003700,0.7779,0.306348,0.002724,0.000334,0.205880
5003800,0.7779,0.306348,0.002724,0.000334,0.193670
5003900,0.7779,0.306348,0.002724,0.000334,0.192261
5004000,0.7779,0.306348,0.002724,0.000334,0.201148
5004100,0.7779,0.306348,0.002724,0.000334,0.198601
5004200,0.7779,0.306348,0.002724,0.000334,0.204940
5004300,0.7779,0.306348,0.002724,0.000334,0.221341
5004400,0.7779,0.306348,0.002724,0.000334,0.223255
5004500,0.7779,0.306348,0.002724,0.000334,0.212454
5004600,0.7779,0.306348,0.002724,0.000334,0.196488
5004700,0.7779,0.306348,0.002724,0.000334,0.199305
5004800,0.7779,0.306348,0.002724,0.000334,0.199071
5004900,0.7779,0.306348,0.002724,0.000334,0.194375
5005000,0.7779,0.306348,0.002724,0.000334,0.200010
5005100,0.7779,0.306348,0.002724,0.000334,0.199540
5005200,0.7779,0.306348,0.002724,0.000334,0.197192
5005300,0.7779,0.306348,0.002724,0.000334,0.195947
5005400,0.7779,0.306348,0.002724,0.000334,0.193201
5005500,0.7779,0.306348,0.002724,0.000334,0.199270
5005600,0.7779,0.306348,0.002724,0.000334,0.207288
5005700,0.7779,0.306348,0.002724,0.000334,0.204471
5005800,0.7779,0.306348,0.002724,0.000334,0.198601
5005900,0.7779,0.306348,0.002724,0.000334,0.197192
5006000,0.7779,0.306348,0.002724,0.000334,0.200949
5006100,0.7779,0.306348,0.002724,0.000334,0.197192
5006200,0.7779,0.306348,0.002724,0.000334,0.194375
5006300,0.7779,0.306348,0.002724,0.000334,0.194375
5006400,0.7779,0.306348,0.002724,0.000334,0.193670
5006500,0.7779,0.306348,0.002724,0.000334,0.193435
5006600,0.7779,0.306348,0.002724,0.000334,0.192496
5006700,0.7779,0.306348,0.002724,0.000334,0.196488
5006800,0.7779,0.306348,0.002724,0.000334,0.195079
5006900,0.7779,0.306348,0.002724,0.000334,0.195093
5007000,0.7779,0.306348,0.002724,0.000334,0.202557
5007100,0.7779,0.306348,0.002724,0.000334,0.219263
5007200,0.7779,0.306348,0.002724,0.000334,0.216915
5007300,0.7779,0.306348,0.002724,0.000334,0.199775
5007400,0.7779,0.306348,0.002724,0.000334,0.196488
5007500,0.7779,0.306348,0.002724,0.000334,0.197192
5007600,0.7779,0.306348,0.002724,0.000334,0.201653
5007700,0.7779,0.306348,0.002724,0.000334,0.199071
5007800,0.7779,0.306348,0.002724,0.000334,0.201419
5007900,0.7779,0.306348,0.002724,0.000334,0.197897
5008000,0.7779,0.306348,0.002724,0.000334,0.193670
5008100,0.7779,0.306348,0.002724,0.000334,0.195314
5008200,0.7779,0.306348,0.002724,0.000334,0.194844
5008300,0.7779,0.306348,0.002724,0.000334,0.191557
5008400,0.7779,0.306348,0.002724,0.000334,0.194844
5008500,0.7779,0.306348,0.002724,0.000334,0.198836
5008600,0.7779,0.306348,0.002724,0.000334,0.200714
5008700,0.7779,0.306348,0.002724,0.000334,0.202593
5008800,0.7779,0.306348,0.002724,0.000334,0.197626
5008900,0.7779,0.306348,0.002724,0.000334,0.195549
5009000,0.7779,0.306348,0.002724,0.000334,0.196922
5009100,0.7779,0.306348,0.002724,0.000334,0.202123
5009200,0.7779,0.306348,0.002724,0.000334,0.194375
5009300,0.7779,0.306348,0.002724,0.000334,0.193670
5009400,0.7779,0.306348,0.002724,0.000334,0.193435
5009500,0.7779,0.306348,0.002724,0.000334,0.193201
5009600,0.7779,0.306348,0.002724,0.000334,0.193820
5009700,0.7779,0.306348,0.002724,0.000334,0.195783
5009800,0.7779,0.306348,0.002724,0.000334,0.192261
5009900,0.7779,0.306348,0.002724,0.000334,0.198366
5010000,0.7779,0.306348,0.002724,0.000334,0.201419
5010100,0.7779,0.306348,0.002724,0.000334,0.194844
5010200,0.7779,0.306348,0.002724,0.000334,0.201653
5010300,0.7779,0.306348,0.002724,0.000334,0.204236
5010400,0.7779,0.306348,0.002724,0.000334,0.195549
5010500,0.7779,0.306348,0.002724,0.000334,0.197157
5010600,0.7779,0.306348,0.002724,0.000334,0.202123
5010700,0.7779,0.306348,0.002724,0.000334,0.204001
5010800,0.7779,0.306348,0.002724,0.000334,0.198131
5010900,0.7779,0.306348,0.002724,0.000334,0.195278
5011000,0.7779,0.306348,0.002724,0.000334,0.192226
5011100,0.7779,0.306348,0.002724,0.000334,0.190618
5011200,0.7779,0.306348,0.002724,0.000334,0.190853
5011300,0.7779,0.306348,0.002724,0.000334,0.191322
5011400,0.7779,0.306348,0.002724,0.000334,0.208228
5011500,0.7779,0.306348,0.002724,0.000334,0.201888
5011600,0.7779,0.306348,0.002724,0.000334,0.225368
5011700,0.7779,0.306348,0.002724,0.000334,0.213628
5011800,0.7779,0.306348,0.002724,0.000334,0.198601
5011900,0.7779,0.306348,0.002724,0.000334,0.200714
5012000,0.7779,0.306348,0.002724,0.000334,0.213863
5012100,0.7779,0.306348,0.002724,0.000334,0.204001
5012200,0.7779,0.306348,0.002724,0.000334,0.200949
5012300,0.7779,0.306348,0.002724,0.000334,0.202087
5012400,0.7779,0.306348,0.002724,0.000334,0.196957
5012500,0.7779,0.306348,0.002724,0.000334,0.200949
5012600,0.7779,0.306348,0.002724,0.000334,0.198131
5012700,0.7779,0.306348,0.002724,0.000334,0.192731
5012800,0.7779,0.306348,0.002724,0.000334,0.195549
5012900,0.7779,0.306348,0.002724,0.000334,0.196488
5013000,0.7779,0.306348,0.002724,0.000334,0.198729
5013100,0.7779,0.306348,0.002724,0.000334,0.196253
5013200,0.7779,0.306348,0.002724,0.000334,0.195549
5013300,0.7779,0.306348,0.002724,0.000334,0.195079
5013400,0.7779,0.306348,0.002724,0.000334,0.196402
5013500,0.7779,0.306348,0.002724,0.000334,0.200010
5013600,0.7779,0.306348,0.002724,0.000334,0.193905
5013700,0.7779,0.306348,0.002724,0.000334,0.194140
5013800,0.7779,0.306348,0.002724,0.000334,0.194375
5013900,0.7779,0.306348,0.002724,0.000334,0.200479
5014000,0.7779,0.306348,0.002724,0.000334,0.195314
5014100,0.7779,0.306348,0.002724,0.000334,0.192731
5014200,0.7779,0.306348,0.002724,0.000334,0.209167
5014300,0.7779,0.306348,0.002724,0.000334,0.214802
5014400,0.7779,0.306348,0.002724,0.000334,0.211280
5014500,0.7779,0.306348,0.002724,0.000334,0.200245
5014600,0.7779,0.306348,0.002724,0.000334,0.205410
5014700,0.7779,0.306348,0.002724,0.000334,0.201803
5014800,0.7779,0.306348,0.002724,0.000334,0.197192
5014900,0.7779,0.306348,0.002724,0.000334,0.198131
5015000,0.7779,0.306348,0.002724,0.000334,0.194894
5015100,0.7779,0.306348,0.002724,0.000334,0.200358
5015200,0.7779,0.306348,0.002724,0.000334,0.196723
5015300,0.7779,0.306348,0.002724,0.000334,0.192261
5015400,0.7779,0.306348,0.002724,0.000334,0.190853
5015500,0.7779,0.306348,0.002724,0.000334,0.191557
5015600,0.7779,0.306348,0.002724,0.000334,0.194609
5015700,0.7779,0.306348,0.002724,0.000334,0.203767
5015800,0.7779,0.306348,0.002724,0.000334,0.195314
5015900,0.7779,0.306348,0.002724,0.000334,0.198601
5016000,0.7779,0.306348,0.002724,0.000334,0.203297
5016100,0.7779,0.306348,0.002724,0.000334,0.199775
5016200,0.7779,0.306348,0.002724,0.000334,0.195983
5016300,0.7779,0.306348,0.002724,0.000334,0.198366
5016400,0.7779,0.306348,0.002724,0.000334,0.196723
5016500,0.7779,0.306348,0.002724,0.000334,0.194375
