Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
14000000,1.0570,0.187474,0.005507,0.000525,0.042469
14000100,1.0570,0.187474,0.005507,0.000525,0.530163
14000200,1.0570,0.187474,0.005507,0.000525,0.929202
14000300,1.0570,0.187474,0.005507,0.000525,0.974541
14000400,1.0570,0.187474,0.005507,0.000525,0.237935
14000500,1.0570,0.187474,0.005507,0.000525,0.139087
14000600,1.0570,0.187474,0.005507,0.000525,0.150426
14000700,1.0570,0.187474,0.005507,0.000525,0.129861
14000800,1.0570,0.187474,0.005507,0.000525,0.191550
14000900,1.0570,0.187474,0.005507,0.000525,0.069845
14001000,1.0570,0.187474,0.005507,0.000525,0.143014
14001100,1.0570,0.187474,0.005507,0.000525,0.198901
14001200,1.0570,0.187474,0.005507,0.000525,0.104837
14001300,1.0570,0.187474,0.005507,0.000525,0.113053
14001400,1.0570,0.187474,0.005507,0.000525,0.152170
14001500,1.0570,0.187474,0.005507,0.000525,0.337874
14001600,1.0570,0.187474,0.005507,0.000525,0.239004
14001700,1.0570,0.187474,0.005507,0.000525,0.547326
14001800,1.0570,0.187474,0.005507,0.000525,0.155846
14001900,1.0570,0.187474,0.005507,0.000525,0.171146
14002000,1.0570,0.187474,0.005507,0.000525,0.147684
14002100,1.0570,0.187474,0.005507,0.000525,0.102404
14002200,1.0570,0.187474,0.005507,0.000525,0.101227
14002300,1.0570,0.187474,0.005507,0.000525,0.104999
14002400,1.0570,0.187474,0.005507,0.000525,0.065937
14002500,1.0570,0.187474,0.005507,0.000525,0.301458
14002600,1.0570,0.187474,0.005507,0.000525,0.255513
14002700,1.0570,0.187474,0.005507,0.000525,0.267936
14002800,1.0570,0.187474,0.005507,0.000525,0.088754
14002900,1.0570,0.187474,0.005507,0.000525,0.083879
14003000,1.0570,0.187474,0.005507,0.000525,0.093650
14003100,1.0570,0.187474,0.005507,0.000525,0.066980
14003200,1.0570,0.187474,0.005507,0.000525,0.058069
14003300,1.0570,0.187474,0.005507,0.000525,0.089740
14003400,1.0570,0.187474,0.005507,0.000525,0.063101
14003500,1.0570,0.187474,0.005507,0.000525,0.068285
14003600,1.0570,0.187474,0.005507,0.000525,0.075025
14003700,1.0570,0.187474,0.005507,0.000525,0.081646
14003800,1.0570,0.187474,0.005507,0.000525,0.054861
14003900,1.0570,0.187474,0.005507,0.000525,0.356066
14004000,1.0570,0.187474,0.005507,0.000525,1.084310
14004100,1.0570,0.187474,0.005507,0.000525,0.725544
14004200,1.0570,0.187474,0.005507,0.000525,0.451034
14004300,1.0570,0.187474,0.005507,0.000525,0.249967
14004400,1.0570,0.187474,0.005507,0.000525,0.197956
14004500,1.0570,0.187474,0.005507,0.000525,0.218292
14004600,1.0570,0.187474,0.005507,0.000525,0.280060
14004700,1.0570,0.187474,0.005507,0.000525,0.272244
14004800,1.0570,0.187474,0.005507,0.000525,0.238356
14004900,1.0570,0.187474,0.005507,0.000525,0.233628
14005000,1.0570,0.187474,0.005507,0.000525,0.149200
14005100,1.0570,0.187474,0.005507,0.000525,0.177550
14005200,1.0570,0.187474,0.005507,0.000525,0.173523
14005300,1.0570,0.187474,0.005507,0.000525,0.263050
14005400,1.0570,0.187474,0.005507,0.000525,0.407399
14005500,1.0570,0.187474,0.005507,0.000525,0.566992
14005600,1.0570,0.187474,0.005507,0.000525,0.255003
14005700,1.0570,0.187474,0.005507,0.000525,0.168424
14005800,1.0570,0.187474,0.005507,0.000525,0.256629
14005900,1.0570,0.187474,0.005507,0.000525,0.200962
14006000,1.0570,0.187474,0.005507,0.000525,0.213259
14006100,1.0570,0.187474,0.005507,0.000525,0.228646
14006200,1.0570,0.187474,0.005507,0.000525,0.214031
14006300,1.0570,0.187474,0.005507,0.000525,0.189918
14006400,1.0570,0.187474,0.005507,0.000525,0.101198
14006500,1.0570,0.187474,0.005507,0.000525,0.219327
14006600,1.0570,0.187474,0.005507,0.000525,0.340788
14006700,1.0570,0.187474,0.005507,0.000525,0.684582
14006800,1.0570,0.187474,0.005507,0.000525,0.307889
14006900,1.0570,0.187474,0.005507,0.000525,0.085346
14007000,1.0570,0.187474,0.005507,0.000525,0.188207
14007100,1.0570,0.187474,0.005507,0.000525,0.217397
14007200,1.0570,0.187474,0.005507,0.000525,0.116955
14007300,1.0570,0.187474,0.005507,0.000525,0.179253
14007400,1.0570,0.187474,0.005507,0.000525,0.135483
14007500,1.0570,0.187474,0.005507,0.000525,0.151382
14007600,1.0570,0.187474,0.005507,0.000525,0.116675
14007700,1.0570,0.187474,0.005507,0.000525,0.159742
14007800,1.0570,0.187474,0.005507,0.000525,0.470107
