Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
11000000,0.0324,0.013523,0.002678,0.000431,0.595868
11000100,0.0324,0.013523,0.002678,0.000431,0.759232
11000200,0.0324,0.013523,0.002678,0.000431,0.738077
11000300,0.0324,0.013523,0.002678,0.000431,0.787439
11000400,0.0324,0.013523,0.002678,0.000431,0.457185
11000500,0.0324,0.013523,0.002678,0.000431,0.593517
11000600,0.0324,0.013523,0.002678,0.000431,0.609971
11000700,0.0324,0.013523,0.002678,0.000431,0.758057
11000800,0.0324,0.013523,0.002678,0.000431,1.469102
11000900,0.0324,0.013523,0.002678,0.000431,1.376255
11001000,0.0324,0.013523,0.002678,0.000431,1.198787
11001100,0.0324,0.013523,0.002678,0.000431,1.167055
11001200,0.0324,0.013523,0.002678,0.000431,1.053053
11001300,0.0324,0.013523,0.002678,0.000431,0.870884
11001400,0.0324,0.013523,0.002678,0.000431,0.920246
11001500,0.0324,0.013523,0.002678,0.000431,0.934349
11001600,0.0324,0.013523,0.002678,0.000431,0.828574
11001700,0.0324,0.013523,0.002678,0.000431,0.854430
11001800,0.0324,0.013523,0.002678,0.000431,1.147075
11001900,0.0324,0.013523,0.002678,0.000431,1.454999
11002000,0.0324,0.013523,0.002678,0.000431,1.576053
11002100,0.0324,0.013523,0.002678,0.000431,1.672426
11002200,0.0324,0.013523,0.002678,0.000431,1.207014
11002300,0.0324,0.013523,0.002678,0.000431,0.916720
11002400,0.0324,0.013523,0.002678,0.000431,0.854430
11002500,0.0324,0.013523,0.002678,0.000431,0.700468
11002600,0.0324,0.013523,0.002678,0.000431,0.727499
11002700,0.0324,0.013523,0.002678,0.000431,0.856780
11002800,0.0324,0.013523,0.002678,0.000431,0.785088
11002900,0.0324,0.013523,0.002678,0.000431,0.788614
11003000,0.0324,0.013523,0.002678,0.000431,0.747479
11003100,0.0324,0.013523,0.002678,0.000431,1.055403
11003200,0.0324,0.013523,0.002678,0.000431,1.610136
11003300,0.0324,0.013523,0.002678,0.000431,1.567826
11003400,0.0324,0.013523,0.002678,0.000431,1.516114
11003500,0.0324,0.013523,0.002678,0.000431,1.055403
11003600,0.0324,0.013523,0.002678,0.000431,0.877936
11003700,0.0324,0.013523,0.002678,0.000431,0.927297
11003800,0.0324,0.013523,0.002678,0.000431,0.856780
11003900,0.0324,0.013523,0.002678,0.000431,0.788614
11004000,0.0324,0.013523,0.002678,0.000431,0.722798
11004100,0.0324,0.013523,0.002678,0.000431,0.892039
11004200,0.0324,0.013523,0.002678,0.000431,0.729850
11004300,0.0324,0.013523,0.002678,0.000431,0.921421
11004400,0.0324,0.013523,0.002678,0.000431,1.104765
11004500,0.0324,0.013523,0.002678,0.000431,1.190560
11004600,0.0324,0.013523,0.002678,0.000431,1.184684
11004700,0.0324,0.013523,0.002678,0.000431,1.261077
11004800,0.0324,0.013523,0.002678,0.000431,0.896740
11004900,0.0324,0.013523,0.002678,0.000431,0.833275
11005000,0.0324,0.013523,0.002678,0.000431,0.702819
11005100,0.0324,0.013523,0.002678,0.000431,0.742778
11005200,0.0324,0.013523,0.002678,0.000431,0.659333
11005300,0.0324,0.013523,0.002678,0.000431,0.807419
11005400,0.0324,0.013523,0.002678,0.000431,0.870884
11005500,0.0324,0.013523,0.002678,0.000431,0.959030
11005600,0.0324,0.013523,0.002678,0.000431,1.332770
11005700,0.0324,0.013523,0.002678,0.000431,1.399761
11005800,0.0324,0.013523,0.002678,0.000431,1.175282
11005900,0.0324,0.013523,0.002678,0.000431,1.189385
11006000,0.0324,0.013523,0.002678,0.000431,1.009567
11006100,0.0324,0.013523,0.002678,0.000431,0.919070
11006200,0.0324,0.013523,0.002678,0.000431,0.635827
11006300,0.0324,0.013523,0.002678,0.000431,0.761583
11006400,0.0324,0.013523,0.002678,0.000431,0.674612
11006500,0.0324,0.013523,0.002678,0.000431,0.685189
11006600,0.0324,0.013523,0.002678,0.000431,0.708695
11006700,0.0324,0.013523,0.002678,0.000431,0.678138
11006800,0.0324,0.013523,0.002678,0.000431,0.640529
11006900,0.0324,0.013523,0.002678,0.000431,1.130621
11007000,0.0324,0.013523,0.002678,0.000431,1.235221
11007100,0.0324,0.013523,0.002678,0.000431,1.155302
11007200,0.0324,0.013523,0.002678,0.000431,1.348048
11007300,0.0324,0.013523,0.002678,0.000431,0.853255
11007400,0.0324,0.013523,0.002678,0.000431,0.665210
11007500,0.0324,0.013523,0.002678,0.000431,0.547681
11007600,0.0324,0.013523,0.002678,0.000431,0.478340
11007700,0.0324,0.013523,0.002678,0.000431,0.659333
11007800,0.0324,0.013523,0.002678,0.000431,0.568836
11007900,0.0324,0.013523,0.002678,0.000431,0.595868
11008000,0.0324,0.013523,0.002678,0.000431,0.927297
11008100,0.0324,0.013523,0.002678,0.000431,1.236396
11008200,0.0324,0.013523,0.002678,0.000431,1.112992
11008300,0.0324,0.013523,0.002678,0.000431,1.312790
11008400,0.0324,0.013523,0.002678,0.000431,0.923772
11008500,0.0324,0.013523,0.002678,0.000431,1.044826
11008600,0.0324,0.013523,0.002678,0.000431,0.732201
11008700,0.0324,0.013523,0.002678,0.000431,0.821522
11008800,0.0324,0.013523,0.002678,0.000431,0.673436
11008900,0.0324,0.013523,0.002678,0.000431,0.794491
11009000,0.0324,0.013523,0.002678,0.000431,0.573538
11009100,0.0324,0.013523,0.002678,0.000431,0.815646
11009200,0.0324,0.013523,0.002678,0.000431,1.007217
11009300,0.0324,0.013523,0.002678,0.000431,1.252850
11009400,0.0324,0.013523,0.002678,0.000431,1.083610
11009500,0.0324,0.013523,0.002678,0.000431,1.115342
11009600,0.0324,0.013523,0.002678,0.000431,0.903792
11009700,0.0324,0.013523,0.002678,0.000431,0.924947
11009800,0.0324,0.013523,0.002678,0.000431,0.870884
11009900,0.0324,0.013523,0.002678,0.000431,0.940225
11010000,0.0324,0.013523,0.002678,0.000431,0.775686
11010100,0.0324,0.013523,0.002678,0.000431,0.933174
11010200,0.0324,0.013523,0.002678,0.000431,0.842677
11010300,0.0324,0.013523,0.002678,0.000431,0.837976
11010400,0.0324,0.013523,0.002678,0.000431,1.038949
11010500,0.0324,0.013523,0.002678,0.000431,1.371554
11010600,0.0324,0.013523,0.002678,0.000431,1.145900
11010700,0.0324,0.013523,0.002678,0.000431,1.205839
11010800,0.0324,0.013523,0.002678,0.000431,0.779212
11010900,0.0324,0.013523,0.002678,0.000431,0.832100
11011000,0.0324,0.013523,0.002678,0.000431,0.564135
11011100,0.0324,0.013523,0.002678,0.000431,0.593517
11011200,0.0324,0.013523,0.002678,0.000431,0.662859
11011300,0.0324,0.013523,0.002678,0.000431,0.517124
11011400,0.0324,0.013523,0.002678,0.000431,0.585290
11011500,0.0324,0.013523,0.002678,0.000431,0.644054
11011600,0.0324,0.013523,0.002678,0.000431,1.134147
11011700,0.0324,0.013523,0.002678,0.000431,1.541970
11011800,0.0324,0.013523,0.002678,0.000431,1.268129
11011900,0.0324,0.013523,0.002678,0.000431,1.369203
11012000,0.0324,0.013523,0.002678,0.000431,1.022495
11012100,0.0324,0.013523,0.002678,0.000431,0.747479
11012200,0.0324,0.013523,0.002678,0.000431,0.923772
11012300,0.0324,0.013523,0.002678,0.000431,0.758057
11012400,0.0324,0.013523,0.002678,0.000431,0.789789
11012500,0.0324,0.013523,0.002678,0.000431,0.692241
11012600,0.0324,0.013523,0.002678,0.000431,0.679313
11012700,0.0324,0.013523,0.002678,0.000431,0.644054
11012800,0.0324,0.013523,0.002678,0.000431,0.964906
11012900,0.0324,0.013523,0.002678,0.000431,1.218767
11013000,0.0324,0.013523,0.002678,0.000431,1.050702
11013100,0.0324,0.013523,0.002678,0.000431,1.246974
11013200,0.0324,0.013523,0.002678,0.000431,0.780387
11013300,0.0324,0.013523,0.002678,0.000431,0.594693
11013400,0.0324,0.013523,0.002678,0.000431,0.728675
11013500,0.0324,0.013523,0.002678,0.000431,0.701643
11013600,0.0324,0.013523,0.002678,0.000431,0.607621
11013700,0.0324,0.013523,0.002678,0.000431,0.526526
11013800,0.0324,0.013523,0.002678,0.000431,0.553558
11013900,0.0324,0.013523,0.002678,0.000431,0.846203
11014000,0.0324,0.013523,0.002678,0.000431,1.344522
11014100,0.0324,0.013523,0.002678,0.000431,1.209365
11014200,0.0324,0.013523,0.002678,0.000431,1.286934
11014300,0.0324,0.013523,0.002678,0.000431,1.069506
11014400,0.0324,0.013523,0.002678,0.000431,0.723974
11014500,0.0324,0.013523,0.002678,0.000431,0.406648
11014600,0.0324,0.013523,0.002678,0.000431,0.493618
11014700,0.0324,0.013523,0.002678,0.000431,0.521825
11014800,0.0324,0.013523,0.002678,0.000431,0.500670
11014900,0.0324,0.013523,0.002678,0.000431,0.626425
11015000,0.0324,0.013523,0.002678,0.000431,0.540630
11015100,0.0324,0.013523,0.002678,0.000431,0.615848
11015200,0.0324,0.013523,0.002678,0.000431,1.107115
11015300,0.0324,0.013523,0.002678,0.000431,1.031897
11015400,0.0324,0.013523,0.002678,0.000431,0.814470
11015500,0.0324,0.013523,0.002678,0.000431,0.728675
11015600,0.0324,0.013523,0.002678,0.000431,0.633477
11015700,0.0324,0.013523,0.002678,0.000431,0.518299
11015800,0.0324,0.013523,0.002678,0.000431,0.639353
11015900,0.0324,0.013523,0.002678,0.000431,0.561785
11016000,0.0324,0.013523,0.002678,0.000431,0.547681
11016100,0.0324,0.013523,0.002678,0.000431,0.513598
11016200,0.0324,0.013523,0.002678,0.000431,0.507722
11016300,0.0324,0.013523,0.002678,0.000431,0.746304
11016400,0.0324,0.013523,0.002678,0.000431,1.531392
11016500,0.0324,0.013523,0.002678,0.000431,1.766449
11016600,0.0324,0.013523,0.002678,0.000431,1.196437
11016700,0.0324,0.013523,0.002678,0.000431,1.288109
11016800,0.0324,0.013523,0.002678,0.000431,0.940225
11016900,0.0324,0.013523,0.002678,0.000431,0.984886
11017000,0.0324,0.013523,0.002678,0.000431,0.779212
11017100,0.0324,0.013523,0.002678,0.000431,0.752180
11017200,0.0324,0.013523,0.002678,0.000431,0.766284
11017300,0.0324,0.013523,0.002678,0.000431,0.709870
11017400,0.0324,0.013523,0.002678,0.000431,0.585290
11017500,0.0324,0.013523,0.002678,0.000431,0.769810
11017600,0.0324,0.013523,0.002678,0.000431,1.215241
11017700,0.0324,0.013523,0.002678,0.000431,1.284583
11017800,0.0324,0.013523,0.002678,0.000431,1.225819
11017900,0.0324,0.013523,0.002678,0.000431,0.848553
11018000,0.0324,0.013523,0.002678,0.000431,0.828574
11018100,0.0324,0.013523,0.002678,0.000431,0.667560
11018200,0.0324,0.013523,0.002678,0.000431,0.654632
11018300,0.0324,0.013523,0.002678,0.000431,0.624075
11018400,0.0324,0.013523,0.002678,0.000431,0.787439
11018500,0.0324,0.013523,0.002678,0.000431,0.758057
11018600,0.0324,0.013523,0.002678,0.000431,0.709870
11018700,0.0324,0.013523,0.002678,0.000431,0.793315
11018800,0.0324,0.013523,0.002678,0.000431,1.062455
11018900,0.0324,0.013523,0.002678,0.000431,0.962556
11019000,0.0324,0.013523,0.002678,0.000431,0.732201
11019100,0.0324,0.013523,0.002678,0.000431,0.658158
11019200,0.0324,0.013523,0.002678,0.000431,0.419576
11019300,0.0324,0.013523,0.002678,0.000431,0.497144
11019400,0.0324,0.013523,0.002678,0.000431,0.386668
11019500,0.0324,0.013523,0.002678,0.000431,0.518299
11019600,0.0324,0.013523,0.002678,0.000431,0.568836
11019700,0.0324,0.013523,0.002678,0.000431,0.545331
11019800,0.0324,0.013523,0.002678,0.000431,0.592342
11019900,0.0324,0.013523,0.002678,0.000431,0.773335
11020000,0.0324,0.013523,0.002678,0.000431,1.259902
11020100,0.0324,0.013523,0.002678,0.000431,1.431493
11020200,0.0324,0.013523,0.002678,0.000431,1.077733
11020300,0.0324,0.013523,0.002678,0.000431,0.862657
11020400,0.0324,0.013523,0.002678,0.000431,0.822697
11020500,0.0324,0.013523,0.002678,0.000431,0.762758
11020600,0.0324,0.013523,0.002678,0.000431,0.705169
11020700,0.0324,0.013523,0.002678,0.000431,0.705169
11020800,0.0324,0.013523,0.002678,0.000431,0.761583
11020900,0.0324,0.013523,0.002678,0.000431,0.926122
11021000,0.0324,0.013523,0.002678,0.000431,0.937875
11021100,0.0324,0.013523,0.002678,0.000431,0.861482
11021200,0.0324,0.013523,0.002678,0.000431,1.256376
11021300,0.0324,0.013523,0.002678,0.000431,0.819171
11021400,0.0324,0.013523,0.002678,0.000431,1.024846
11021500,0.0324,0.013523,0.002678,0.000431,0.703994
11021600,0.0324,0.013523,0.002678,0.000431,0.816821
11021700,0.0324,0.013523,0.002678,0.000431,0.779212
11021800,0.0324,0.013523,0.002678,0.000431,0.702819
11021900,0.0324,0.013523,0.002678,0.000431,0.914369
11022000,0.0324,0.013523,0.002678,0.000431,0.686365
11022100,0.0324,0.013523,0.002678,0.000431,0.828574
11022200,0.0324,0.013523,0.002678,0.000431,0.723974
11022300,0.0324,0.013523,0.002678,0.000431,0.676962
11022400,0.0324,0.013523,0.002678,0.000431,0.765108
11022500,0.0324,0.013523,0.002678,0.000431,0.887338
11022600,0.0324,0.013523,0.002678,0.000431,0.773335
11022700,0.0324,0.013523,0.002678,0.000431,0.669911
11022800,0.0324,0.013523,0.002678,0.000431,0.425452
11022900,0.0324,0.013523,0.002678,0.000431,0.451308
