Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,15.7031,5.502199,0.052647,0.006391,8.058095
2000100,15.7031,5.502199,0.052647,0.006391,8.667719
2000200,15.7031,5.502199,0.052647,0.006391,8.652095
2000300,15.7031,5.502199,0.052647,0.006391,7.615852
2000400,15.7031,5.502199,0.052647,0.006391,7.914280
2000500,15.7031,5.502199,0.052647,0.006391,9.163394
2000600,15.7031,5.502199,0.052647,0.006391,8.795526
2000700,15.7031,5.502199,0.052647,0.006391,7.086288
2000800,15.7031,5.502199,0.052647,0.006391,8.528212
2000900,15.7031,5.502199,0.052647,0.006391,8.873715
2001000,15.7031,5.502199,0.052647,0.006391,8.787053
2001100,15.7031,5.502199,0.052647,0.006391,7.190778
2001200,15.7031,5.502199,0.052647,0.006391,8.427161
2001300,15.7031,5.502199,0.052647,0.006391,8.918027
2001400,15.7031,5.502199,0.052647,0.006391,8.535204
2001500,15.7031,5.502199,0.052647,0.006391,7.117540
2001600,15.7031,5.502199,0.052647,0.006391,8.220920
2001700,15.7031,5.502199,0.052647,0.006391,9.322000
2001800,15.7031,5.502199,0.052647,0.006391,8.564060
2001900,15.7031,5.502199,0.052647,0.006391,7.101464
2002000,15.7031,5.502199,0.052647,0.006391,8.462090
2002100,15.7031,5.502199,0.052647,0.006391,8.662634
2002200,15.7031,5.502199,0.052647,0.006391,8.953536
2002300,15.7031,5.502199,0.052647,0.006391,6.582089
2002400,15.7031,5.502199,0.052647,0.006391,8.702340
2002500,15.7031,5.502199,0.052647,0.006391,8.526301
2002600,15.7031,5.502199,0.052647,0.006391,8.948269
2002700,15.7031,5.502199,0.052647,0.006391,6.857819
2002800,15.7031,5.502199,0.052647,0.006391,8.733790
2002900,15.7031,5.502199,0.052647,0.006391,9.083735
2003000,15.7031,5.502199,0.052647,0.006391,8.427627
2003100,15.7031,5.502199,0.052647,0.006391,6.954097
2003200,15.7031,5.502199,0.052647,0.006391,9.066775
2003300,15.7031,5.502199,0.052647,0.006391,9.087237
2003400,15.7031,5.502199,0.052647,0.006391,7.744839
2003500,15.7031,5.502199,0.052647,0.006391,7.090848
2003600,15.7031,5.502199,0.052647,0.006391,9.320086
2003700,15.7031,5.502199,0.052647,0.006391,9.268781
2003800,15.7031,5.502199,0.052647,0.006391,7.575687
2003900,15.7031,5.502199,0.052647,0.006391,6.897014
2004000,15.7031,5.502199,0.052647,0.006391,9.137747
2004100,15.7031,5.502199,0.052647,0.006391,9.690706
2004200,15.7031,5.502199,0.052647,0.006391,6.932906
2004300,15.7031,5.502199,0.052647,0.006391,7.587729
2004400,15.7031,5.502199,0.052647,0.006391,9.205452
2004500,15.7031,5.502199,0.052647,0.006391,9.026334
2004600,15.7031,5.502199,0.052647,0.006391,7.033879
2004700,15.7031,5.502199,0.052647,0.006391,8.233567
2004800,15.7031,5.502199,0.052647,0.006391,8.839466
2004900,15.7031,5.502199,0.052647,0.006391,8.892840
2005000,15.7031,5.502199,0.052647,0.006391,7.486008
2005100,15.7031,5.502199,0.052647,0.006391,7.539068
2005200,15.7031,5.502199,0.052647,0.006391,9.111982
2005300,15.7031,5.502199,0.052647,0.006391,9.030000
2005400,15.7031,5.502199,0.052647,0.006391,7.525609
2005500,15.7031,5.502199,0.052647,0.006391,7.818018
2005600,15.7031,5.502199,0.052647,0.006391,8.371189
2005700,15.7031,5.502199,0.052647,0.006391,8.939463
2005800,15.7031,5.502199,0.052647,0.006391,7.964690
2005900,15.7031,5.502199,0.052647,0.006391,7.980383
2006000,15.7031,5.502199,0.052647,0.006391,8.165421
2006100,15.7031,5.502199,0.052647,0.006391,8.982852
2006200,15.7031,5.502199,0.052647,0.006391,7.506817
2006300,15.7031,5.502199,0.052647,0.006391,8.123257
2006400,15.7031,5.502199,0.052647,0.006391,9.125803
2006500,15.7031,5.502199,0.052647,0.006391,8.491058
2006600,15.7031,5.502199,0.052647,0.006391,6.790375
2006700,15.7031,5.502199,0.052647,0.006391,9.024608
2006800,15.7031,5.502199,0.052647,0.006391,8.980284
2006900,15.7031,5.502199,0.052647,0.006391,8.158698
2007000,15.7031,5.502199,0.052647,0.006391,6.702098
2007100,15.7031,5.502199,0.052647,0.006391,9.014210
2007200,15.7031,5.502199,0.052647,0.006391,9.499131
2007300,15.7031,5.502199,0.052647,0.006391,8.211028
2007400,15.7031,5.502199,0.052647,0.006391,6.422522
2007500,15.7031,5.502199,0.052647,0.006391,9.485352
2007600,15.7031,5.502199,0.052647,0.006391,8.766449
2007700,15.7031,5.502199,0.052647,0.006391,8.021500
2007800,15.7031,5.502199,0.052647,0.006391,7.180489
2007900,15.7031,5.502199,0.052647,0.006391,9.394547
2008000,15.7031,5.502199,0.052647,0.006391,8.153503
2008100,15.7031,5.502199,0.052647,0.006391,8.086119
2008200,15.7031,5.502199,0.052647,0.006391,7.289719
2008300,15.7031,5.502199,0.052647,0.006391,9.033762
2008400,15.7031,5.502199,0.052647,0.006391,8.996340
2008500,15.7031,5.502199,0.052647,0.006391,8.084639
2008600,15.7031,5.502199,0.052647,0.006391,7.198396
2008700,15.7031,5.502199,0.052647,0.006391,8.726798
2008800,15.7031,5.502199,0.052647,0.006391,8.954171
2008900,15.7031,5.502199,0.052647,0.006391,7.804867
2009000,15.7031,5.502199,0.052647,0.006391,7.962559
2009100,15.7031,5.502199,0.052647,0.006391,8.500363
2009200,15.7031,5.502199,0.052647,0.006391,8.820576
2009300,15.7031,5.502199,0.052647,0.006391,7.580397
2009400,15.7031,5.502199,0.052647,0.006391,8.068264
2009500,15.7031,5.502199,0.052647,0.006391,9.395827
2009600,15.7031,5.502199,0.052647,0.006391,8.473142
2009700,15.7031,5.502199,0.052647,0.006391,6.798486
2009800,15.7031,5.502199,0.052647,0.006391,8.501286
2009900,15.7031,5.502199,0.052647,0.006391,9.322940
2010000,15.7031,5.502199,0.052647,0.006391,8.317885
2010100,15.7031,5.502199,0.052647,0.006391,6.821730
2010200,15.7031,5.502199,0.052647,0.006391,9.438059
2010300,15.7031,5.502199,0.052647,0.006391,8.437051
2010400,15.7031,5.502199,0.052647,0.006391,8.236459
2010500,15.7031,5.502199,0.052647,0.006391,7.019941
2010600,15.7031,5.502199,0.052647,0.006391,9.336050
2010700,15.7031,5.502199,0.052647,0.006391,8.825327
2010800,15.7031,5.502199,0.052647,0.006391,8.122328
2010900,15.7031,5.502199,0.052647,0.006391,7.045247
2011000,15.7031,5.502199,0.052647,0.006391,8.920753
2011100,15.7031,5.502199,0.052647,0.006391,8.910369
2011200,15.7031,5.502199,0.052647,0.006391,7.917072
2011300,15.7031,5.502199,0.052647,0.006391,7.409632
2011400,15.7031,5.502199,0.052647,0.006391,8.857756
2011500,15.7031,5.502199,0.052647,0.006391,8.484596
2011600,15.7031,5.502199,0.052647,0.006391,7.995045
2011700,15.7031,5.502199,0.052647,0.006391,7.856810
2011800,15.7031,5.502199,0.052647,0.006391,8.570991
2011900,15.7031,5.502199,0.052647,0.006391,8.864380
2012000,15.7031,5.502199,0.052647,0.006391,8.170461
2012100,15.7031,5.502199,0.052647,0.006391,7.295167
2012200,15.7031,5.502199,0.052647,0.006391,9.017941
2012300,15.7031,5.502199,0.052647,0.006391,8.502350
2012400,15.7031,5.502199,0.052647,0.006391,7.846302
2012500,15.7031,5.502199,0.052647,0.006391,7.935381
2012600,15.7031,5.502199,0.052647,0.006391,8.923437
2012700,15.7031,5.502199,0.052647,0.006391,9.042900
2012800,15.7031,5.502199,0.052647,0.006391,7.097232
2012900,15.7031,5.502199,0.052647,0.006391,8.046657
2013000,15.7031,5.502199,0.052647,0.006391,8.996113
2013100,15.7031,5.502199,0.052647,0.006391,9.207945
2013200,15.7031,5.502199,0.052647,0.006391,7.074532
2013300,15.7031,5.502199,0.052647,0.006391,7.717074
2013400,15.7031,5.502199,0.052647,0.006391,9.173366
2013500,15.7031,5.502199,0.052647,0.006391,8.964840
2013600,15.7031,5.502199,0.052647,0.006391,6.761416
2013700,15.7031,5.502199,0.052647,0.006391,8.422322
2013800,15.7031,5.502199,0.052647,0.006391,8.804207
2013900,15.7031,5.502199,0.052647,0.006391,9.112546
2014000,15.7031,5.502199,0.052647,0.006391,6.614713
2014100,15.7031,5.502199,0.052647,0.006391,8.082107
2014200,15.7031,5.502199,0.052647,0.006391,9.601892
2014300,15.7031,5.502199,0.052647,0.006391,9.009553
2014400,15.7031,5.502199,0.052647,0.006391,6.057900
2014500,15.7031,5.502199,0.052647,0.006391,7.992202
2014600,15.7031,5.502199,0.052647,0.006391,9.792416
2014700,15.7031,5.502199,0.052647,0.006391,8.756394
2014800,15.7031,5.502199,0.052647,0.006391,6.464427
2014900,15.7031,5.502199,0.052647,0.006391,8.629203
2015000,15.7031,5.502199,0.052647,0.006391,8.912827
2015100,15.7031,5.502199,0.052647,0.006391,8.844304
2015200,15.7031,5.502199,0.052647,0.006391,6.579694
2015300,15.7031,5.502199,0.052647,0.006391,8.855404
2015400,15.7031,5.502199,0.052647,0.006391,9.086073
2015500,15.7031,5.502199,0.052647,0.006391,8.760052
2015600,15.7031,5.502199,0.052647,0.006391,6.592511
2015700,15.7031,5.502199,0.052647,0.006391,8.634587
2015800,15.7031,5.502199,0.052647,0.006391,9.400692
2015900,15.7031,5.502199,0.052647,0.006391,8.088603
2016000,15.7031,5.502199,0.052647,0.006391,6.871885
2016100,15.7031,5.502199,0.052647,0.006391,8.694149
2016200,15.7031,5.502199,0.052647,0.006391,9.426536
2016300,15.7031,5.502199,0.052647,0.006391,8.114419
2016400,15.7031,5.502199,0.052647,0.006391,6.876984
2016500,15.7031,5.502199,0.052647,0.006391,9.051085
2016600,15.7031,5.502199,0.052647,0.006391,9.552553
2016700,15.7031,5.502199,0.052647,0.006391,7.627587
2016800,15.7031,5.502199,0.052647,0.006391,6.843979
2016900,15.7031,5.502199,0.052647,0.006391,9.240183
2017000,15.7031,5.502199,0.052647,0.006391,9.090339
2017100,15.7031,5.502199,0.052647,0.006391,7.559187
2017200,15.7031,5.502199,0.052647,0.006391,7.323187
2017300,15.7031,5.502199,0.052647,0.006391,8.624025
2017400,15.7031,5.502199,0.052647,0.006391,9.068836
2017500,15.7031,5.502199,0.052647,0.006391,7.725644
2017600,15.7031,5.502199,0.052647,0.006391,7.411482
2017700,15.7031,5.502199,0.052647,0.006391,8.589610
2017800,15.7031,5.502199,0.052647,0.006391,9.189047
2017900,15.7031,5.502199,0.052647,0.006391,7.524512
2018000,15.7031,5.502199,0.052647,0.006391,7.606366
2018100,15.7031,5.502199,0.052647,0.006391,8.720127
2018200,15.7031,5.502199,0.052647,0.006391,8.977316
