Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
10000000,1.3415,0.039994,0.023482,0.002970,0.019627
10000100,1.3415,0.039994,0.023482,0.002970,0.011184
10000200,1.3415,0.039994,0.023482,0.002970,0.014746
10000300,1.3415,0.039994,0.023482,0.002970,0.015441
10000400,1.3415,0.039994,0.023482,0.002970,0.020980
10000500,1.3415,0.039994,0.023482,0.002970,0.021425
10000600,1.3415,0.039994,0.023482,0.002970,0.015620
10000700,1.3415,0.039994,0.023482,0.002970,0.007836
10000800,1.3415,0.039994,0.023482,0.002970,0.012769
10000900,1.3415,0.039994,0.023482,0.002970,0.018060
10001000,1.3415,0.039994,0.023482,0.002970,0.020659
10001100,1.3415,0.039994,0.023482,0.002970,0.015173
10001200,1.3415,0.039994,0.023482,0.002970,0.014445
10001300,1.3415,0.039994,0.023482,0.002970,0.011932
10001400,1.3415,0.039994,0.023482,0.002970,0.019556
10001500,1.3415,0.039994,0.023482,0.002970,0.018148
10001600,1.3415,0.039994,0.023482,0.002970,0.018095
10001700,1.3415,0.039994,0.023482,0.002970,0.013340
10001800,1.3415,0.039994,0.023482,0.002970,0.012127
10001900,1.3415,0.039994,0.023482,0.002970,0.016457
10002000,1.3415,0.039994,0.023482,0.002970,0.011274
10002100,1.3415,0.039994,0.023482,0.002970,0.025308
10002200,1.3415,0.039994,0.023482,0.002970,0.017347
10002300,1.3415,0.039994,0.023482,0.002970,0.016100
10002400,1.3415,0.039994,0.023482,0.002970,0.012806
10002500,1.3415,0.039994,0.023482,0.002970,0.016581
10002600,1.3415,0.039994,0.023482,0.002970,0.017810
10002700,1.3415,0.039994,0.023482,0.002970,0.021746
10002800,1.3415,0.039994,0.023482,0.002970,0.029281
10002900,1.3415,0.039994,0.023482,0.002970,0.022173
10003000,1.3415,0.039994,0.023482,0.002970,0.025808
10003100,1.3415,0.039994,0.023482,0.002970,0.017187
10003200,1.3415,0.039994,0.023482,0.002970,0.031490
10003300,1.3415,0.039994,0.023482,0.002970,0.032327
10003400,1.3415,0.039994,0.023482,0.002970,0.023563
10003500,1.3415,0.039994,0.023482,0.002970,0.024526
10003600,1.3415,0.039994,0.023482,0.002970,0.018540
