Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
9000000,0.0324,0.013523,0.002678,0.000431,2.359966
9000100,0.0324,0.013523,0.002678,0.000431,2.200128
9000200,0.0324,0.013523,0.002678,0.000431,2.336460
9000300,0.0324,0.013523,0.002678,0.000431,2.325883
9000400,0.0324,0.013523,0.002678,0.000431,2.166044
9000500,0.0324,0.013523,0.002678,0.000431,2.164869
9000600,0.0324,0.013523,0.002678,0.000431,2.390523
9000700,0.0324,0.013523,0.002678,0.000431,2.412854
9000800,0.0324,0.013523,0.002678,0.000431,2.036763
9000900,0.0324,0.013523,0.002678,0.000431,2.247139
9001000,0.0324,0.013523,0.002678,0.000431,2.027361
9001100,0.0324,0.013523,0.002678,0.000431,2.312955
9001200,0.0324,0.013523,0.002678,0.000431,2.269469
9001300,0.0324,0.013523,0.002678,0.000431,2.119033
9001400,0.0324,0.013523,0.002678,0.000431,2.133137
9001500,0.0324,0.013523,0.002678,0.000431,2.146065
9001600,0.0324,0.013523,0.002678,0.000431,2.015608
9001700,0.0324,0.013523,0.002678,0.000431,2.237737
9001800,0.0324,0.013523,0.002678,0.000431,2.249489
9001900,0.0324,0.013523,0.002678,0.000431,1.867523
9002000,0.0324,0.013523,0.002678,0.000431,2.251840
9002100,0.0324,0.013523,0.002678,0.000431,2.218932
9002200,0.0324,0.013523,0.002678,0.000431,2.290624
9002300,0.0324,0.013523,0.002678,0.000431,2.029712
9002400,0.0324,0.013523,0.002678,0.000431,2.157817
9002500,0.0324,0.013523,0.002678,0.000431,2.417555
9002600,0.0324,0.013523,0.002678,0.000431,2.255366
9002700,0.0324,0.013523,0.002678,0.000431,2.164869
9002800,0.0324,0.013523,0.002678,0.000431,2.215406
9002900,0.0324,0.013523,0.002678,0.000431,1.972123
9003000,0.0324,0.013523,0.002678,0.000431,2.095527
9003100,0.0324,0.013523,0.002678,0.000431,2.408152
9003200,0.0324,0.013523,0.002678,0.000431,2.116683
9003300,0.0324,0.013523,0.002678,0.000431,1.919235
9003400,0.0324,0.013523,0.002678,0.000431,2.206004
9003500,0.0324,0.013523,0.002678,0.000431,2.035588
9003600,0.0324,0.013523,0.002678,0.000431,2.395224
9003700,0.0324,0.013523,0.002678,0.000431,2.126085
