Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
7000000,8.6440,0.261844,0.058609,0.079322,0.192884
7000100,8.6440,0.261844,0.058609,0.079322,0.203520
7000200,8.6440,0.261844,0.058609,0.079322,0.223974
7000300,8.6440,0.261844,0.058609,0.079322,0.197540
7000400,8.6440,0.261844,0.058609,0.079322,0.174100
7000500,8.6440,0.261844,0.058609,0.079322,0.178313
7000600,8.6440,0.261844,0.058609,0.079322,0.213295
7000700,8.6440,0.261844,0.058609,0.079322,0.220738
7000800,8.6440,0.261844,0.058609,0.079322,0.213258
7000900,8.6440,0.261844,0.058609,0.079322,0.199948
7001000,8.6440,0.261844,0.058609,0.079322,0.191534
7001100,8.6440,0.261844,0.058609,0.079322,0.184034
7001200,8.6440,0.261844,0.058609,0.079322,0.180960
7001300,8.6440,0.261844,0.058609,0.079322,0.205066
7001400,8.6440,0.261844,0.058609,0.079322,0.220641
7001500,8.6440,0.261844,0.058609,0.079322,0.219149
7001600,8.6440,0.261844,0.058609,0.079322,0.180288
7001700,8.6440,0.261844,0.058609,0.079322,0.187676
7001800,8.6440,0.261844,0.058609,0.079322,0.178094
7001900,8.6440,0.261844,0.058609,0.079322,0.235582
7002000,8.6440,0.261844,0.058609,0.079322,0.227512
7002100,8.6440,0.261844,0.058609,0.079322,0.187333
7002200,8.6440,0.261844,0.058609,0.079322,0.199347
7002300,8.6440,0.261844,0.058609,0.079322,0.207130
7002400,8.6440,0.261844,0.058609,0.079322,0.194105
7002500,8.6440,0.261844,0.058609,0.079322,0.203771
7002600,8.6440,0.261844,0.058609,0.079322,0.217322
7002700,8.6440,0.261844,0.058609,0.079322,0.217206
7002800,8.6440,0.261844,0.058609,0.079322,0.218876
7002900,8.6440,0.261844,0.058609,0.079322,0.173526
7003000,8.6440,0.261844,0.058609,0.079322,0.204838
7003100,8.6440,0.261844,0.058609,0.079322,0.199570
7003200,8.6440,0.261844,0.058609,0.079322,0.222235
7003300,8.6440,0.261844,0.058609,0.079322,0.210816
7003400,8.6440,0.261844,0.058609,0.079322,0.209068
7003500,8.6440,0.261844,0.058609,0.079322,0.188898
7003600,8.6440,0.261844,0.058609,0.079322,0.203273
7003700,8.6440,0.261844,0.058609,0.079322,0.197250
7003800,8.6440,0.261844,0.058609,0.079322,0.218575
7003900,8.6440,0.261844,0.058609,0.079322,0.206020
7004000,8.6440,0.261844,0.058609,0.079322,0.227743
7004100,8.6440,0.261844,0.058609,0.079322,0.179275
7004200,8.6440,0.261844,0.058609,0.079322,0.199330
7004300,8.6440,0.261844,0.058609,0.079322,0.209635
7004400,8.6440,0.261844,0.058609,0.079322,0.184358
7004500,8.6440,0.261844,0.058609,0.079322,0.246028
7004600,8.6440,0.261844,0.058609,0.079322,0.200059
7004700,8.6440,0.261844,0.058609,0.079322,0.192087
7004800,8.6440,0.261844,0.058609,0.079322,0.190293
7004900,8.6440,0.261844,0.058609,0.079322,0.201932
7005000,8.6440,0.261844,0.058609,0.079322,0.217251
7005100,8.6440,0.261844,0.058609,0.079322,0.206489
7005200,8.6440,0.261844,0.058609,0.079322,0.206660
7005300,8.6440,0.261844,0.058609,0.079322,0.219329
7005400,8.6440,0.261844,0.058609,0.079322,0.182181
7005500,8.6440,0.261844,0.058609,0.079322,0.195801
7005600,8.6440,0.261844,0.058609,0.079322,0.192669
7005700,8.6440,0.261844,0.058609,0.079322,0.208566
7005800,8.6440,0.261844,0.058609,0.079322,0.219726
7005900,8.6440,0.261844,0.058609,0.079322,0.199486
7006000,8.6440,0.261844,0.058609,0.079322,0.213960
7006100,8.6440,0.261844,0.058609,0.079322,0.216251
7006200,8.6440,0.261844,0.058609,0.079322,0.186008
7006300,8.6440,0.261844,0.058609,0.079322,0.219299
7006400,8.6440,0.261844,0.058609,0.079322,0.198988
7006500,8.6440,0.261844,0.058609,0.079322,0.210672
7006600,8.6440,0.261844,0.058609,0.079322,0.197194
7006700,8.6440,0.261844,0.058609,0.079322,0.210086
7006800,8.6440,0.261844,0.058609,0.079322,0.228496
7006900,8.6440,0.261844,0.058609,0.079322,0.196412
7007000,8.6440,0.261844,0.058609,0.079322,0.213977
7007100,8.6440,0.261844,0.058609,0.079322,0.183643
7007200,8.6440,0.261844,0.058609,0.079322,0.215898
7007300,8.6440,0.261844,0.058609,0.079322,0.198829
7007400,8.6440,0.261844,0.058609,0.079322,0.224337
7007500,8.6440,0.261844,0.058609,0.079322,0.210601
7007600,8.6440,0.261844,0.058609,0.079322,0.199033
7007700,8.6440,0.261844,0.058609,0.079322,0.208139
7007800,8.6440,0.261844,0.058609,0.079322,0.196767
7007900,8.6440,0.261844,0.058609,0.079322,0.184782
7008000,8.6440,0.261844,0.058609,0.079322,0.230984
7008100,8.6440,0.261844,0.058609,0.079322,0.218260
7008200,8.6440,0.261844,0.058609,0.079322,0.193195
7008300,8.6440,0.261844,0.058609,0.079322,0.218375
7008400,8.6440,0.261844,0.058609,0.079322,0.198046
7008500,8.6440,0.261844,0.058609,0.079322,0.206772
7008600,8.6440,0.261844,0.058609,0.079322,0.218189
7008700,8.6440,0.261844,0.058609,0.079322,0.224551
7008800,8.6440,0.261844,0.058609,0.079322,0.194092
7008900,8.6440,0.261844,0.058609,0.079322,0.194963
7009000,8.6440,0.261844,0.058609,0.079322,0.184284
7009100,8.6440,0.261844,0.058609,0.079322,0.212494
7009200,8.6440,0.261844,0.058609,0.079322,0.222570
7009300,8.6440,0.261844,0.058609,0.079322,0.233534
7009400,8.6440,0.261844,0.058609,0.079322,0.200240
7009500,8.6440,0.261844,0.058609,0.079322,0.183262
7009600,8.6440,0.261844,0.058609,0.079322,0.194306
7009700,8.6440,0.261844,0.058609,0.079322,0.206844
7009800,8.6440,0.261844,0.058609,0.079322,0.222214
7009900,8.6440,0.261844,0.058609,0.079322,0.216083
7010000,8.6440,0.261844,0.058609,0.079322,0.198589
7010100,8.6440,0.261844,0.058609,0.079322,0.205936
7010200,8.6440,0.261844,0.058609,0.079322,0.187358
7010300,8.6440,0.261844,0.058609,0.079322,0.199984
7010400,8.6440,0.261844,0.058609,0.079322,0.205990
7010500,8.6440,0.261844,0.058609,0.079322,0.208594
7010600,8.6440,0.261844,0.058609,0.079322,0.214973
7010700,8.6440,0.261844,0.058609,0.079322,0.215132
7010800,8.6440,0.261844,0.058609,0.079322,0.189649
7010900,8.6440,0.261844,0.058609,0.079322,0.179886
7011000,8.6440,0.261844,0.058609,0.079322,0.205235
7011100,8.6440,0.261844,0.058609,0.079322,0.233685
7011200,8.6440,0.261844,0.058609,0.079322,0.225732
7011300,8.6440,0.261844,0.058609,0.079322,0.188726
7011400,8.6440,0.261844,0.058609,0.079322,0.203715
7011500,8.6440,0.261844,0.058609,0.079322,0.197664
7011600,8.6440,0.261844,0.058609,0.079322,0.200738
7011700,8.6440,0.261844,0.058609,0.079322,0.201831
7011800,8.6440,0.261844,0.058609,0.079322,0.210131
7011900,8.6440,0.261844,0.058609,0.079322,0.228123
7012000,8.6440,0.261844,0.058609,0.079322,0.214759
7012100,8.6440,0.261844,0.058609,0.079322,0.193053
7012200,8.6440,0.261844,0.058609,0.079322,0.212226
7012300,8.6440,0.261844,0.058609,0.079322,0.179459
7012400,8.6440,0.261844,0.058609,0.079322,0.196679
7012500,8.6440,0.261844,0.058609,0.079322,0.236608
7012600,8.6440,0.261844,0.058609,0.079322,0.211028
7012700,8.6440,0.261844,0.058609,0.079322,0.210689
7012800,8.6440,0.261844,0.058609,0.079322,0.170094
7012900,8.6440,0.261844,0.058609,0.079322,0.213222
7013000,8.6440,0.261844,0.058609,0.079322,0.206514
7013100,8.6440,0.261844,0.058609,0.079322,0.220153
7013200,8.6440,0.261844,0.058609,0.079322,0.220765
7013300,8.6440,0.261844,0.058609,0.079322,0.194146
7013400,8.6440,0.261844,0.058609,0.079322,0.208184
7013500,8.6440,0.261844,0.058609,0.079322,0.181992
7013600,8.6440,0.261844,0.058609,0.079322,0.233346
7013700,8.6440,0.261844,0.058609,0.079322,0.194288
7013800,8.6440,0.261844,0.058609,0.079322,0.213791
