Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
5000000,23.8212,1.028147,0.538949,0.086720,7.280534
5000100,23.8212,1.028147,0.538949,0.086720,6.416239
5000200,23.8212,1.028147,0.538949,0.086720,6.442895
5000300,23.8212,1.028147,0.538949,0.086720,6.668506
5000400,23.8212,1.028147,0.538949,0.086720,7.584216
5000500,23.8212,1.028147,0.538949,0.086720,8.193766
5000600,23.8212,1.028147,0.538949,0.086720,7.726686
5000700,23.8212,1.028147,0.538949,0.086720,6.957473
5000800,23.8212,1.028147,0.538949,0.086720,6.436579
5000900,23.8212,1.028147,0.538949,0.086720,6.257839
5001000,23.8212,1.028147,0.538949,0.086720,6.877903
5001100,23.8212,1.028147,0.538949,0.086720,7.922072
5001200,23.8212,1.028147,0.538949,0.086720,8.351886
5001300,23.8212,1.028147,0.538949,0.086720,7.700227
5001400,23.8212,1.028147,0.538949,0.086720,6.759690
5001500,23.8212,1.028147,0.538949,0.086720,5.956432
5001600,23.8212,1.028147,0.538949,0.086720,6.486417
5001700,23.8212,1.028147,0.538949,0.086720,7.437226
5001800,23.8212,1.028147,0.538949,0.086720,8.107715
5001900,23.8212,1.028147,0.538949,0.086720,7.806967
5002000,23.8212,1.028147,0.538949,0.086720,6.651133
5002100,23.8212,1.028147,0.538949,0.086720,6.649687
5002200,23.8212,1.028147,0.538949,0.086720,6.417065
5002300,23.8212,1.028147,0.538949,0.086720,7.570162
5002400,23.8212,1.028147,0.538949,0.086720,7.764448
5002500,23.8212,1.028147,0.538949,0.086720,7.661805
5002600,23.8212,1.028147,0.538949,0.086720,7.019259
5002700,23.8212,1.028147,0.538949,0.086720,6.786862
5002800,23.8212,1.028147,0.538949,0.086720,6.549970
5002900,23.8212,1.028147,0.538949,0.086720,6.844861
5003000,23.8212,1.028147,0.538949,0.086720,8.209957
5003100,23.8212,1.028147,0.538949,0.086720,8.000086
5003200,23.8212,1.028147,0.538949,0.086720,7.314220
5003300,23.8212,1.028147,0.538949,0.086720,6.228649
5003400,23.8212,1.028147,0.538949,0.086720,6.262940
5003500,23.8212,1.028147,0.538949,0.086720,6.770821
5003600,23.8212,1.028147,0.538949,0.086720,7.731111
5003700,23.8212,1.028147,0.538949,0.086720,8.559016
5003800,23.8212,1.028147,0.538949,0.086720,7.311364
5003900,23.8212,1.028147,0.538949,0.086720,6.526406
5004000,23.8212,1.028147,0.538949,0.086720,6.197332
5004100,23.8212,1.028147,0.538949,0.086720,6.603346
5004200,23.8212,1.028147,0.538949,0.086720,7.515770
5004300,23.8212,1.028147,0.538949,0.086720,8.025963
5004400,23.8212,1.028147,0.538949,0.086720,8.155200
5004500,23.8212,1.028147,0.538949,0.086720,6.822567
5004600,23.8212,1.028147,0.538949,0.086720,6.380567
5004700,23.8212,1.028147,0.538949,0.086720,6.609053
5004800,23.8212,1.028147,0.538949,0.086720,6.860283
5004900,23.8212,1.028147,0.538949,0.086720,7.994875
5005000,23.8212,1.028147,0.538949,0.086720,7.563731
5005100,23.8212,1.028147,0.538949,0.086720,7.300833
5005200,23.8212,1.028147,0.538949,0.086720,6.544284
5005300,23.8212,1.028147,0.538949,0.086720,7.047483
5005400,23.8212,1.028147,0.538949,0.086720,6.909785
5005500,23.8212,1.028147,0.538949,0.086720,7.353947
5005600,23.8212,1.028147,0.538949,0.086720,7.345924
5005700,23.8212,1.028147,0.538949,0.086720,8.016570
5005800,23.8212,1.028147,0.538949,0.086720,6.470948
5005900,23.8212,1.028147,0.538949,0.086720,6.934238
5006000,23.8212,1.028147,0.538949,0.086720,7.110417
5006100,23.8212,1.028147,0.538949,0.086720,7.192205
5006200,23.8212,1.028147,0.538949,0.086720,7.037219
5006300,23.8212,1.028147,0.538949,0.086720,7.733346
5006400,23.8212,1.028147,0.538949,0.086720,7.007377
5006500,23.8212,1.028147,0.538949,0.086720,7.124433
5006600,23.8212,1.028147,0.538949,0.086720,6.827995
5006700,23.8212,1.028147,0.538949,0.086720,7.195158
5006800,23.8212,1.028147,0.538949,0.086720,6.897699
5006900,23.8212,1.028147,0.538949,0.086720,7.410191
5007000,23.8212,1.028147,0.538949,0.086720,7.576499
5007100,23.8212,1.028147,0.538949,0.086720,7.363586
5007200,23.8212,1.028147,0.538949,0.086720,7.054361
5007300,23.8212,1.028147,0.538949,0.086720,6.962542
5007400,23.8212,1.028147,0.538949,0.086720,6.684233
5007500,23.8212,1.028147,0.538949,0.086720,7.108961
5007600,23.8212,1.028147,0.538949,0.086720,7.361680
5007700,23.8212,1.028147,0.538949,0.086720,7.372636
5007800,23.8212,1.028147,0.538949,0.086720,7.461508
5007900,23.8212,1.028147,0.538949,0.086720,6.866115
5008000,23.8212,1.028147,0.538949,0.086720,7.288876
5008100,23.8212,1.028147,0.538949,0.086720,6.507147
5008200,23.8212,1.028147,0.538949,0.086720,7.039363
5008300,23.8212,1.028147,0.538949,0.086720,7.077520
5008400,23.8212,1.028147,0.538949,0.086720,7.966510
5008500,23.8212,1.028147,0.538949,0.086720,7.627546
5008600,23.8212,1.028147,0.538949,0.086720,6.728327
5008700,23.8212,1.028147,0.538949,0.086720,6.926542
5008800,23.8212,1.028147,0.538949,0.086720,6.832858
5008900,23.8212,1.028147,0.538949,0.086720,7.080910
5009000,23.8212,1.028147,0.538949,0.086720,7.313081
5009100,23.8212,1.028147,0.538949,0.086720,8.187752
5009200,23.8212,1.028147,0.538949,0.086720,7.150852
5009300,23.8212,1.028147,0.538949,0.086720,6.874901
5009400,23.8212,1.028147,0.538949,0.086720,6.171912
5009500,23.8212,1.028147,0.538949,0.086720,7.006401
5009600,23.8212,1.028147,0.538949,0.086720,6.995583
5009700,23.8212,1.028147,0.538949,0.086720,8.392311
5009800,23.8212,1.028147,0.538949,0.086720,7.698672
5009900,23.8212,1.028147,0.538949,0.086720,7.141029
5010000,23.8212,1.028147,0.538949,0.086720,6.507261
5010100,23.8212,1.028147,0.538949,0.086720,6.259697
5010200,23.8212,1.028147,0.538949,0.086720,6.835419
5010300,23.8212,1.028147,0.538949,0.086720,7.550747
5010400,23.8212,1.028147,0.538949,0.086720,8.117221
5010500,23.8212,1.028147,0.538949,0.086720,7.625230
5010600,23.8212,1.028147,0.538949,0.086720,7.142801
5010700,23.8212,1.028147,0.538949,0.086720,6.214663
5010800,23.8212,1.028147,0.538949,0.086720,6.247942
5010900,23.8212,1.028147,0.538949,0.086720,7.114362
5011000,23.8212,1.028147,0.538949,0.086720,8.332285
5011100,23.8212,1.028147,0.538949,0.086720,8.240845
5011200,23.8212,1.028147,0.538949,0.086720,7.121124
5011300,23.8212,1.028147,0.538949,0.086720,6.285957
5011400,23.8212,1.028147,0.538949,0.086720,6.184561
5011500,23.8212,1.028147,0.538949,0.086720,6.765864
5011600,23.8212,1.028147,0.538949,0.086720,7.722127
5011700,23.8212,1.028147,0.538949,0.086720,8.444633
5011800,23.8212,1.028147,0.538949,0.086720,7.646562
5011900,23.8212,1.028147,0.538949,0.086720,6.669897
5012000,23.8212,1.028147,0.538949,0.086720,6.016593
5012100,23.8212,1.028147,0.538949,0.086720,6.902923
5012200,23.8212,1.028147,0.538949,0.086720,6.806921
5012300,23.8212,1.028147,0.538949,0.086720,8.521947
5012400,23.8212,1.028147,0.538949,0.086720,7.730797
5012500,23.8212,1.028147,0.538949,0.086720,7.302836
5012600,23.8212,1.028147,0.538949,0.086720,6.332401
5012700,23.8212,1.028147,0.538949,0.086720,6.512276
5012800,23.8212,1.028147,0.538949,0.086720,6.716856
5012900,23.8212,1.028147,0.538949,0.086720,7.548922
5013000,23.8212,1.028147,0.538949,0.086720,7.865446
5013100,23.8212,1.028147,0.538949,0.086720,7.857432
5013200,23.8212,1.028147,0.538949,0.086720,6.807324
5013300,23.8212,1.028147,0.538949,0.086720,6.452869
5013400,23.8212,1.028147,0.538949,0.086720,6.340897
5013500,23.8212,1.028147,0.538949,0.086720,7.636861
5013600,23.8212,1.028147,0.538949,0.086720,7.889583
5013700,23.8212,1.028147,0.538949,0.086720,7.586372
5013800,23.8212,1.028147,0.538949,0.086720,7.126212
5013900,23.8212,1.028147,0.538949,0.086720,6.293694
5014000,23.8212,1.028147,0.538949,0.086720,6.674047
5014100,23.8212,1.028147,0.538949,0.086720,7.318819
5014200,23.8212,1.028147,0.538949,0.086720,7.803918
5014300,23.8212,1.028147,0.538949,0.086720,7.473834
5014400,23.8212,1.028147,0.538949,0.086720,7.034393
5014500,23.8212,1.028147,0.538949,0.086720,6.750381
5014600,23.8212,1.028147,0.538949,0.086720,6.958995
5014700,23.8212,1.028147,0.538949,0.086720,7.172302
5014800,23.8212,1.028147,0.538949,0.086720,7.631747
5014900,23.8212,1.028147,0.538949,0.086720,7.439419
5015000,23.8212,1.028147,0.538949,0.086720,6.818560
5015100,23.8212,1.028147,0.538949,0.086720,6.765952
5015200,23.8212,1.028147,0.538949,0.086720,7.096679
5015300,23.8212,1.028147,0.538949,0.086720,7.441405
5015400,23.8212,1.028147,0.538949,0.086720,7.118333
5015500,23.8212,1.028147,0.538949,0.086720,7.205338
5015600,23.8212,1.028147,0.538949,0.086720,7.351560
5015700,23.8212,1.028147,0.538949,0.086720,7.193560
5015800,23.8212,1.028147,0.538949,0.086720,7.200802
5015900,23.8212,1.028147,0.538949,0.086720,7.007577
5016000,23.8212,1.028147,0.538949,0.086720,6.791834
5016100,23.8212,1.028147,0.538949,0.086720,7.274355
5016200,23.8212,1.028147,0.538949,0.086720,7.324920
5016300,23.8212,1.028147,0.538949,0.086720,7.502504
5016400,23.8212,1.028147,0.538949,0.086720,6.972707
5016500,23.8212,1.028147,0.538949,0.086720,6.451986
5016600,23.8212,1.028147,0.538949,0.086720,7.545540
5016700,23.8212,1.028147,0.538949,0.086720,7.156531
5016800,23.8212,1.028147,0.538949,0.086720,7.671616
5016900,23.8212,1.028147,0.538949,0.086720,7.150405
5017000,23.8212,1.028147,0.538949,0.086720,7.054305
5017100,23.8212,1.028147,0.538949,0.086720,6.981429
5017200,23.8212,1.028147,0.538949,0.086720,6.942781
5017300,23.8212,1.028147,0.538949,0.086720,7.114837
5017400,23.8212,1.028147,0.538949,0.086720,7.521975
5017500,23.8212,1.028147,0.538949,0.086720,7.323419
5017600,23.8212,1.028147,0.538949,0.086720,7.212918
5017700,23.8212,1.028147,0.538949,0.086720,6.727182
5017800,23.8212,1.028147,0.538949,0.086720,6.939765
5017900,23.8212,1.028147,0.538949,0.086720,7.185053
5018000,23.8212,1.028147,0.538949,0.086720,7.725955
5018100,23.8212,1.028147,0.538949,0.086720,7.370057
5018200,23.8212,1.028147,0.538949,0.086720,6.974078
5018300,23.8212,1.028147,0.538949,0.086720,6.903043
5018400,23.8212,1.028147,0.538949,0.086720,6.591804
5018500,23.8212,1.028147,0.538949,0.086720,7.583312
5018600,23.8212,1.028147,0.538949,0.086720,7.376756
5018700,23.8212,1.028147,0.538949,0.086720,7.603479
5018800,23.8212,1.028147,0.538949,0.086720,7.022663
5018900,23.8212,1.028147,0.538949,0.086720,6.739461
