Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
5000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.760447
5000100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.892690
5000200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.547436
5000300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.553224
5000400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.744245
5000500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.277793
5000600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.422977
5000700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.861282
5000800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.457394
5000900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.294256
5001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.230149
5001100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.462014
5001200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.985216
5001300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.040361
5001400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.593622
5001500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.493944
5001600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.746052
5001700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.312489
5001800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.262509
5001900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.049655
5002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.199552
5002100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.571071
5002200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.193275
5002300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.336064
5002400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.617667
5002500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.234754
5002600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.516294
5002700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.931932
5002800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.029472
5002900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.061214
5003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.905302
5003100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.117324
5003200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.228004
5003300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.919713
5003400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.598952
5003500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.808217
5003600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.984038
5003700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.659375
5003800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.717123
5003900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.036332
5004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.028280
5004100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.689417
5004200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.125092
5004300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.868617
5004400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.291029
5004500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.839666
5004600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.151554
5004700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.654448
5004800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.715664
5004900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.307927
5005000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.305416
5005100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.740674
5005200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.667677
5005300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.760625
5005400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.340853
5005500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.206991
5005600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.691415
5005700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.658357
5005800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.345523
5005900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.774043
5006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.310054
5006100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.674923
5006200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.968764
5006300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.639176
5006400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.994084
5006500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.450262
5006600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.431069
5006700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.277645
5006800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.427984
5006900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.342419
5007000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.600947
5007100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.231335
5007200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.449816
5007300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.885878
5007400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.365092
5007500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.348284
5007600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.433281
5007700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.228881
5007800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.809460
5007900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.087047
5008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.582595
5008100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.088721
5008200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.022812
5008300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.820258
5008400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.928674
5008500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.188611
5008600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.560563
5008700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.432117
5008800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.519352
5008900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.849937
5009000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.823258
5009100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.089439
5009200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.005164
5009300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.501744
5009400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.366732
5009500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.274292
5009600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.703583
5009700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.439837
5009800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.575913
5009900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.364656
5010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.415974
5010100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.812783
5010200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.818489
5010300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.855402
5010400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.937289
5010500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.902435
5010600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.536042
5010700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.056619
5010800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.198102
5010900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.614249
5011000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.694413
5011100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.659676
5011200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.115191
5011300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.773519
5011400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.758580
5011500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.195716
5011600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.576394
5011700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.665528
5011800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.284932
5011900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.881379
5012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.885774
5012100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.763021
5012200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.577214
5012300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.107710
5012400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.491335
