cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,0,0,0,0
5300,0,0,0,0,0,0
5400,4,0,0,0,0,0
5500,4,0,0,0,0,0
5600,0,0,0,0,0,0
5700,13,0,0,0,0,0
5800,82,0,0,0,0,0
5900,91,0,0,0,0,0
6000,46,0,0,0,0,0
6100,0,0,0,0,0,0
6200,0,0,0,0,0,0
6300,0,0,0,0,0,0
6400,0,0,0,0,0,0
6500,0,0,0,0,0,0
6600,0,0,0,0,0,0
6700,0,0,0,0,0,0
6800,0,0,0,0,0,0
6900,0,0,0,0,0,0
7000,0,0,0,0,0,0
7100,0,0,0,0,0,0
7200,0,0,0,0,0,0
7300,0,0,0,0,0,0
7400,0,0,0,0,0,0
7500,0,0,0,0,0,0
7600,0,0,0,0,0,0
7700,0,0,0,0,0,0
7800,0,0,0,0,0,0
7900,0,0,0,0,0,0
8000,0,0,0,0,0,0
8100,0,0,0,0,0,0
8200,0,0,0,0,0,0
8300,0,0,0,0,0,0
8400,0,0,0,0,0,0
8500,0,0,0,0,0,0
8600,0,0,0,0,0,0
8700,8,0,0,0,0,0
8800,0,0,0,0,0,0
8900,8,0,0,0,0,0
9000,0,0,0,0,0,0
9100,0,0,0,0,0,0
9200,7,0,0,0,0,0
9300,0,0,0,0,0,0
9400,1,0,0,0,0,0
9500,0,0,0,0,0,0
9600,0,0,0,0,0,0
9700,50,0,0,0,0,0
9800,40,0,0,0,0,0
9900,22,0,0,0,0,0
10000,0,0,0,0,0,0
10100,0,0,0,0,0,0
10200,0,0,0,0,0,0
10300,0,0,0,0,0,0
10400,0,0,0,0,0,0
10500,0,0,0,0,0,0
10600,0,0,0,0,0,0
10700,0,0,0,0,0,0
10800,0,0,0,0,0,0
10900,0,0,0,0,0,0
11000,0,0,0,0,0,0
11100,0,0,0,0,0,0
11200,0,0,0,0,0,0
11300,24,0,0,0,0,0
11400,88,0,0,0,0,0
11500,0,0,0,0,0,0
11600,0,0,0,0,0,0
11700,0,0,0,0,0,0
11800,0,0,0,0,0,0
11900,0,0,0,0,0,0
12000,0,0,0,0,0,0
12100,0,0,0,0,0,0
12200,78,0,0,0,0,0
12300,34,0,0,0,0,0
12400,0,0,0,0,0,0
12500,0,0,0,0,0,0
12600,0,0,0,0,0,0
12700,0,0,0,0,0,0
12800,0,0,0,0,0,0
12900,0,0,0,0,0,0
13000,0,0,0,0,0,0
13100,0,0,0,0,0,0
13200,0,0,0,0,0,0
13300,0,0,0,0,0,0
13400,0,0,0,0,0,0
13500,0,0,0,0,0,0
13600,0,0,0,0,0,0
13700,0,0,0,0,0,0
13800,0,0,0,0,0,0
13900,0,0,0,0,0,0
14000,0,0,0,0,0,0
14100,0,0,0,0,0,0
14200,0,0,0,0,0,0
14300,0,0,0,0,0,0
14400,0,0,0,0,0,0
14500,0,0,0,0,0,0
14600,0,0,0,0,0,0
14700,0,0,0,0,0,0
14800,0,0,0,0,0,0
14900,0,0,0,0,0,0
15000,0,0,0,0,0,0
15100,0,0,0,0,0,0
15200,0,0,0,0,0,0
15300,1,0,0,0,0,0
15400,1,0,0,0,0,0
15500,0,0,0,0,0,0
15600,0,0,0,0,0,0
15700,0,0,0,0,0,0
15800,0,0,0,0,0,0
15900,2,0,0,0,0,0
16000,0,0,0,0,0,0
16100,0,0,0,0,0,0
16200,0,0,0,0,0,0
16300,0,0,0,0,0,0
16400,0,0,0,0,0,0
16500,2,0,0,0,0,0
16600,0,0,0,0,0,0
16700,0,0,0,0,0,0
16800,0,0,0,0,0,0
16900,28,0,0,0,0,0
17000,0,0,0,0,0,0
17100,2,0,0,0,0,0
17200,0,0,0,0,0,0
17300,12,0,0,0,0,0
17400,16,0,0,0,0,0
17500,0,0,0,0,0,0
17600,0,0,0,0,0,0
17700,0,0,0,0,0,0
17800,28,0,0,0,0,0
17900,0,0,0,0,0,0
18000,0,0,0,0,0,0
18100,0,0,0,0,0,0
18200,0,0,0,0,0,0
18300,28,0,0,0,0,0
18400,0,0,0,0,0,0
18500,0,0,0,0,0,0
18600,0,0,0,0,0,0
18700,0,0,0,0,0,0
18800,0,0,0,0,0,0
18900,0,0,0,0,0,0
19000,0,0,0,0,0,0
19100,0,0,0,0,0,0
