Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
28000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020660
28001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.066378
28002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.014790
28003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001881
28004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001921
28005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.017107
28007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037263
28008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.006817
28009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.017349
28011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.048794
28015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001773
28016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001874
28017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.078611
28021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.098489
28022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.014845
28024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001773
28026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.042419
28028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.032626
28030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001773
28033000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.042817
28034000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.052284
28035000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28036000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.017081
28037000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28038000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28039000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001773
28040000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001935
28041000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28042000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022187
28043000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.013187
28044000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28045000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28046000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025624
28047000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.008319
28048000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28049000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28050000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019797
28051000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.004908
28052000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.005058
28053000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.006641
28054000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28055000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28056000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.031156
28057000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28058000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28059000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038366
28060000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.002500
28061000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28062000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.015566
28063000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.036065
28064000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.001867
28065000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029807
