Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
14000000,0.0324,0.013523,0.002678,0.000431,0.017982
14001000,0.0324,0.013523,0.002678,0.000431,0.006464
14002000,0.0324,0.013523,0.002678,0.000431,0.004701
14003000,0.0324,0.013523,0.002678,0.000431,0.004701
14004000,0.0324,0.013523,0.002678,0.000431,0.012223
14005000,0.0324,0.013523,0.002678,0.000431,0.012223
14006000,0.0324,0.013523,0.002678,0.000431,0.004584
14007000,0.0324,0.013523,0.002678,0.000431,0.012105
14008000,0.0324,0.013523,0.002678,0.000431,0.004701
14009000,0.0324,0.013523,0.002678,0.000431,0.004701
14010000,0.0324,0.013523,0.002678,0.000431,0.012105
14011000,0.0324,0.013523,0.002678,0.000431,0.012105
14012000,0.0324,0.013523,0.002678,0.000431,0.012223
14013000,0.0324,0.013523,0.002678,0.000431,0.004701
14014000,0.0324,0.013523,0.002678,0.000431,0.012223
14015000,0.0324,0.013523,0.002678,0.000431,0.004701
14016000,0.0324,0.013523,0.002678,0.000431,0.004584
14017000,0.0324,0.013523,0.002678,0.000431,0.027149
14018000,0.0324,0.013523,0.002678,0.000431,0.019745
14019000,0.0324,0.013523,0.002678,0.000431,0.004584
14020000,0.0324,0.013523,0.002678,0.000431,0.004584
14021000,0.0324,0.013523,0.002678,0.000431,0.004701
14022000,0.0324,0.013523,0.002678,0.000431,0.004701
14023000,0.0324,0.013523,0.002678,0.000431,0.012223
14024000,0.0324,0.013523,0.002678,0.000431,0.077686
14025000,0.0324,0.013523,0.002678,0.000431,0.141386
14026000,0.0324,0.013523,0.002678,0.000431,0.012223
14027000,0.0324,0.013523,0.002678,0.000431,0.012458
14028000,0.0324,0.013523,0.002678,0.000431,0.004701
14029000,0.0324,0.013523,0.002678,0.000431,0.004701
14030000,0.0324,0.013523,0.002678,0.000431,0.019745
14031000,0.0324,0.013523,0.002678,0.000431,0.053475
14032000,0.0324,0.013523,0.002678,0.000431,0.181111
14033000,0.0324,0.013523,0.002678,0.000431,0.004701
14034000,0.0324,0.013523,0.002678,0.000431,0.004701
14035000,0.0324,0.013523,0.002678,0.000431,0.004701
14036000,0.0324,0.013523,0.002678,0.000431,0.027267
14037000,0.0324,0.013523,0.002678,0.000431,0.004701
14038000,0.0324,0.013523,0.002678,0.000431,0.004584
14039000,0.0324,0.013523,0.002678,0.000431,0.027149
14040000,0.0324,0.013523,0.002678,0.000431,0.019745
14041000,0.0324,0.013523,0.002678,0.000431,0.004701
14042000,0.0324,0.013523,0.002678,0.000431,0.004701
14043000,0.0324,0.013523,0.002678,0.000431,0.012223
14044000,0.0324,0.013523,0.002678,0.000431,0.012223
14045000,0.0324,0.013523,0.002678,0.000431,0.079684
14046000,0.0324,0.013523,0.002678,0.000431,0.004584
14047000,0.0324,0.013523,0.002678,0.000431,0.004584
14048000,0.0324,0.013523,0.002678,0.000431,0.035023
14049000,0.0324,0.013523,0.002678,0.000431,0.008462
14050000,0.0324,0.013523,0.002678,0.000431,0.023506
14051000,0.0324,0.013523,0.002678,0.000431,0.004701
14052000,0.0324,0.013523,0.002678,0.000431,0.004701
14053000,0.0324,0.013523,0.002678,0.000431,0.004701
14054000,0.0324,0.013523,0.002678,0.000431,0.012223
14055000,0.0324,0.013523,0.002678,0.000431,0.004701
14056000,0.0324,0.013523,0.002678,0.000431,0.019510
14057000,0.0324,0.013523,0.002678,0.000431,0.004466
14058000,0.0324,0.013523,0.002678,0.000431,0.004701
14059000,0.0324,0.013523,0.002678,0.000431,0.004701
14060000,0.0324,0.013523,0.002678,0.000431,0.005641
14061000,0.0324,0.013523,0.002678,0.000431,0.011283
14062000,0.0324,0.013523,0.002678,0.000431,0.042310
