Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
6000000,8.6440,0.261844,0.058609,0.079322,3.010822
6001000,8.6440,0.261844,0.058609,0.079322,3.248473
6002000,8.6440,0.261844,0.058609,0.079322,3.671313
6003000,8.6440,0.261844,0.058609,0.079322,4.037611
6004000,8.6440,0.261844,0.058609,0.079322,3.873603
6005000,8.6440,0.261844,0.058609,0.079322,3.964643
6006000,8.6440,0.261844,0.058609,0.079322,4.052539
6007000,8.6440,0.261844,0.058609,0.079322,3.822774
6008000,8.6440,0.261844,0.058609,0.079322,3.933963
6009000,8.6440,0.261844,0.058609,0.079322,3.951543
6010000,8.6440,0.261844,0.058609,0.079322,3.830154
6011000,8.6440,0.261844,0.058609,0.079322,3.875756
6012000,8.6440,0.261844,0.058609,0.079322,3.828977
6013000,8.6440,0.261844,0.058609,0.079322,3.833862
6014000,8.6440,0.261844,0.058609,0.079322,3.854068
6015000,8.6440,0.261844,0.058609,0.079322,3.772545
6016000,8.6440,0.261844,0.058609,0.079322,3.612457
6017000,8.6440,0.261844,0.058609,0.079322,3.831199
6018000,8.6440,0.261844,0.058609,0.079322,3.681647
6019000,8.6440,0.261844,0.058609,0.079322,3.628606
6020000,8.6440,0.261844,0.058609,0.079322,3.597540
6021000,8.6440,0.261844,0.058609,0.079322,3.608214
6022000,8.6440,0.261844,0.058609,0.079322,3.587619
6023000,8.6440,0.261844,0.058609,0.079322,3.373061
6024000,8.6440,0.261844,0.058609,0.079322,3.256589
6025000,8.6440,0.261844,0.058609,0.079322,3.076222
6026000,8.6440,0.261844,0.058609,0.079322,3.177821
6027000,8.6440,0.261844,0.058609,0.079322,3.124479
6028000,8.6440,0.261844,0.058609,0.079322,3.074589
6029000,8.6440,0.261844,0.058609,0.079322,3.057237
6030000,8.6440,0.261844,0.058609,0.079322,3.097709
6031000,8.6440,0.261844,0.058609,0.079322,3.031577
6032000,8.6440,0.261844,0.058609,0.079322,3.126089
6033000,8.6440,0.261844,0.058609,0.079322,3.095697
6034000,8.6440,0.261844,0.058609,0.079322,3.140204
6035000,8.6440,0.261844,0.058609,0.079322,3.127670
6036000,8.6440,0.261844,0.058609,0.079322,3.271388
6037000,8.6440,0.261844,0.058609,0.079322,3.731841
6038000,8.6440,0.261844,0.058609,0.079322,3.943396
6039000,8.6440,0.261844,0.058609,0.079322,4.113982
6040000,8.6440,0.261844,0.058609,0.079322,3.978278
6041000,8.6440,0.261844,0.058609,0.079322,3.929903
6042000,8.6440,0.261844,0.058609,0.079322,4.156967
6043000,8.6440,0.261844,0.058609,0.079322,3.730766
6044000,8.6440,0.261844,0.058609,0.079322,3.944004
6045000,8.6440,0.261844,0.058609,0.079322,3.906556
6046000,8.6440,0.261844,0.058609,0.079322,3.865091
6047000,8.6440,0.261844,0.058609,0.079322,3.816154
6048000,8.6440,0.261844,0.058609,0.079322,3.887791
6049000,8.6440,0.261844,0.058609,0.079322,3.809198
6050000,8.6440,0.261844,0.058609,0.079322,3.740720
6051000,8.6440,0.261844,0.058609,0.079322,3.761018
6052000,8.6440,0.261844,0.058609,0.079322,3.727950
6053000,8.6440,0.261844,0.058609,0.079322,3.648099
6054000,8.6440,0.261844,0.058609,0.079322,3.577148
6055000,8.6440,0.261844,0.058609,0.079322,3.774024
6056000,8.6440,0.261844,0.058609,0.079322,3.519335
6057000,8.6440,0.261844,0.058609,0.079322,3.594821
6058000,8.6440,0.261844,0.058609,0.079322,3.375102
6059000,8.6440,0.261844,0.058609,0.079322,3.190225
6060000,8.6440,0.261844,0.058609,0.079322,3.233248
6061000,8.6440,0.261844,0.058609,0.079322,3.172504
6062000,8.6440,0.261844,0.058609,0.079322,3.136404
6063000,8.6440,0.261844,0.058609,0.079322,3.167568
6064000,8.6440,0.261844,0.058609,0.079322,3.077808
6065000,8.6440,0.261844,0.058609,0.079322,3.080086
6066000,8.6440,0.261844,0.058609,0.079322,3.141370
6067000,8.6440,0.261844,0.058609,0.079322,3.143003
6068000,8.6440,0.261844,0.058609,0.079322,3.103412
